,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,DeleteAlternateContact,Grants permission to delete the alternate contacts for an account,Write,account,,
1,DeleteAlternateContact,Grants permission to delete the alternate contacts for an account,Write,accountInOrganization,,
2,DeleteAlternateContact,Grants permission to delete the alternate contacts for an account,Write,,account:AlternateContactTypes,
3,DisableRegion,Grants permission to disable use of a Region,Write,,account:TargetRegion,
4,EnableRegion,Grants permission to enable use of a Region,Write,,account:TargetRegion,
5,GetAlternateContact,Grants permission to retrieve the alternate contacts for an account,Read,account,,
6,GetAlternateContact,Grants permission to retrieve the alternate contacts for an account,Read,accountInOrganization,,
7,GetAlternateContact,Grants permission to retrieve the alternate contacts for an account,Read,,account:AlternateContactTypes,
8,GetContactInformation,Grants permission to retrieve the primary contact information for an account,Read,account,,
9,GetContactInformation,Grants permission to retrieve the primary contact information for an account,Read,accountInOrganization,,
10,ListRegions,Grants permission to list the available Regions,List,,,
11,PutAlternateContact,Grants permission to modify the alternate contacts for an account,Write,account,,
12,PutAlternateContact,Grants permission to modify the alternate contacts for an account,Write,accountInOrganization,,
13,PutAlternateContact,Grants permission to modify the alternate contacts for an account,Write,,account:AlternateContactTypes,
14,PutContactInformation,Grants permission to update the primary contact information for an account,Write,account,,
15,PutContactInformation,Grants permission to update the primary contact information for an account,Write,accountInOrganization,,
