,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateComponent,Grants permission to create a component,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateTheme,Grants permission to create a theme,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteComponent,Grants permission to delete a component,Write,ComponentResource*,,
3,DeleteTheme,Grants permission to delete a theme,Write,ThemeResource*,,
4,ExchangeCodeForToken,Grants permission to exchange a code for a token,Write,,,
5,ExportComponents,Grants permission to export components,Read,,,
6,ExportThemes,Grants permission to export themes,Read,,,
7,GetComponent,Grants permission to get an existing component,Read,ComponentResource*,,
8,GetTheme,Grants permission to get an existing theme,Read,ThemeResource*,,
9,ListComponents,Grants permission to list the components for an app,List,,,
10,ListTagsForResource,Grants permission to list the tags for a resource,Read,ComponentResource,,
11,ListTagsForResource,Grants permission to list the tags for a resource,Read,ThemeResource,,
12,ListThemes,Grants permission to list the themes for an app,List,,,
13,RefreshToken,Grants permission to refresh an access token,Write,,,
14,TagResource,Grants permission to tag a resource,Tagging,ComponentResource,,
15,TagResource,Grants permission to tag a resource,Tagging,ThemeResource,,
16,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
17,UntagResource,Grants permission to untag a resource,Tagging,ComponentResource,,
18,UntagResource,Grants permission to untag a resource,Tagging,ThemeResource,,
19,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys,
20,UpdateComponent,Grants permission to update a component,Write,ComponentResource*,,
21,UpdateTheme,Grants permission to update a theme,Write,ThemeResource*,,
