,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateGatewayRoute,Grants permission to create a gateway route that is associated with a virtual gateway,Write,gatewayRoute*,,
1,CreateGatewayRoute,Grants permission to create a gateway route that is associated with a virtual gateway,Write,virtualService,,
2,CreateGatewayRoute,Grants permission to create a gateway route that is associated with a virtual gateway,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
3,CreateMesh,Grants permission to create a service mesh,Write,mesh*,,
4,CreateMesh,Grants permission to create a service mesh,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
5,CreateRoute,Grants permission to create a route that is associated with a virtual router,Write,route*,,
6,CreateRoute,Grants permission to create a route that is associated with a virtual router,Write,virtualNode,,
7,CreateRoute,Grants permission to create a route that is associated with a virtual router,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
8,CreateVirtualGateway,Grants permission to create a virtual gateway within a service mesh,Write,virtualGateway*,,
9,CreateVirtualGateway,Grants permission to create a virtual gateway within a service mesh,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
10,CreateVirtualNode,Grants permission to create a virtual node within a service mesh,Write,virtualNode*,,
11,CreateVirtualNode,Grants permission to create a virtual node within a service mesh,Write,virtualService,,
12,CreateVirtualNode,Grants permission to create a virtual node within a service mesh,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
13,CreateVirtualRouter,Grants permission to create a virtual router within a service mesh,Write,virtualRouter*,,
14,CreateVirtualRouter,Grants permission to create a virtual router within a service mesh,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
15,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,virtualService*,,
16,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,virtualNode,,
17,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,virtualRouter,,
18,CreateVirtualService,Grants permission to create a virtual service within a service mesh,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
19,DeleteGatewayRoute,Grants permission to delete an existing gateway route,Write,gatewayRoute*,,
20,DeleteMesh,Grants permission to delete an existing service mesh,Write,mesh*,,
21,DeleteRoute,Grants permission to delete an existing route,Write,route*,,
22,DeleteVirtualGateway,Grants permission to delete an existing virtual gateway,Write,virtualGateway*,,
23,DeleteVirtualNode,Grants permission to delete an existing virtual node,Write,virtualNode*,,
24,DeleteVirtualRouter,Grants permission to delete an existing virtual router,Write,virtualRouter*,,
25,DeleteVirtualService,Grants permission to delete an existing virtual service,Write,virtualService*,,
26,DescribeGatewayRoute,Grants permission to describe an existing gateway route,Read,gatewayRoute*,,
