,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateCustomDomain,Grants permission to associate your own domain name with the AWS App Runner subdomain URL of your App Runner service,Write,service*,,
1,CreateAutoScalingConfiguration,Grants permission to create an AWS App Runner automatic scaling configuration resource,Write,autoscalingconfiguration*,,
2,CreateAutoScalingConfiguration,Grants permission to create an AWS App Runner automatic scaling configuration resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateConnection,Grants permission to create an AWS App Runner connection resource,Write,connection*,,
4,CreateConnection,Grants permission to create an AWS App Runner connection resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateObservabilityConfiguration,Grants permission to create an AWS App Runner observability configuration resource,Write,observabilityconfiguration*,,
6,CreateObservabilityConfiguration,Grants permission to create an AWS App Runner observability configuration resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateService,Grants permission to create an AWS App Runner service resource,Write,service*,,
8,CreateService,Grants permission to create an AWS App Runner service resource,Write,autoscalingconfiguration,,
9,CreateService,Grants permission to create an AWS App Runner service resource,Write,connection,,
10,CreateService,Grants permission to create an AWS App Runner service resource,Write,observabilityconfiguration,,
11,CreateService,Grants permission to create an AWS App Runner service resource,Write,vpcconnector,,
12,CreateService,Grants permission to create an AWS App Runner service resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  apprunner:ConnectionArn  apprunner:AutoScalingConfigurationArn  apprunner:ObservabilityConfigurationArn  apprunner:VpcConnectorArn,
13,CreateVpcConnector,Grants permission to create an AWS App Runner VPC connector resource,Write,vpcconnector*,,
14,CreateVpcConnector,Grants permission to create an AWS App Runner VPC connector resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateVpcIngressConnection,Grants permission to create an AWS App Runner VpcIngressConnection resource,Write,vpcingressconnection*,,
16,CreateVpcIngressConnection,Grants permission to create an AWS App Runner VpcIngressConnection resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  apprunner:ServiceArn  apprunner:VpcId  apprunner:VpcEndpointId,
17,DeleteAutoScalingConfiguration,Grants permission to delete an AWS App Runner automatic scaling configuration resource,Write,autoscalingconfiguration*,,
18,DeleteConnection,Grants permission to delete an AWS App Runner connection resource,Write,connection*,,
19,DeleteObservabilityConfiguration,Grants permission to delete an AWS App Runner observability configuration resource,Write,observabilityconfiguration*,,
20,DeleteService,Grants permission to delete an AWS App Runner service resource,Write,service*,,
21,DeleteVpcConnector,Grants permission to delete an AWS App Runner VPC connector resource,Write,vpcconnector*,,
22,DeleteVpcIngressConnection,Grants permission to delete an AWS App Runner VpcIngressConnection resource,Write,vpcingressconnection*,,
23,DescribeAutoScalingConfiguration,Grants permission to retrieve the description of an AWS App Runner automatic scaling configuration resource,Read,autoscalingconfiguration*,,
24,DescribeCustomDomains,Grants permission to retrieve descriptions of custom domain names associated with an AWS App Runner service,Read,service*,,
25,DescribeObservabilityConfiguration,Grants permission to retrieve the description of an AWS App Runner observability configuration resource,Read,observabilityconfiguration*,,
26,DescribeOperation,Grants permission to retrieve the description of an operation that occurred on an AWS App Runner service,Read,service*,,
27,DescribeService,Grants permission to retrieve the description of an AWS App Runner service resource,Read,service*,,
28,DescribeVpcConnector,Grants permission to retrieve the description of an AWS App Runner VPC connector resource,Read,vpcconnector*,,
29,DescribeVpcIngressConnection,Grants permission to retrieve the description of an AWS App Runner VpcIngressConnection resource,Read,vpcingressconnection*,,
30,DisassociateCustomDomain,Grants permission to disassociate a custom domain name from an AWS App Runner service,Write,service*,,
31,ListAutoScalingConfigurations,Grants permission to retrieve a list of AWS App Runner automatic scaling configurations in your AWS account,List,,,
32,ListConnections,Grants permission to retrieve a list of AWS App Runner connections in your AWS account,List,,,
33,ListObservabilityConfigurations,Grants permission to retrieve a list of AWS App Runner observability configurations in your AWS account,List,,,
34,ListOperations,Grants permission to retrieve a list of operations that occurred on an AWS App Runner service resource,List,service*,,
35,ListServices,Grants permission to retrieve a list of running AWS App Runner services in your AWS account,List,,,
36,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,autoscalingconfiguration,,
37,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,connection,,
38,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,observabilityconfiguration,,
39,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,service,,
40,ListTagsForResource,Grants permission to list tags associated with an AWS App Runner resource,Read,vpcconnector,,
41,ListVpcConnectors,Grants permission to retrieve a list of AWS App Runner VPC connectors in your AWS account,List,,,
42,ListVpcIngressConnections,Grants permission to retrieve a list of AWS App Runner VpcIngressConnections in your AWS account,List,,,
43,PauseService,Grants permission to pause an active AWS App Runner service,Write,service*,,
44,ResumeService,Grants permission to resume an active AWS App Runner service,Write,service*,,
45,StartDeployment,Grants permission to initiate a manual deployemnt to an AWS App Runner service,Write,service*,,
