,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApplication,Grants permission to create an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateConfigurationProfile,Grants permission to create a configuration profile,Write,application*,,
2,CreateConfigurationProfile,Grants permission to create a configuration profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateDeploymentStrategy,Grants permission to create a deployment strategy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateEnvironment,Grants permission to create an environment,Write,application*,,
5,CreateEnvironment,Grants permission to create an environment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateExtension,Grants permission to create an extension,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateExtensionAssociation,Grants permission to create an extension association,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateHostedConfigurationVersion,Grants permission to create a hosted configuration version,Write,application*,,
9,CreateHostedConfigurationVersion,Grants permission to create a hosted configuration version,Write,configurationprofile*,,
10,DeleteApplication,Grants permission to delete an application,Write,application*,,
11,DeleteConfigurationProfile,Grants permission to delete a configuration profile,Write,application*,,
12,DeleteConfigurationProfile,Grants permission to delete a configuration profile,Write,configurationprofile*,,
13,DeleteDeploymentStrategy,Grants permission to delete a deployment strategy,Write,deploymentstrategy*,,
14,DeleteEnvironment,Grants permission to delete an environment,Write,application*,,
15,DeleteEnvironment,Grants permission to delete an environment,Write,environment*,,
16,DeleteExtension,Grants permission to delete an extension,Write,extension*,,
17,DeleteExtensionAssociation,Grants permission to delete an extension association,Write,extensionassociation*,,
18,DeleteHostedConfigurationVersion,Grants permission to delete a hosted configuration version,Write,application*,,
19,DeleteHostedConfigurationVersion,Grants permission to delete a hosted configuration version,Write,configurationprofile*,,
20,DeleteHostedConfigurationVersion,Grants permission to delete a hosted configuration version,Write,hostedconfigurationversion*,,
21,GetApplication,Grants permission to view details about an application,Read,application*,,
22,GetApplication,Grants permission to view details about an application,Read,,aws:ResourceTag/${TagKey},
23,GetConfiguration,Grants permission to view details about a configuration,Read,application*,,
24,GetConfiguration,Grants permission to view details about a configuration,Read,configurationprofile*,,
25,GetConfiguration,Grants permission to view details about a configuration,Read,environment*,,
26,GetConfiguration,Grants permission to view details about a configuration,Read,,aws:ResourceTag/${TagKey},
27,GetConfigurationProfile,Grants permission to view details about a configuration profile,Read,application*,,
28,GetConfigurationProfile,Grants permission to view details about a configuration profile,Read,configurationprofile*,,
29,GetConfigurationProfile,Grants permission to view details about a configuration profile,Read,,aws:ResourceTag/${TagKey},
30,GetDeployment,Grants permission to view details about a deployment,Read,application*,,
31,GetDeployment,Grants permission to view details about a deployment,Read,deployment*,,
32,GetDeployment,Grants permission to view details about a deployment,Read,environment*,,
33,GetDeployment,Grants permission to view details about a deployment,Read,,aws:ResourceTag/${TagKey},
34,GetDeploymentStrategy,Grants permission to view details about a deployment strategy,Read,deploymentstrategy*,,
35,GetDeploymentStrategy,Grants permission to view details about a deployment strategy,Read,,aws:ResourceTag/${TagKey},
36,GetEnvironment,Grants permission to view details about an environment,Read,application*,,
37,GetEnvironment,Grants permission to view details about an environment,Read,environment*,,
38,GetEnvironment,Grants permission to view details about an environment,Read,,aws:ResourceTag/${TagKey},
39,GetExtension,Grants permission to view details about an extension,Read,extension*,,
40,GetExtension,Grants permission to view details about an extension,Read,,aws:ResourceTag/${TagKey},
41,GetExtensionAssociation,Grants permission to view details about an extension association,Read,extensionassociation*,,
42,GetExtensionAssociation,Grants permission to view details about an extension association,Read,,aws:ResourceTag/${TagKey},
43,GetHostedConfigurationVersion,Grants permission to view details about a hosted configuration version,Read,application*,,
44,GetHostedConfigurationVersion,Grants permission to view details about a hosted configuration version,Read,configurationprofile*,,
45,GetHostedConfigurationVersion,Grants permission to view details about a hosted configuration version,Read,hostedconfigurationversion*,,
46,GetLatestConfiguration,Grants permission to retrieve a deployed configuration,Read,configuration*,,
47,GetLatestConfiguration,Grants permission to retrieve a deployed configuration,Read,,aws:ResourceTag/${TagKey},
48,ListApplications,Grants permission to list the applications in your account,List,,,
49,ListConfigurationProfiles,Grants permission to list the configuration profiles for an application,List,application*,,
50,ListDeploymentStrategies,Grants permission to list the deployment strategies for your account,List,,,
51,ListDeployments,Grants permission to list the deployments for an environment,List,application*,,
52,ListDeployments,Grants permission to list the deployments for an environment,List,environment*,,
53,ListEnvironments,Grants permission to list the environments for an application,List,application*,,
54,ListExtensionAssociations,Grants permission to list the extension associations in your account,List,,,
55,ListExtensions,Grants permission to list the extensions in your account,List,,,
56,ListHostedConfigurationVersions,Grants permission to list the hosted configuration versions for a configuration profile,List,application*,,
57,ListHostedConfigurationVersions,Grants permission to list the hosted configuration versions for a configuration profile,List,configurationprofile*,,
58,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,application,,
59,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,configurationprofile,,
60,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,deployment,,
61,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,deploymentstrategy,,
62,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,environment,,
63,ListTagsForResource,Grants permission to view a list of resource tags for a specified resource,Read,,aws:ResourceTag/${TagKey},
64,StartConfigurationSession,Grants permission to start a configuration session,Write,configuration*,,
65,StartConfigurationSession,Grants permission to start a configuration session,Write,,aws:ResourceTag/${TagKey},
66,StartDeployment,Grants permission to initiate a deployment,Write,application*,,
67,StartDeployment,Grants permission to initiate a deployment,Write,configurationprofile*,,
68,StartDeployment,Grants permission to initiate a deployment,Write,deploymentstrategy*,,
69,StartDeployment,Grants permission to initiate a deployment,Write,environment*,,
70,StartDeployment,Grants permission to initiate a deployment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
71,StopDeployment,Grants permission to stop a deployment,Write,application*,,
72,StopDeployment,Grants permission to stop a deployment,Write,deployment*,,
73,StopDeployment,Grants permission to stop a deployment,Write,environment*,,
74,TagResource,Grants permission to tag an appconfig resource,Tagging,application,,
75,TagResource,Grants permission to tag an appconfig resource,Tagging,configuration,,
76,TagResource,Grants permission to tag an appconfig resource,Tagging,configurationprofile,,
77,TagResource,Grants permission to tag an appconfig resource,Tagging,deployment,,
78,TagResource,Grants permission to tag an appconfig resource,Tagging,deploymentstrategy,,
79,TagResource,Grants permission to tag an appconfig resource,Tagging,environment,,
80,TagResource,Grants permission to tag an appconfig resource,Tagging,extension,,
81,TagResource,Grants permission to tag an appconfig resource,Tagging,extensionassociation,,
82,TagResource,Grants permission to tag an appconfig resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey},
83,UntagResource,Grants permission to untag an appconfig resource,Tagging,application,,
84,UntagResource,Grants permission to untag an appconfig resource,Tagging,configuration,,
85,UntagResource,Grants permission to untag an appconfig resource,Tagging,configurationprofile,,
86,UntagResource,Grants permission to untag an appconfig resource,Tagging,deployment,,
87,UntagResource,Grants permission to untag an appconfig resource,Tagging,deploymentstrategy,,
88,UntagResource,Grants permission to untag an appconfig resource,Tagging,environment,,
89,UntagResource,Grants permission to untag an appconfig resource,Tagging,extension,,
90,UntagResource,Grants permission to untag an appconfig resource,Tagging,extensionassociation,,
91,UntagResource,Grants permission to untag an appconfig resource,Tagging,,aws:TagKeys,
92,UpdateApplication,Grants permission to modify an application,Write,application*,,
93,UpdateApplication,Grants permission to modify an application,Write,,aws:ResourceTag/${TagKey},
94,UpdateConfigurationProfile,Grants permission to modify a configuration profile,Write,application*,,
95,UpdateConfigurationProfile,Grants permission to modify a configuration profile,Write,configurationprofile*,,
96,UpdateConfigurationProfile,Grants permission to modify a configuration profile,Write,,aws:ResourceTag/${TagKey},
97,UpdateDeploymentStrategy,Grants permission to modify a deployment strategy,Write,deploymentstrategy*,,
98,UpdateDeploymentStrategy,Grants permission to modify a deployment strategy,Write,,aws:ResourceTag/${TagKey},
99,UpdateEnvironment,Grants permission to modify an environment,Write,application*,,
100,UpdateEnvironment,Grants permission to modify an environment,Write,environment*,,
101,UpdateEnvironment,Grants permission to modify an environment,Write,,aws:ResourceTag/${TagKey},
102,UpdateExtension,Grants permission to modify an extension,Write,extension*,,
103,UpdateExtension,Grants permission to modify an extension,Write,,aws:ResourceTag/${TagKey},
104,UpdateExtensionAssociation,Grants permission to modify an extension association,Write,extensionassociation*,,
105,UpdateExtensionAssociation,Grants permission to modify an extension association,Write,,aws:ResourceTag/${TagKey},
106,ValidateConfiguration,Grants permission to validate a configuration,Write,application*,,
107,ValidateConfiguration,Grants permission to validate a configuration,Write,configurationprofile*,,
