,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchCreateVolumeSnapshotGroupForMgn [permission only],Grants permission to create volume snapshot group,Write,SourceServerResource*,,
1,BatchDeleteSnapshotRequestForMgn [permission only],Grants permission to batch delete snapshot request,Write,,,
2,ChangeServerLifeCycleState,Grants permission to change source server life cycle state,Write,SourceServerResource*,,
3,CreateLaunchConfigurationTemplate,Grants permission to create launch configuration template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateReplicationConfigurationTemplate,Grants permission to create replication configuration template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateVcenterClientForMgn [permission only],Grants permission to create vcenter client,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteJob,Grants permission to delete job,Write,JobResource*,,
7,DeleteLaunchConfigurationTemplate,Grants permission to delete launch configuration template,Write,LaunchConfigurationTemplateResource*,,
8,DeleteReplicationConfigurationTemplate,Grants permission to delete replication configuration template,Write,ReplicationConfigurationTemplateResource*,,
9,DeleteSourceServer,Grants permission to delete source server,Write,SourceServerResource*,,
10,DeleteVcenterClient,Grants permission to delete vcenter client,Write,VcenterClientResource*,,
11,DescribeJobLogItems,Grants permission to describe job log items,Read,JobResource*,,
12,DescribeJobs,Grants permission to describe jobs,List,,,
13,DescribeLaunchConfigurationTemplates,Grants permission to describe launch configuration template,List,,,
14,DescribeReplicationConfigurationTemplates,Grants permission to describe replication configuration template,List,,,
15,DescribeReplicationServerAssociationsForMgn [permission only],Grants permission to describe replication server associations,Read,,,
16,DescribeSnapshotRequestsForMgn [permission only],Grants permission to describe snapshots requests,Read,,,
17,DescribeSourceServers,Grants permission to describe source servers,List,,,
18,DescribeVcenterClients,Grants permission to describe vcenter clients,List,,,
19,DisconnectFromService,Grants permission to disconnect source server from service,Write,SourceServerResource*,,
20,FinalizeCutover,Grants permission to finalize cutover,Write,SourceServerResource*,,
21,GetAgentCommandForMgn [permission only],Grants permission to get agent command,Read,SourceServerResource*,,
22,GetAgentConfirmedResumeInfoForMgn [permission only],Grants permission to get agent confirmed resume info,Read,SourceServerResource*,,
23,GetAgentInstallationAssetsForMgn [permission only],Grants permission to get agent installation assets,Read,,,
24,GetAgentReplicationInfoForMgn [permission only],Grants permission to get agent replication info,Read,SourceServerResource*,,
25,GetAgentRuntimeConfigurationForMgn [permission only],Grants permission to get agent runtime configuration,Read,SourceServerResource*,,
26,GetAgentSnapshotCreditsForMgn [permission only],Grants permission to get agent snapshots credits,Read,SourceServerResource*,,
27,GetChannelCommandsForMgn [permission only],Grants permission to get channel commands,Read,,,
28,GetLaunchConfiguration,Grants permission to get launch configuration,Read,SourceServerResource*,,
29,GetReplicationConfiguration,Grants permission to get replication configuration,Read,SourceServerResource*,,
30,GetVcenterClientCommandsForMgn [permission only],Grants permission to get vcenter client commands,Read,VcenterClientResource*,,
31,InitializeService,Grants permission to initialize service,Write,,,iam:AddRoleToInstanceProfile  iam:CreateInstanceProfile  iam:CreateServiceLinkedRole  iam:GetInstanceProfile
32,IssueClientCertificateForMgn,Grants permission to issue a client certificate,Write,SourceServerResource,,
33,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
34,MarkAsArchived,Grants permission to mark source server as archived,Write,SourceServerResource*,,
35,NotifyAgentAuthenticationForMgn [permission only],Grants permission to notify agent authentication,Write,SourceServerResource*,,
36,NotifyAgentConnectedForMgn [permission only],Grants permission to notify agent is connected,Write,SourceServerResource*,,
37,NotifyAgentDisconnectedForMgn [permission only],Grants permission to notify agent is disconnected,Write,SourceServerResource*,,
38,NotifyAgentReplicationProgressForMgn [permission only],Grants permission to notify agent replication progress,Write,SourceServerResource*,,
39,NotifyVcenterClientStartedForMgn [permission only],Grants permission to notify vcenter client started,Write,VcenterClientResource*,,
40,RegisterAgentForMgn [permission only],Grants permission to register agent,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
41,RetryDataReplication,Grants permission to retry replication,Write,SourceServerResource*,,
42,SendAgentLogsForMgn [permission only],Grants permission to send agent logs,Write,SourceServerResource*,,
43,SendAgentMetricsForMgn [permission only],Grants permission to send agent metrics,Write,SourceServerResource*,,
