,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateGatewayToServer,Grants permission to AssociateGatewayToServer,Write,gateway*,,
1,AssociateGatewayToServer,Grants permission to AssociateGatewayToServer,Write,hypervisor*,,
2,Backup,Grants permission to Backup,Write,virtualmachine*,,
3,Backup,Grants permission to Backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateGateway,Grants permission to to CreateGateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteGateway,Grants permission to DeleteGateway,Write,gateway*,,
6,DeleteHypervisor,Grants permission to DeleteHypervisor,Write,hypervisor*,,
7,DisassociateGatewayFromServer,Grants permission to DisassociateGatewayFromServer,Write,gateway*,,
8,GetGateway,Grants permission to GetGateway,Read,gateway*,,
9,ImportHypervisorConfiguration,Grants permission to ImportHypervisorConfiguration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,ListGateways,Grants permission to ListGateways,Read,,,
11,ListHypervisors,Grants permission to ListHypervisors,Read,,,
12,ListTagsForResource,Grants permission to ListTagsForResource,Read,gateway,,
13,ListTagsForResource,Grants permission to ListTagsForResource,Read,hypervisor,,
14,ListTagsForResource,Grants permission to ListTagsForResource,Read,virtualmachine,,
15,ListTagsForResource,Grants permission to ListTagsForResource,Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,ListVirtualMachines,Grants permission to ListVirtualMachines,Read,,,
17,PutMaintenanceStartTime,Grants permission to PutMaintenanceStartTime,Write,gateway*,,
18,Restore,Grants permission to Restore,Write,hypervisor*,,
19,Restore,Grants permission to Restore,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,TagResource,Grants permission to TagResource,Tagging,gateway,,
21,TagResource,Grants permission to TagResource,Tagging,hypervisor,,
22,TagResource,Grants permission to TagResource,Tagging,virtualmachine,,
23,TagResource,Grants permission to TagResource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,TestHypervisorConfiguration,Grants permission to TestHypervisorConfiguration,Write,gateway*,,
25,UntagResource,Grants permission to UntagResource,Tagging,gateway,,
26,UntagResource,Grants permission to UntagResource,Tagging,hypervisor,,
27,UntagResource,Grants permission to UntagResource,Tagging,virtualmachine,,
28,UntagResource,Grants permission to UntagResource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,UpdateGatewayInformation,Grants permission to UpdateGatewayInformation,Write,gateway*,,
30,UpdateGatewaySoftwareNow,Grants permission to UpdateGatewaySoftwareNow,Write,gateway*,,
31,UpdateHypervisor,Grants permission to UpdateHypervisor,Write,gateway*,,
