,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CopyFromBackupVault [permission only],Grants permission to copy from a backup vault,Write,,backup:CopyTargets  backup:CopyTargetOrgPaths,
1,CopyIntoBackupVault [permission only],Grants permission to copy into a backup vault,Write,,aws:RequestTag/${TagKey},
2,CreateBackupPlan,Grants permission to create a new backup plan,Write,backupPlan*,,
3,CreateBackupPlan,Grants permission to create a new backup plan,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateBackupSelection,Grants permission to create a new resource assignment in a backup plan,Write,backupPlan*,,iam:PassRole
5,CreateBackupVault,Grants permission to create a new backup vault,Write,backupVault*,,
6,CreateBackupVault,Grants permission to create a new backup vault,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateFramework,Grants permission to create a new framework,Write,framework*,,
8,CreateFramework,Grants permission to create a new framework,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateReportPlan,Grants permission to create a new report plan,Write,reportPlan*,,
10,CreateReportPlan,Grants permission to create a new report plan,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  backup:FrameworkArns,
11,DeleteBackupPlan,Grants permission to delete a backup plan,Write,backupPlan*,,
12,DeleteBackupSelection,Grants permission to delete a resource assignment from a backup plan,Write,backupPlan*,,
13,DeleteBackupVault,Grants permission to delete a backup vault,Write,backupVault*,,
14,DeleteBackupVaultAccessPolicy,Grants permission to delete backup vault access policy,Permissions management,backupVault*,,
15,DeleteBackupVaultLockConfiguration,Grants permission to remove the lock configuration from a backup vault,Write,backupVault*,,
16,DeleteBackupVaultNotifications,Grants permission to remove the notifications from a backup vault,Write,backupVault*,,
17,DeleteFramework,Grants permission to delete a framework,Write,framework*,,
18,DeleteRecoveryPoint,Grants permission to delete a recovery point from a backup vault,Write,recoveryPoint*,,
19,DeleteReportPlan,Grants permission to delete a report plan,Write,reportPlan*,,
20,DescribeBackupJob,Grants permission to describe a backup job,Read,,,
21,DescribeBackupVault,Grants permission to describe a new backup vault with the specified name,Read,backupVault*,,
22,DescribeCopyJob,Grants permission to describe a copy job,Read,,,
23,DescribeFramework,Grants permission to describe a framework with the specified name,Read,framework*,,
24,DescribeGlobalSettings,Grants permission to describe global settings,Read,,,
25,DescribeProtectedResource,Grants permission to describe a protected resource,Read,,,
