,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateChimeWebhookConfiguration,Grants permission to create an AWS Chatbot Chime Webhook Configuration,Write,,,
1,CreateSlackChannelConfiguration,Grants permission to create an AWS Chatbot Slack Channel Configuration,Write,,,
2,DeleteChimeWebhookConfiguration,Grants permission to delete an AWS Chatbot Chime Webhook Configuration,Write,ChatbotConfiguration*,,
3,DeleteSlackChannelConfiguration,Grants permission to delete an AWS Chatbot Slack Channel Configuration,Write,ChatbotConfiguration*,,
4,DeleteSlackUserIdentity,Grants permission to delete an AWS Chatbot Slack User Identity,Write,,,
5,DeleteSlackWorkspaceAuthorization,"Grants permission to delete the Slack workspace authorization with AWS Chatbot, associated with an AWS account",Write,,,
6,DescribeChimeWebhookConfigurations,Grants permission to list all AWS Chatbot Chime Webhook Configurations in an AWS Account,Read,,,
7,DescribeSlackChannelConfigurations,Grants permission to list all AWS Chatbot Slack Channel Configurations in an AWS account,Read,,,
8,DescribeSlackChannels,Grants permission to list all public Slack channels in the Slack workspace connected to the AWS Account onboarded with AWS Chatbot service,Read,,,
9,DescribeSlackUserIdentities,Grants permission to describe AWS Chatbot Slack User Identities,Read,,,
10,DescribeSlackWorkspaces,Grants permission to list all authorized Slack workspaces connected to the AWS Account onboarded with AWS Chatbot service,Read,,,
11,GetAccountPreferences,Grants permission to retrieve AWS Chatbot account preferences,Read,,,
12,GetSlackOauthParameters,Grants permission to generate OAuth parameters to request Slack OAuth code to be used by the AWS Chatbot service,Read,,,
13,RedeemSlackOauthCode,"Grants permission to redeem previously generated parameters with Slack API, to acquire OAuth tokens to be used by the AWS Chatbot service",Write,,,
14,UpdateAccountPreferences,Grants permission to update AWS Chatbot account preferences,Write,,,
15,UpdateChimeWebhookConfiguration,Grants permission to update an AWS Chatbot Chime Webhook Configuration,Write,ChatbotConfiguration*,,
16,UpdateSlackChannelConfiguration,Grants permission to update an AWS Chatbot Slack Channel Configuration,Write,ChatbotConfiguration*,,
