,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateHttpNamespace,Grants permission to create an HTTP namespace,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
1,CreatePrivateDnsNamespace,"Grants permission to create a private namespace based on DNS, which will be visible only inside a specified Amazon VPC",Write,,aws:TagKeys  aws:RequestTag/${TagKey},
2,CreatePublicDnsNamespace,"Grants permission to create a public namespace based on DNS, which will be visible on the internet",Write,,aws:TagKeys  aws:RequestTag/${TagKey},
3,CreateService,Grants permission to create a service,Write,namespace*,,
4,CreateService,Grants permission to create a service,Write,,servicediscovery:NamespaceArn  aws:TagKeys  aws:RequestTag/${TagKey},
5,DeleteNamespace,Grants permission to delete a specified namespace,Write,namespace*,,
6,DeleteService,Grants permission to delete a specified service,Write,service*,,
7,DeregisterInstance,"Grants permission to delete the records and the health check, if any, that Amazon Route 53 created for the specified instance",Write,service*,,
8,DeregisterInstance,"Grants permission to delete the records and the health check, if any, that Amazon Route 53 created for the specified instance",Write,,servicediscovery:ServiceArn,
9,DiscoverInstances,Grants permission to discover registered instances for a specified namespace and service,Read,,servicediscovery:NamespaceName  servicediscovery:ServiceName,
10,GetInstance,Grants permission to get information about a specified instance,Read,,servicediscovery:ServiceArn,
11,GetInstancesHealthStatus,"Grants permission to get the current health status (Healthy, Unhealthy, or Unknown) of one or more instances",Read,,servicediscovery:ServiceArn,
12,GetNamespace,Grants permission to get information about a namespace,Read,namespace*,,
13,GetOperation,Grants permission to get information about a specific operation,Read,,,
14,GetService,Grants permission to get the settings for a specified service,Read,service*,,
15,ListInstances,Grants permission to get summary information about the instances that were registered with a specified service,Read,,servicediscovery:ServiceArn,
16,ListNamespaces,Grants permission to get information about the namespaces,Read,,,
17,ListOperations,Grants permission to list operations that match the criteria that you specify,List,,,
18,ListServices,Grants permission to get settings for all the services that match specified filters,Read,,,
19,ListTagsForResource,Grants permission to lists tags for the specified resource,Read,,,
20,RegisterInstance,Grants permission to register an instance based on the settings in a specified service,Write,service*,,
21,RegisterInstance,Grants permission to register an instance based on the settings in a specified service,Write,,servicediscovery:ServiceArn,
22,TagResource,Grants permission to add one or more tags to the specified resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
23,UntagResource,Grants permission to remove one or more tags from the specified resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
24,UpdateHttpNamespace,Grants permission to update the settings for a HTTP namespace,Write,namespace*,,
25,UpdateInstanceCustomHealthStatus,Grants permission to update the current health status for an instance that has a custom health check,Write,,servicediscovery:ServiceArn,
26,UpdatePrivateDnsNamespace,Grants permission to update the settings for a private DNS namespace,Write,namespace*,,
27,UpdatePublicDnsNamespace,Grants permission to update the settings for a public DNS namespace,Write,namespace*,,
28,UpdateService,Grants permission to update the settings in a specified service,Write,service*,,
