,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTagsToResource,Adds or overwrites one or more tags for the specified AWS CloudHSM resource,Tagging,,,
1,CopyBackupToRegion,Creates a copy of a backup in the specified region,Write,backup*,,
2,CopyBackupToRegion,Creates a copy of a backup in the specified region,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateCluster,Creates a new AWS CloudHSM cluster,Write,backup,,
4,CreateCluster,Creates a new AWS CloudHSM cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateHapg,Creates a high-availability partition group,Write,,,
6,CreateHsm,Creates a new hardware security module (HSM) in the specified AWS CloudHSM cluster,Write,cluster*,,
7,CreateLunaClient,Creates an HSM client,Write,,,
8,DeleteBackup,Deletes the specified CloudHSM backup,Write,backup*,,
9,DeleteCluster,Deletes the specified AWS CloudHSM cluster,Write,cluster*,,
10,DeleteHapg,Deletes a high-availability partition group,Write,,,
11,DeleteHsm,Deletes the specified HSM,Write,,,
12,DeleteLunaClient,Deletes a client,Write,,,
13,DescribeBackups,Gets information about backups of AWS CloudHSM clusters,Read,,,
14,DescribeClusters,Gets information about AWS CloudHSM clusters,Read,,,
15,DescribeHapg,Retrieves information about a high-availability partition group,Read,,,
16,DescribeHsm,Retrieves information about an HSM. You can identify the HSM by its ARN or its serial number,Read,,,
17,DescribeLunaClient,Retrieves information about an HSM client,Read,,,
18,GetConfig,Gets the configuration files necessary to connect to all high availability partition groups the client is associated with,Read,,,
19,InitializeCluster,Claims an AWS CloudHSM cluster,Write,cluster*,,
20,ListAvailableZones,Lists the Availability Zones that have available AWS CloudHSM capacity,List,,,
21,ListHapgs,Lists the high-availability partition groups for the account,List,,,
22,ListHsms,Retrieves the identifiers of all of the HSMs provisioned for the current customer,List,,,
23,ListLunaClients,Lists all of the clients,List,,,
24,ListTags,Gets a list of tags for the specified AWS CloudHSM cluster,Read,backup,,
25,ListTags,Gets a list of tags for the specified AWS CloudHSM cluster,Read,cluster,,
26,ListTagsForResource,Returns a list of all tags for the specified AWS CloudHSM resource,Read,,,
27,ModifyBackupAttributes,Modifies attributes for AWS CloudHSM backup,Write,backup*,,
28,ModifyCluster,Modifies AWS CloudHSM cluster.,Write,cluster*,,
29,ModifyHapg,Modifies an existing high-availability partition group,Write,,,
30,ModifyHsm,Modifies an HSM,Write,,,
31,ModifyLunaClient,Modifies the certificate used by the client,Write,,,
32,RemoveTagsFromResource,Removes one or more tags from the specified AWS CloudHSM resource,Tagging,,,
33,RestoreBackup,Restores the specified CloudHSM backup,Write,backup*,,
34,TagResource,Adds or overwrites one or more tags for the specified AWS CloudHSM cluster,Tagging,backup,,
35,TagResource,Adds or overwrites one or more tags for the specified AWS CloudHSM cluster,Tagging,cluster,,
36,TagResource,Adds or overwrites one or more tags for the specified AWS CloudHSM cluster,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
37,UntagResource,Removes the specified tag or tags from the specified AWS CloudHSM cluster,Tagging,backup,,
38,UntagResource,Removes the specified tag or tags from the specified AWS CloudHSM cluster,Tagging,cluster,,
39,UntagResource,Removes the specified tag or tags from the specified AWS CloudHSM cluster,Tagging,,aws:TagKeys,
