,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTags,"Grants permission to add one or more tags to a trail, up to a limit of 10",Tagging,eventdatastore,,
1,AddTags,"Grants permission to add one or more tags to a trail, up to a limit of 10",Tagging,trail,,
2,CancelQuery,Grants permission to cancel a running query,Write,,,
3,CreateEventDataStore,Grants permission to create an event data store,Write,eventdatastore*,,
4,CreateEventDataStore,Grants permission to create an event data store,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateTrail,Grants permission to create a trail that specifies the settings for delivery of log data to an Amazon S3 bucket,Write,trail*,,s3:PutObject
6,DeleteEventDataStore,Grants permission to delete an event data store,Write,eventdatastore*,,
7,DeleteTrail,Grants permission to delete a trail,Write,trail*,,
8,DescribeQuery,Grants permission to list details for the query,Read,,,
9,DescribeTrails,Grants permission to list settings for the trails associated with the current region for your account,Read,,,
10,GetEventDataStore,Grants permission to list settings for the event data store,Read,,,
11,GetEventSelectors,Grants permission to list settings for event selectors configured for a trail,Read,trail*,,
12,GetInsightSelectors,Grants permission to list CloudTrail Insights selectors that are configured for a trail,Read,trail*,,
13,GetQueryResults,Grants permission to fetch results of a complete query,Read,,,
14,GetTrail,Grants permission to list settings for the trail,Read,,,
15,GetTrailStatus,Grants permission to retrieve a JSON-formatted list of information about the specified trail,Read,trail*,,
16,ListEventDataStores,Grants permission to list event data stores associated with the current region for your account,List,,,
17,ListPublicKeys,Grants permission to list the public keys whose private keys were used to sign trail digest files within a specified time range,Read,,,
18,ListQueries,Grants permission to list queries associated with an event data store,List,,,
19,ListTags,Grants permission to list the tags for trails or event data stores in the current region,Read,eventdatastore,,
20,ListTags,Grants permission to list the tags for trails or event data stores in the current region,Read,trail,,
21,ListTrails,Grants permission to list trails associated with the current region for your account,List,,,
22,LookupEvents,"Grants permission to look up API activity events captured by CloudTrail that create, update, or delete resources in your account",Read,,,
23,PutEventSelectors,Grants permission to create and update event selectors for a trail,Write,trail*,,
24,PutInsightSelectors,Grants permission to create and update CloudTrail Insights selectors for a trail,Write,trail*,,
25,RemoveTags,Grants permission to remove tags from a trail,Tagging,eventdatastore,,
26,RemoveTags,Grants permission to remove tags from a trail,Tagging,trail,,
27,RestoreEventDataStore,Grants permission to restore an event data store,Write,eventdatastore*,,
28,StartLogging,Grants permission to start the recording of AWS API calls and log file delivery for a trail,Write,trail*,,
29,StartQuery,Grants permission to start a new query on a specified event data store,Write,,,
30,StopLogging,Grants permission to stop the recording of AWS API calls and log file delivery for a trail,Write,trail*,,
31,UpdateEventDataStore,Grants permission to update an event data store,Write,eventdatastore*,,
32,UpdateTrail,Grants permission to update the settings that specify delivery of log files,Write,trail*,,
