,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateExternalConnection,Grants permission to add an external connection to a repository,Write,repository*,,
1,AssociateWithDownstreamRepository,Grants permission to associate an existing repository as an upstream repository to another repository,Write,repository*,,
2,CopyPackageVersions,Grants permission to copy package versions from one repository to another repository in the same domain,Write,package*,,
3,CopyPackageVersions,Grants permission to copy package versions from one repository to another repository in the same domain,Write,repository*,,
4,CreateDomain,Grants permission to create a new domain,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateRepository,Grants permission to create a new repository,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteDomain,Grants permission to delete a domain,Write,domain*,,
7,DeleteDomainPermissionsPolicy,Grants permission to delete the resource policy set on a domain,Permissions management,domain*,,
8,DeletePackageVersions,Grants permission to delete package versions,Write,package*,,
9,DeleteRepository,Grants permission to delete a repository,Write,repository*,,
10,DeleteRepositoryPermissionsPolicy,Grants permission to delete the resource policy set on a repository,Permissions management,repository*,,
11,DescribeDomain,Grants permission to return information about a domain,Read,domain*,,
12,DescribePackage,Grants permission to retrieve information about a package,Read,package*,,
13,DescribePackageVersion,Grants permission to return information about a package version,Read,package*,,
14,DescribeRepository,Grants permission to return detailed information about a repository,Read,repository*,,
15,DisassociateExternalConnection,Grants permission to disassociate an external connection from a repository,Write,repository*,,
16,DisposePackageVersions,Grants permission to set the status of package versions to Disposed and delete their assets,Write,package*,,
17,GetAuthorizationToken,Grants permission to generate a temporary authentication token for accessing repositories in a domain,Read,domain*,,
18,GetDomainPermissionsPolicy,Grants permission to return a domain's resource policy,Read,domain*,,
19,GetPackageVersionAsset,Grants permission to return an asset (or file) that is part of a package version,Read,package*,,
20,GetPackageVersionReadme,Grants permission to return a package version's readme file,Read,package*,,
21,GetRepositoryEndpoint,Grants permission to return an endpoint for a repository,Read,repository*,,
22,GetRepositoryPermissionsPolicy,Grants permission to return a repository's resource policy,Read,repository*,,
23,ListDomains,Grants permission to list the domains in the current user's AWS account,List,,,
24,ListPackageVersionAssets,Grants permission to list a package version's assets,List,package*,,
25,ListPackageVersionDependencies,Grants permission to list the direct dependencies of a package version,List,package*,,
26,ListPackageVersions,Grants permission to list a package's versions,List,package*,,
27,ListPackages,Grants permission to list the packages in a repository,List,repository*,,
28,ListRepositories,Grants permission to list the repositories administered by the calling account,List,,,
29,ListRepositoriesInDomain,Grants permission to list the repositories in a domain,List,domain*,,
30,ListTagsForResource,Grants permission to list tags for a CodeArtifact resource,List,domain,,
31,ListTagsForResource,Grants permission to list tags for a CodeArtifact resource,List,repository,,
32,PublishPackageVersion,Grants permission to publish assets and metadata to a repository endpoint,Write,package*,,
33,PutDomainPermissionsPolicy,Grants permission to attach a resource policy to a domain,Write,domain*,,
34,PutPackageMetadata,"Grants permission to add, modify or remove package metadata using a repository endpoint",Write,package*,,
35,PutPackageOriginConfiguration,Grants permission to set origin configuration for a package,Write,package*,,
36,PutRepositoryPermissionsPolicy,Grants permission to attach a resource policy to a repository,Write,repository*,,
37,ReadFromRepository,Grants permission to return package assets and metadata from a repository endpoint,Read,repository*,,
38,TagResource,Grants permission to tag a CodeArtifact resource,Tagging,domain,,
39,TagResource,Grants permission to tag a CodeArtifact resource,Tagging,repository,,
40,TagResource,Grants permission to tag a CodeArtifact resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
41,UntagResource,Grants permission to remove a tag from a CodeArtifact resource,Tagging,domain,,
42,UntagResource,Grants permission to remove a tag from a CodeArtifact resource,Tagging,repository,,
43,UntagResource,Grants permission to remove a tag from a CodeArtifact resource,Tagging,,aws:TagKeys,
44,UpdatePackageVersionsStatus,Grants permission to modify the status of one or more versions of a package,Write,package*,,
45,UpdateRepository,Grants permission to modify the properties of a repository,Write,repository*,,
