,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateNotificationRule,Grants permission to create a notification rule for a resource,Write,notificationrule*,,
1,CreateNotificationRule,Grants permission to create a notification rule for a resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  codestar-notifications:NotificationsForResource,
2,DeleteNotificationRule,Grants permission to delete a notification rule for a resource,Write,notificationrule*,,
3,DeleteNotificationRule,Grants permission to delete a notification rule for a resource,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  codestar-notifications:NotificationsForResource,
4,DeleteTarget,Grants permission to delete a target for a notification rule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DescribeNotificationRule,Grants permission to get information about a notification rule,Read,notificationrule*,,
6,DescribeNotificationRule,Grants permission to get information about a notification rule,Read,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  codestar-notifications:NotificationsForResource,
7,ListEventTypes,Grants permission to list notifications event types,List,,,
8,ListNotificationRules,Grants permission to list notification rules in an AWS account,List,,,
9,ListTagsForResource,Grants permission to list the tags attached to a notification rule resource ARN,List,notificationrule*,,
10,ListTagsForResource,Grants permission to list the tags attached to a notification rule resource ARN,List,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,ListTargets,Grants permission to list the notification rule targets for an AWS account,List,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,Subscribe,Grants permission to create an association between a notification rule and an Amazon SNS topic,Write,notificationrule*,,
13,Subscribe,Grants permission to create an association between a notification rule and an Amazon SNS topic,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  codestar-notifications:NotificationsForResource,
14,TagResource,Grants permission to attach resource tags to a notification rule resource ARN,Tagging,notificationrule*,,
15,TagResource,Grants permission to attach resource tags to a notification rule resource ARN,Tagging,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys,
16,Unsubscribe,Grants permission to remove an association between a notification rule and an Amazon SNS topic,Write,notificationrule*,,
17,Unsubscribe,Grants permission to remove an association between a notification rule and an Amazon SNS topic,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  codestar-notifications:NotificationsForResource,
18,UntagResource,Grants permission to disassociate resource tags from a notification rule resource ARN,Tagging,notificationrule*,,
19,UntagResource,Grants permission to disassociate resource tags from a notification rule resource ARN,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,UpdateNotificationRule,Grants permission to change a notification rule for a resource,Write,notificationrule*,,
21,UpdateNotificationRule,Grants permission to change a notification rule for a resource,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys  codestar-notifications:NotificationsForResource,
