,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJob,Grants permission to cancel a job,Write,jobs*,,
1,CreateAsset [permission only],"Grants permission to create an asset (for example, in a Job)",Write,,,
2,CreateDataSet,Grants permission to create a data set,Write,,aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys,
3,CreateEventAction,Grants permission to create an event action,Write,event-actions*,,
4,CreateJob,Grants permission to create a job to import or export assets,Write,jobs*,,
5,CreateRevision,Grants permission to create a revision,Write,,aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys,
6,DeleteAsset,Grants permission to delete an asset,Write,assets*,,
7,DeleteDataSet,Grants permission to delete a data set,Write,data-sets*,,
8,DeleteEventAction,Grants permission to delete an event action,Write,event-actions*,,
9,DeleteRevision,Grants permission to delete a revision,Write,revisions*,,
10,GetAsset,"Grants permission to get information about an asset and to export it (for example, in a Job)",Read,assets*,,
11,GetDataSet,Grants permission to get information about a data set,Read,data-sets*,,
12,GetEventAction,Grants permission to get an event action,Read,event-actions*,,
13,GetJob,Grants permission to get information about a job,Read,jobs*,,
14,GetRevision,Grants permission to get information about a revision,Read,revisions*,,
15,ListDataSetRevisions,Grants permission to list the revisions of a data set,Read,revisions*,,
16,ListDataSets,Grants permission to list data sets for the account,Read,data-sets*,,
17,ListEventActions,Grants permission to list event actions for the account,Read,event-actions*,,
18,ListJobs,Grants permission to list jobs for the account,Read,jobs*,,
19,ListRevisionAssets,Grants permission to get list the assets of a revision,Read,assets*,,
20,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,data-sets,,
21,ListTagsForResource,Grants permission to list the tags that you associated with the specified resource,Read,revisions,,
22,PublishDataSet [permission only],Grants permission to publish a data set,Write,data-sets*,,
23,RevokeRevision,Grants permission to revoke subscriber access to a revision,Write,revisions*,,
24,SendApiAsset,Grants permission to send a request to an API asset,Write,assets*,,
25,StartJob,Grants permission to start a job,Write,jobs*,,
26,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,data-sets,,
27,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,revisions,,
28,TagResource,Grants permission to add one or more tags to a specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,data-sets,,
30,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,revisions,,
31,UntagResource,Grants permission to remove one or more tags from a specified resource,Tagging,,aws:TagKeys,
32,UpdateAsset,Grants permission to get update information about an asset,Write,assets*,,
33,UpdateDataSet,Grants permission to update information about a data set,Write,data-sets*,,
34,UpdateEventAction,Grants permission to update information for an event action,Write,event-actions*,,
35,UpdateRevision,Grants permission to update information about a revision,Write,revisions*,,
