,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptDirectConnectGatewayAssociationProposal,Grants permission to accept a proposal request to attach a virtual private gateway to a Direct Connect gateway,Write,dx-gateway*,,
1,AllocateConnectionOnInterconnect,Grants permission to create a hosted connection on an interconnect,Write,dxcon*,,
2,AllocateHostedConnection,Grants permission to create a new hosted connection between a AWS Direct Connect partner's network and a specific AWS Direct Connect location,Write,dxcon,,
3,AllocateHostedConnection,Grants permission to create a new hosted connection between a AWS Direct Connect partner's network and a specific AWS Direct Connect location,Write,dxlag,,
4,AllocateHostedConnection,Grants permission to create a new hosted connection between a AWS Direct Connect partner's network and a specific AWS Direct Connect location,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,AllocatePrivateVirtualInterface,Grants permission to provision a private virtual interface to be owned by a different customer,Write,dxcon,,
6,AllocatePrivateVirtualInterface,Grants permission to provision a private virtual interface to be owned by a different customer,Write,dxlag,,
7,AllocatePrivateVirtualInterface,Grants permission to provision a private virtual interface to be owned by a different customer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,AllocatePublicVirtualInterface,Grants permission to provision a public virtual interface to be owned by a different customer,Write,dxcon,,
9,AllocatePublicVirtualInterface,Grants permission to provision a public virtual interface to be owned by a different customer,Write,dxlag,,
10,AllocatePublicVirtualInterface,Grants permission to provision a public virtual interface to be owned by a different customer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,AllocateTransitVirtualInterface,Grants permission to provision a transit virtual interface to be owned by a different customer,Write,dxcon,,
12,AllocateTransitVirtualInterface,Grants permission to provision a transit virtual interface to be owned by a different customer,Write,dxlag,,
13,AllocateTransitVirtualInterface,Grants permission to provision a transit virtual interface to be owned by a different customer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,AssociateConnectionWithLag,Grants permission to associate a connection with a LAG,Write,dxcon*,,
15,AssociateConnectionWithLag,Grants permission to associate a connection with a LAG,Write,dxlag*,,
16,AssociateHostedConnection,Grants permission to associate a hosted connection and its virtual interfaces with a link aggregation group (LAG) or interconnect,Write,dxcon*,,
17,AssociateHostedConnection,Grants permission to associate a hosted connection and its virtual interfaces with a link aggregation group (LAG) or interconnect,Write,dxcon,,
18,AssociateHostedConnection,Grants permission to associate a hosted connection and its virtual interfaces with a link aggregation group (LAG) or interconnect,Write,dxlag,,
19,AssociateMacSecKey,Grants permission to associate a MAC Security (MACsec) Connection Key Name (CKN)/ Connectivity Association Key (CAK) pair with an AWS Direct Connect dedicated connection,Write,dxcon,,
20,AssociateMacSecKey,Grants permission to associate a MAC Security (MACsec) Connection Key Name (CKN)/ Connectivity Association Key (CAK) pair with an AWS Direct Connect dedicated connection,Write,dxlag,,
21,AssociateVirtualInterface,Grants permission to associate a virtual interface with a specified link aggregation group (LAG) or connection,Write,dxvif*,,
22,AssociateVirtualInterface,Grants permission to associate a virtual interface with a specified link aggregation group (LAG) or connection,Write,dxcon,,
23,AssociateVirtualInterface,Grants permission to associate a virtual interface with a specified link aggregation group (LAG) or connection,Write,dxlag,,
24,ConfirmConnection,Grants permission to confirm the creation of a hosted connection on an interconnect,Write,dxcon*,,
25,ConfirmCustomerAgreement,Grants permission to confirm the the terms of agreement when creating the connection or link aggregation group (LAG),Write,,,
26,ConfirmPrivateVirtualInterface,Grants permission to accept ownership of a private virtual interface created by another customer,Write,dxvif*,,
27,ConfirmPublicVirtualInterface,Grants permission to accept ownership of a public virtual interface created by another customer,Write,dxvif*,,
28,ConfirmTransitVirtualInterface,Grants permission to accept ownership of a transit virtual interface created by another customer,Write,dxvif*,,
29,CreateBGPPeer,Grants permission to create a BGP peer on the specified virtual interface,Write,dxvif*,,
30,CreateConnection,Grants permission to create a new connection between the customer network and a specific AWS Direct Connect location,Write,dxlag,,
31,CreateConnection,Grants permission to create a new connection between the customer network and a specific AWS Direct Connect location,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
32,CreateDirectConnectGateway,"Grants permission to create a Direct Connect gateway, which is an intermediate object that enables you to connect a set of virtual interfaces and virtual private gateways",Write,,,
33,CreateDirectConnectGatewayAssociation,Grants permission to create an association between a Direct Connect gateway and a virtual private gateway,Write,dx-gateway*,,
34,CreateDirectConnectGatewayAssociationProposal,Grants permission to create a proposal to associate the specified virtual private gateway with the specified Direct Connect gateway,Write,dx-gateway*,,
35,CreateInterconnect,Grants permission to create a new interconnect between a AWS Direct Connect partner's network and a specific AWS Direct Connect location,Write,dxlag,,
36,CreateInterconnect,Grants permission to create a new interconnect between a AWS Direct Connect partner's network and a specific AWS Direct Connect location,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
37,CreateLag,Grants permission to create a link aggregation group (LAG) with the specified number of bundled physical connections between the customer network and a specific AWS Direct Connect location,Write,dxcon,,
38,CreateLag,Grants permission to create a link aggregation group (LAG) with the specified number of bundled physical connections between the customer network and a specific AWS Direct Connect location,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
39,CreatePrivateVirtualInterface,Grants permission to create a new private virtual interface,Write,dxcon,,
40,CreatePrivateVirtualInterface,Grants permission to create a new private virtual interface,Write,dxlag,,
41,CreatePrivateVirtualInterface,Grants permission to create a new private virtual interface,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
42,CreatePublicVirtualInterface,Grants permission to create a new public virtual interface,Write,dxcon,,
43,CreatePublicVirtualInterface,Grants permission to create a new public virtual interface,Write,dxlag,,
44,CreatePublicVirtualInterface,Grants permission to create a new public virtual interface,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
45,CreateTransitVirtualInterface,Grants permission to create a new transit virtual interface,Write,dxcon,,
46,CreateTransitVirtualInterface,Grants permission to create a new transit virtual interface,Write,dxlag,,
47,CreateTransitVirtualInterface,Grants permission to create a new transit virtual interface,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
48,DeleteBGPPeer,Grants permission to delete the specified BGP peer on the specified virtual interface with the specified customer address and ASN,Write,dxvif*,,
49,DeleteConnection,Grants permission to delete the connection,Write,dxcon*,,
50,DeleteDirectConnectGateway,Grants permission to delete the specified Direct Connect gateway,Write,dx-gateway*,,
51,DeleteDirectConnectGatewayAssociation,Grants permission to delete the association between the specified Direct Connect gateway and virtual private gateway,Write,dx-gateway*,,
52,DeleteDirectConnectGatewayAssociationProposal,Grants permission to delete the association proposal request between the specified Direct Connect gateway and virtual private gateway,Write,,,
53,DeleteInterconnect,Grants permission to delete the specified interconnect,Write,dxcon*,,
54,DeleteLag,Grants permission to delete the specified link aggregation group (LAG),Write,dxlag*,,
55,DeleteVirtualInterface,Grants permission to delete a virtual interface,Write,dxvif*,,
56,DescribeConnectionLoa,Grants permission to describe the LOA-CFA for a Connection,Read,dxcon*,,
57,DescribeConnections,Grants permission to describe all connections in this region,Read,dxcon,,
58,DescribeConnectionsOnInterconnect,Grants permission to describe a list of connections that have been provisioned on the given interconnect,Read,dxcon*,,
59,DescribeCustomerMetadata,"Grants permission to view a list of customer agreements, along with their signed status and whether the customer is an NNIPartner, NNIPartnerV2, or a nonPartner",Read,,,
60,DescribeDirectConnectGatewayAssociationProposals,Grants permission to describe one or more association proposals for connection between a virtual private gateway and a Direct Connect gateway,Read,dx-gateway,,
61,DescribeDirectConnectGatewayAssociations,Grants permission to describe the associations between your Direct Connect gateways and virtual private gateways,Read,dx-gateway,,
62,DescribeDirectConnectGatewayAttachments,Grants permission to describe the attachments between your Direct Connect gateways and virtual interfaces,Read,dx-gateway,,
63,DescribeDirectConnectGateways,Grants permission to describe all your Direct Connect gateways or only the specified Direct Connect gateway,Read,dx-gateway,,
64,DescribeHostedConnections,Grants permission to describe the hosted connections that have been provisioned on the specified interconnect or link aggregation group (LAG),Read,dxcon,,
65,DescribeHostedConnections,Grants permission to describe the hosted connections that have been provisioned on the specified interconnect or link aggregation group (LAG),Read,dxlag,,
66,DescribeInterconnectLoa,Grants permission to describe the LOA-CFA for an Interconnect,Read,dxcon*,,
67,DescribeInterconnects,Grants permission to describe a list of interconnects owned by the AWS account,Read,dxcon,,
68,DescribeLags,Grants permission to describe all your link aggregation groups (LAG) or the specified LAG,Read,dxlag,,
69,DescribeLoa,"Grants permission to describe the LOA-CFA for a connection, interconnect, or link aggregation group (LAG)",Read,dxcon,,
70,DescribeLoa,"Grants permission to describe the LOA-CFA for a connection, interconnect, or link aggregation group (LAG)",Read,dxlag,,
71,DescribeLocations,Grants permission to describe the list of AWS Direct Connect locations in the current AWS region,Read,,,
72,DescribeRouterConfiguration,Grants permission to describe Details about the router for a virtual interface,Read,dxvif*,,
73,DescribeTags,Grants permission to describe the tags associated with the specified AWS Direct Connect resources,Read,dxcon,,
74,DescribeTags,Grants permission to describe the tags associated with the specified AWS Direct Connect resources,Read,dxlag,,
75,DescribeTags,Grants permission to describe the tags associated with the specified AWS Direct Connect resources,Read,dxvif,,
76,DescribeVirtualGateways,Grants permission to describe a list of virtual private gateways owned by the AWS account,Read,,,
77,DescribeVirtualInterfaces,Grants permission to describe all virtual interfaces for an AWS account,Read,dxcon,,
78,DescribeVirtualInterfaces,Grants permission to describe all virtual interfaces for an AWS account,Read,dxlag,,
79,DescribeVirtualInterfaces,Grants permission to describe all virtual interfaces for an AWS account,Read,dxvif,,
80,DisassociateConnectionFromLag,Grants permission to disassociate a connection from a link aggregation group (LAG),Write,dxcon*,,
81,DisassociateConnectionFromLag,Grants permission to disassociate a connection from a link aggregation group (LAG),Write,dxlag*,,
82,DisassociateMacSecKey,Grants permission to remove the association between a MAC Security (MACsec) security key and an AWS Direct Connect dedicated connection,Write,dxcon,,
83,DisassociateMacSecKey,Grants permission to remove the association between a MAC Security (MACsec) security key and an AWS Direct Connect dedicated connection,Write,dxlag,,
84,ListVirtualInterfaceTestHistory,Grants permission to list the virtual interface failover test history,List,dxvif*,,
85,StartBgpFailoverTest,Grants permission to start the virtual interface failover test that verifies your configuration meets your resiliency requirements by placing the BGP peering session in the DOWN state. You can then send traffic to verify that there are no outages,Write,dxvif*,,
86,StopBgpFailoverTest,Grants permission to stop the virtual interface failover test,Write,dxvif*,,
87,TagResource,Grants permission to add the specified tags to the specified AWS Direct Connect resource. Each resource can have a maximum of 50 tags,Tagging,dxcon,,
88,TagResource,Grants permission to add the specified tags to the specified AWS Direct Connect resource. Each resource can have a maximum of 50 tags,Tagging,dxlag,,
89,TagResource,Grants permission to add the specified tags to the specified AWS Direct Connect resource. Each resource can have a maximum of 50 tags,Tagging,dxvif,,
90,TagResource,Grants permission to add the specified tags to the specified AWS Direct Connect resource. Each resource can have a maximum of 50 tags,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
91,UntagResource,Grants permission to remove one or more tags from the specified AWS Direct Connect resource,Tagging,dxcon,,
92,UntagResource,Grants permission to remove one or more tags from the specified AWS Direct Connect resource,Tagging,dxlag,,
93,UntagResource,Grants permission to remove one or more tags from the specified AWS Direct Connect resource,Tagging,dxvif,,
94,UntagResource,Grants permission to remove one or more tags from the specified AWS Direct Connect resource,Tagging,,aws:TagKeys,
95,UpdateConnection,Grants permission to update the AWS Direct Connect dedicated connection configuration. You can update the following parameters for a connection: The connection name or The connection's MAC Security (MACsec) encryption mode,Write,dxcon*,,
96,UpdateDirectConnectGateway,Grants permission to update the name of a Direct Connect gateway,Write,dx-gateway*,,
97,UpdateDirectConnectGatewayAssociation,Grants permission to update the specified attributes of the Direct Connect gateway association,Write,,,
98,UpdateLag,Grants permission to update the attributes of the specified link aggregation group (LAG),Write,dxlag*,,
99,UpdateVirtualInterfaceAttributes,Grants permission to update the specified attributes of the specified virtual private interface,Write,dxvif*,,
