,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateFailbackClientToRecoveryInstanceForDrs [permission only],Grants permission to get associate failback client to recovery instance,Write,RecoveryInstanceResource*,,
1,BatchCreateVolumeSnapshotGroupForDrs [permission only],Grants permission to batch create volume snapshot group,Write,RecoveryInstanceResource*,,
2,BatchCreateVolumeSnapshotGroupForDrs [permission only],Grants permission to batch create volume snapshot group,Write,SourceServerResource*,,
3,BatchDeleteSnapshotRequestForDrs [permission only],Grants permission to batch delete snapshot request,Write,,,
4,CreateConvertedSnapshotForDrs [permission only],Grants permission to create converted snapshot,Write,SourceServerResource*,,
5,CreateConvertedSnapshotForDrs [permission only],Grants permission to create converted snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateExtendedSourceServer,Grants permission to extend a source server,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateRecoveryInstanceForDrs [permission only],Grants permission to create recovery instance,Write,SourceServerResource*,,
8,CreateRecoveryInstanceForDrs [permission only],Grants permission to create recovery instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateReplicationConfigurationTemplate,Grants permission to create replication configuration template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateSessionForDrs,Grants permission to create a session,Write,,,
11,CreateSourceServerForDrs [permission only],Grants permission to create a source server,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,DeleteJob,Grants permission to delete a job,Write,JobResource*,,
13,DeleteRecoveryInstance,Grants permission to delete recovery instance,Write,RecoveryInstanceResource*,,
14,DeleteReplicationConfigurationTemplate,Grants permission to delete replication configuration template,Write,ReplicationConfigurationTemplateResource*,,
15,DeleteSourceServer,Grants permission to delete source server,Write,SourceServerResource*,,
16,DescribeJobLogItems,Grants permission to describe job log items,Read,JobResource*,,
17,DescribeJobs,Grants permission to describe jobs,Read,,,
18,DescribeRecoveryInstances,Grants permission to describe recovery instances,Read,,,ec2:DescribeInstances
19,DescribeRecoverySnapshots,Grants permission to describe recovery snapshots,Read,SourceServerResource*,,
20,DescribeReplicationConfigurationTemplates,Grants permission to describe replication configuration template,Read,,,
21,DescribeReplicationServerAssociationsForDrs [permission only],Grants permission to describe replication server associations,Read,,,
22,DescribeSnapshotRequestsForDrs [permission only],Grants permission to describe snapshot requests,Read,,,
23,DescribeSourceServers,Grants permission to describe source servers,Read,,,
24,DisconnectRecoveryInstance,Grants permission to disconnect recovery instance,Write,RecoveryInstanceResource*,,
25,DisconnectSourceServer,Grants permission to disconnect source server,Write,SourceServerResource*,,
26,GetAgentCommandForDrs [permission only],Grants permission to get agent command,Read,RecoveryInstanceResource*,,
27,GetAgentCommandForDrs [permission only],Grants permission to get agent command,Read,SourceServerResource*,,
28,GetAgentConfirmedResumeInfoForDrs [permission only],Grants permission to get agent confirmed resume info,Read,RecoveryInstanceResource*,,
29,GetAgentConfirmedResumeInfoForDrs [permission only],Grants permission to get agent confirmed resume info,Read,SourceServerResource*,,
30,GetAgentInstallationAssetsForDrs [permission only],Grants permission to get agent installation assets,Read,,,
31,GetAgentReplicationInfoForDrs [permission only],Grants permission to get agent replication info,Read,RecoveryInstanceResource*,,
32,GetAgentReplicationInfoForDrs [permission only],Grants permission to get agent replication info,Read,SourceServerResource*,,
33,GetAgentRuntimeConfigurationForDrs [permission only],Grants permission to get agent runtime configuration,Read,RecoveryInstanceResource*,,
34,GetAgentRuntimeConfigurationForDrs [permission only],Grants permission to get agent runtime configuration,Read,SourceServerResource*,,
