,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CompleteUpload [permission only],Grants permission to complete an upload of an attachment for a quote or order,Write,,,
1,CreateOrderV1 [permission only],Grants permission to create an order,Write,,,
2,CreateQuote [permission only],Grants permission to create a quote,Tagging,quote*,,
3,CreateQuote [permission only],Grants permission to create a quote,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,GetAvsCorrectAddress [permission only],Grants permission to validate an address,Read,,,
5,GetBillingAddresses [permission only],Grants permission to list the billing addresses in the user account,Read,,,
6,GetDeliveryAddressesV2 [permission only],Grants permission to list the delivery addresses in the user account,Read,,,
7,GetOrder [permission only],Grants permission to describe an order,Read,,,
8,GetOrdersV2 [permission only],Grants permission to list the orders in the user account,Read,,,
9,GetQuote [permission only],Grants permission to describe a quote,Read,quote*,,
10,GetTaxes [permission only],Grants permission to calculate taxes for an order,Read,,,
11,ListQuotes [permission only],Grants permission to list the quotes in the user account,List,,,
12,ListTagsForResource [permission only],Grants permission to lists tags for an AWS Elemental Appliances and Software resource,Read,quote,,
13,StartUpload [permission only],Grants permission to start an upload of an attachment for a quote or order,Write,,,
14,SubmitOrderV1 [permission only],Grants permission to submit an order,Write,,,
15,TagResource [permission only],Grants permission to tag an AWS Elemental Appliances and Software resource,Tagging,quote,,
16,TagResource [permission only],Grants permission to tag an AWS Elemental Appliances and Software resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
17,UntagResource [permission only],Grants permission to remove a tag from an AWS Elemental Appliances and Software resource,Tagging,quote,,
18,UntagResource [permission only],Grants permission to remove a tag from an AWS Elemental Appliances and Software resource,Tagging,,aws:TagKeys,
19,UpdateQuote [permission only],Grants permission to modify a quote,Write,quote*,,
