,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddFlowMediaStreams,Grants permission to add media streams to any flow,Write,,,
1,AddFlowOutputs,Grants permission to add outputs to any flow,Write,,,
2,AddFlowSources,Grants permission to add sources to any flow,Write,,,
3,AddFlowVpcInterfaces,Grants permission to add VPC interfaces to any flow,Write,,,
4,CreateFlow,Grants permission to create flows,Write,,,
5,DeleteFlow,Grants permission to delete flows,Write,,,
6,DescribeFlow,"Grants permission to display the details of a flow including the flow ARN, name, and Availability Zone, as well as details about the source, outputs, and entitlements",Read,,,
7,DescribeOffering,Grants permission to display the details of an offering,Read,,,
8,DescribeReservation,Grants permission to display the details of a reservation,Read,,,
9,GrantFlowEntitlements,Grants permission to grant entitlements on any flow,Write,,,
10,ListEntitlements,Grants permission to display a list of all entitlements that have been granted to the account,List,,,
11,ListFlows,Grants permission to display a list of flows that are associated with this account,List,,,
12,ListOfferings,Grants permission to display a list of all offerings that are available to the account in the current AWS Region,List,,,
13,ListReservations,Grants permission to display a list of all reservations that have been purchased by the account in the current AWS Region,List,,,
14,ListTagsForResource,Grants permission to display a list of all tags associated with a resource,Read,,,
15,PurchaseOffering,Grants permission to purchase an offering,Write,,,
16,RemoveFlowMediaStream,Grants permission to remove media streams from any flow,Write,,,
17,RemoveFlowOutput,Grants permission to remove outputs from any flow,Write,,,
18,RemoveFlowSource,Grants permission to remove sources from any flow,Write,,,
19,RemoveFlowVpcInterface,Grants permission to remove VPC interfaces from any flow,Write,,,
20,RevokeFlowEntitlement,Grants permission to revoke entitlements on any flow,Write,,,
21,StartFlow,Grants permission to start flows,Write,,,
22,StopFlow,Grants permission to stop flows,Write,,,
23,TagResource,Grants permission to associate tags with resources,Tagging,,,
24,UntagResource,Grants permission to remove tags from resources,Tagging,,,
25,UpdateFlow,Grants permission to update flows,Write,,,
26,UpdateFlowEntitlement,Grants permission to update entitlements on any flow,Write,,,
27,UpdateFlowMediaStream,Grants permission to update media streams on any flow,Write,,,
28,UpdateFlowOutput,Grants permission to update outputs on any flow,Write,,,
29,UpdateFlowSource,Grants permission to update the source of any flow,Write,,,
