,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ConfigureLogs,Grants permission to configure access logs for a Channel,Write,channels*,,iam:CreateServiceLinkedRole
1,CreateChannel,Grants permission to create a channel in AWS Elemental MediaPackage,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateHarvestJob,Grants permission to create a harvest job in AWS Elemental MediaPackage,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateOriginEndpoint,Grants permission to create an endpoint in AWS Elemental MediaPackage,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteChannel,Grants permission to delete a channel in AWS Elemental MediaPackage,Write,channels*,,
5,DeleteOriginEndpoint,Grants permission to delete an endpoint in AWS Elemental MediaPackage,Write,origin_endpoints*,,
6,DescribeChannel,Grants permission to view the details of a channel in AWS Elemental MediaPackage,Read,channels*,,
7,DescribeHarvestJob,Grants permission to view the details of a harvest job in AWS Elemental MediaPackage,Read,harvest_jobs*,,
8,DescribeOriginEndpoint,Grants permission to view the details of an endpoint in AWS Elemental MediaPackage,Read,origin_endpoints*,,
9,ListChannels,Grants permission to view a list of channels in AWS Elemental MediaPackage,Read,,,
10,ListHarvestJobs,Grants permission to view a list of harvest jobs in AWS Elemental MediaPackage,Read,,,
11,ListOriginEndpoints,Grants permission to view a list of endpoints in AWS Elemental MediaPackage,Read,,,
12,ListTagsForResource,Grants permission to list the tags assigned to a Channel or OriginEndpoint,Read,channels,,
13,ListTagsForResource,Grants permission to list the tags assigned to a Channel or OriginEndpoint,Read,harvest_jobs,,
14,ListTagsForResource,Grants permission to list the tags assigned to a Channel or OriginEndpoint,Read,origin_endpoints,,
15,RotateChannelCredentials,Grants permission to rotate credentials for the first IngestEndpoint of a Channel in AWS Elemental MediaPackage,Write,channels*,,
16,RotateIngestEndpointCredentials,Grants permission to rotate IngestEndpoint credentials for a Channel in AWS Elemental MediaPackage,Write,channels*,,
17,TagResource,Grants permission to tag a MediaPackage resource,Tagging,channels,,
18,TagResource,Grants permission to tag a MediaPackage resource,Tagging,harvest_jobs,,
19,TagResource,Grants permission to tag a MediaPackage resource,Tagging,origin_endpoints,,
20,TagResource,Grants permission to tag a MediaPackage resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,UntagResource,Grants permission to delete tags to a Channel or OriginEndpoint,Tagging,channels,,
22,UntagResource,Grants permission to delete tags to a Channel or OriginEndpoint,Tagging,harvest_jobs,,
23,UntagResource,Grants permission to delete tags to a Channel or OriginEndpoint,Tagging,origin_endpoints,,
24,UntagResource,Grants permission to delete tags to a Channel or OriginEndpoint,Tagging,,aws:TagKeys,
25,UpdateChannel,Grants permission to make changes to a channel in AWS Elemental MediaPackage,Write,channels*,,
26,UpdateOriginEndpoint,Grants permission to make changes to an endpoint in AWS Elemental MediaPackage,Write,origin_endpoints*,,
