,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ConfigureLogsForPlaybackConfiguration,Grants permission to configure logs for a playback configuration,Write,playbackConfiguration*,,iam:CreateServiceLinkedRole
1,CreateChannel,Grants permission to create a new channel,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateLiveSource,Grants permission to create a new live source on the source location with the specified source location name,Write,sourceLocation*,,
3,CreateLiveSource,Grants permission to create a new live source on the source location with the specified source location name,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreatePrefetchSchedule,Grants permission to create a prefetch schedule for the playback configuration with the specified playback configuration name,Write,playbackConfiguration*,,
5,CreateProgram,Grants permission to create a new program on the channel with the specified channel name,Write,channel*,,
6,CreateSourceLocation,Grants permission to create a new source location,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateVodSource,Grants permission to create a new VOD source on the source location with the specified source location name,Write,sourceLocation*,,
8,CreateVodSource,Grants permission to create a new VOD source on the source location with the specified source location name,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteChannel,Grants permission to delete the channel with the specified channel name,Write,channel*,,
10,DeleteChannelPolicy,Grants permission to delete the IAM policy on the channel with the specified channel name,Permissions management,channel*,,
11,DeleteLiveSource,Grants permission to delete the live source with the specified live source name on the source location with the specified source location name,Write,liveSource*,,
12,DeleteLiveSource,Grants permission to delete the live source with the specified live source name on the source location with the specified source location name,Write,sourceLocation*,,
13,DeletePlaybackConfiguration,Grants permission to delete the specified playback configuration,Write,playbackConfiguration*,,
14,DeletePrefetchSchedule,Grants permission to delete a prefetch schedule for a playback configuration with the specified prefetch schedule name,Write,playbackConfiguration*,,
15,DeletePrefetchSchedule,Grants permission to delete a prefetch schedule for a playback configuration with the specified prefetch schedule name,Write,prefetchSchedule*,,
16,DeleteProgram,Grants permission to delete the program with the specified program name on the channel with the specified channel name,Write,channel*,,
17,DeleteProgram,Grants permission to delete the program with the specified program name on the channel with the specified channel name,Write,program*,,
18,DeleteSourceLocation,Grants permission to delete the source location with the specified source location name,Write,sourceLocation*,,
19,DeleteVodSource,Grants permission to delete the VOD source with the specified VOD source name on the source location with the specified source location name,Write,sourceLocation*,,
20,DeleteVodSource,Grants permission to delete the VOD source with the specified VOD source name on the source location with the specified source location name,Write,vodSource*,,
21,DescribeChannel,Grants permission to retrieve the channel with the specified channel name,Read,channel*,,
22,DescribeLiveSource,Grants permission to retrieve the live source with the specified live source name on the source location with the specified source location name,Read,liveSource*,,
23,DescribeLiveSource,Grants permission to retrieve the live source with the specified live source name on the source location with the specified source location name,Read,sourceLocation*,,
24,DescribeProgram,Grants permission to retrieve the program with the specified program name on the channel with the specified channel name,Read,channel*,,
25,DescribeProgram,Grants permission to retrieve the program with the specified program name on the channel with the specified channel name,Read,program*,,
26,DescribeSourceLocation,Grants permission to retrieve the source location with the specified source location name,Read,sourceLocation*,,
27,DescribeVodSource,Grants permission to retrieve the VOD source with the specified VOD source name on the source location with the specified source location name,Read,sourceLocation*,,
28,DescribeVodSource,Grants permission to retrieve the VOD source with the specified VOD source name on the source location with the specified source location name,Read,vodSource*,,
29,GetChannelPolicy,Grants permission to read the IAM policy on the channel with the specified channel name,Read,channel*,,
30,GetChannelSchedule,Grants permission to retrieve the schedule of programs on the channel with the specified channel name,Read,channel*,,
31,GetPlaybackConfiguration,Grants permission to retrieve the configuration for the specified name,Read,playbackConfiguration*,,
32,GetPrefetchSchedule,Grants permission to retrieve prefetch schedule for a playback configuration with the specified prefetch schedule name,Read,playbackConfiguration*,,
33,GetPrefetchSchedule,Grants permission to retrieve prefetch schedule for a playback configuration with the specified prefetch schedule name,Read,prefetchSchedule*,,
34,ListAlerts,Grants permission to retrieve the list of alerts on a resource,Read,,,
35,ListChannels,Grants permission to retrieve the list of existing channels,Read,,,
36,ListLiveSources,Grants permission to retrieve the list of existing live sources on the source location with the specified source location name,Read,sourceLocation*,,
37,ListPlaybackConfigurations,Grants permission to retrieve the list of available configurations,List,,,
38,ListPrefetchSchedules,Grants permission to retrieve the list of prefetch schedules for a playback configuration,List,playbackConfiguration*,,
39,ListSourceLocations,Grants permission to retrieve the list of existing source locations,Read,,,
40,ListTagsForResource,Grants permission to list the tags assigned to the specified playback configuration resource,Read,channel,,
41,ListTagsForResource,Grants permission to list the tags assigned to the specified playback configuration resource,Read,liveSource,,
42,ListTagsForResource,Grants permission to list the tags assigned to the specified playback configuration resource,Read,playbackConfiguration,,
43,ListTagsForResource,Grants permission to list the tags assigned to the specified playback configuration resource,Read,sourceLocation,,
44,ListTagsForResource,Grants permission to list the tags assigned to the specified playback configuration resource,Read,vodSource,,
45,ListVodSources,Grants permission to retrieve the list of existing VOD sources on the source location with the specified source location name,Read,sourceLocation*,,
46,PutChannelPolicy,Grants permission to set the IAM policy on the channel with the specified channel name,Permissions management,channel*,,
47,PutPlaybackConfiguration,Grants permission to add a new configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
48,StartChannel,Grants permission to start the channel with the specified channel name,Write,channel*,,
49,StopChannel,Grants permission to stop the channel with the specified channel name,Write,channel*,,
50,TagResource,Grants permission to add tags to the specified playback configuration resource,Tagging,channel,,
51,TagResource,Grants permission to add tags to the specified playback configuration resource,Tagging,liveSource,,
52,TagResource,Grants permission to add tags to the specified playback configuration resource,Tagging,playbackConfiguration,,
53,TagResource,Grants permission to add tags to the specified playback configuration resource,Tagging,sourceLocation,,
54,TagResource,Grants permission to add tags to the specified playback configuration resource,Tagging,vodSource,,
55,TagResource,Grants permission to add tags to the specified playback configuration resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
56,UntagResource,Grants permission to remove tags from the specified playback configuration resource,Tagging,channel,,
57,UntagResource,Grants permission to remove tags from the specified playback configuration resource,Tagging,liveSource,,
58,UntagResource,Grants permission to remove tags from the specified playback configuration resource,Tagging,playbackConfiguration,,
59,UntagResource,Grants permission to remove tags from the specified playback configuration resource,Tagging,sourceLocation,,
60,UntagResource,Grants permission to remove tags from the specified playback configuration resource,Tagging,vodSource,,
61,UntagResource,Grants permission to remove tags from the specified playback configuration resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
62,UpdateChannel,Grants permission to update the channel with the specified channel name,Write,channel*,,
63,UpdateLiveSource,Grants permission to update the live source with the specified live source name on the source location with the specified source location name,Write,liveSource*,,
64,UpdateLiveSource,Grants permission to update the live source with the specified live source name on the source location with the specified source location name,Write,sourceLocation*,,
65,UpdateSourceLocation,Grants permission to update the source location with the specified source location name,Write,sourceLocation*,,
66,UpdateVodSource,Grants permission to update the VOD source with the specified VOD source name on the source location with the specified source location name,Write,sourceLocation*,,
67,UpdateVodSource,Grants permission to update the VOD source with the specified VOD source name on the source location with the specified source location name,Write,vodSource*,,
