,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateAdminAccount,Grants permission to set the AWS Firewall Manager administrator account and enables the service in all organization accounts,Write,,,
1,AssociateThirdPartyFirewall,Grants permission to set the Firewall Manager administrator as a tenant administrator of a third-party firewall service,Write,,,
2,DeleteAppsList,Grants permission to permanently deletes an AWS Firewall Manager applications list,Write,applications-list*,,
3,DeleteNotificationChannel,Grants permission to delete an AWS Firewall Manager association with the IAM role and the Amazon Simple Notification Service (SNS) topic that is used to notify the FM administrator about major FM events and errors across the organization,Write,,,
4,DeletePolicy,Grants permission to permanently delete an AWS Firewall Manager policy,Write,policy*,,
5,DeletePolicy,Grants permission to permanently delete an AWS Firewall Manager policy,Write,,aws:ResourceTag/${TagKey},
6,DeleteProtocolsList,Grants permission to permanently deletes an AWS Firewall Manager protocols list,Write,protocols-list*,,
7,DisassociateAdminAccount,Grants permission to disassociate the account that has been set as the AWS Firewall Manager administrator account and and disables the service in all organization accounts,Write,,,
8,DisassociateThirdPartyFirewall,Grants permission to disassociate a Firewall Manager administrator from a third-party firewall tenant,Write,,,
9,GetAdminAccount,Grants permission to retrieve the AWS Organizations master account that is associated with AWS Firewall Manager as the AWS Firewall Manager administrator,Read,,,
10,GetAppsList,Grants permission to return information about the specified AWS Firewall Manager applications list,Read,applications-list*,,
11,GetComplianceDetail,Grants permission to retrieve detailed compliance information about the specified member account. Details include resources that are in and out of compliance with the specified policy,Read,policy*,,
12,GetNotificationChannel,Grants permission to retrieve information about the Amazon Simple Notification Service (SNS) topic that is used to record AWS Firewall Manager SNS logs,Read,,,
13,GetPolicy,Grants permission to retrieve information about the specified AWS Firewall Manager policy,Read,policy*,,
14,GetProtectionStatus,Grants permission to retrieve policy-level attack summary information in the event of a potential DDoS attack,Read,policy*,,
15,GetProtocolsList,Grants permission to return information about the specified AWS Firewall Manager protocols list,Read,protocols-list*,,
16,GetThirdPartyFirewallAssociationStatus,Grants permission to retrieve the onboarding status of a Firewall Manager administrator account to third-party firewall vendor tenant,Read,,,
17,GetViolationDetails,Grants permission to retrieve violations for a resource based on the specified AWS Firewall Manager policy and AWS account,Read,policy*,,
18,ListAppsLists,Grants permission to return an array of AppsListDataSummary objects,List,,,
19,ListComplianceStatus,Grants permission to retrieve an array of PolicyComplianceStatus objects in the response. Use PolicyComplianceStatus to get a summary of which member accounts are protected by the specified policy,List,policy*,,
20,ListMemberAccounts,Grants permission to retrieve an array of member account ids if the caller is FMS admin account,List,,,
21,ListPolicies,Grants permission to retrieve an array of PolicySummary objects in the response,List,,,
22,ListProtocolsLists,Grants permission to return an array of ProtocolsListDataSummary objects,List,,,
23,ListTagsForResource,Grants permission to list Tags for a given resource,Read,policy*,,
24,ListThirdPartyFirewallFirewallPolicies,Grants permission to retrieve a list of all of the third-party firewall policies that are associated with the third-party firewall administrator's account,List,,,
25,PutAppsList,Grants permission to create an AWS Firewall Manager applications list,Write,applications-list*,,
26,PutAppsList,Grants permission to create an AWS Firewall Manager applications list,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,PutNotificationChannel,Grants permission to designate the IAM role and Amazon Simple Notification Service (SNS) topic that AWS Firewall Manager (FM) could use to notify the FM administrator about major FM events and errors across the organization,Write,,,
28,PutPolicy,Grants permission to create an AWS Firewall Manager policy,Write,policy*,,
29,PutPolicy,Grants permission to create an AWS Firewall Manager policy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
30,PutProtocolsList,Grants permission to creates an AWS Firewall Manager protocols list,Write,protocols-list*,,
31,PutProtocolsList,Grants permission to creates an AWS Firewall Manager protocols list,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
32,TagResource,Grants permission to add a Tag to a given resource,Tagging,policy*,,
33,TagResource,Grants permission to add a Tag to a given resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
34,UntagResource,Grants permission to remove a Tag from a given resource,Tagging,policy*,,
35,UntagResource,Grants permission to remove a Tag from a given resource,Tagging,,aws:TagKeys,
