,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddCustomRoutingEndpoints,Grants permission to add a virtual private cloud (VPC) subnet endpoint to a custom routing accelerator endpoint group,Write,endpointgroup*,,
1,AdvertiseByoipCidr,Grants permission to advertises an IPv4 address range that is provisioned for use with your accelerator through bring your own IP addresses (BYOIP),Write,,,
2,AllowCustomRoutingTraffic,Grants permission to allows custom routing of user traffic to a private destination IP:PORT in a specific VPC subnet,Write,endpointgroup*,,
3,CreateAccelerator,Grants permission to create a standard accelerator,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateCustomRoutingAccelerator,Grants permission to create a Custom Routing accelerator,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateCustomRoutingEndpointGroup,Grants permission to create an endpoint group for the specified listener for a custom routing accelerator,Write,listener*,,
6,CreateCustomRoutingListener,Grants permission to create a listener to process inbound connections from clients to a custom routing accelerator,Write,accelerator*,,
7,CreateEndpointGroup,Grants permission to add an endpoint group to a standard accelerator listener,Write,listener*,,
8,CreateListener,Grants permission to add a listener to a standard accelerator,Write,accelerator*,,
9,DeleteAccelerator,Grants permission to delete a standard accelerator,Write,accelerator*,,
10,DeleteCustomRoutingAccelerator,Grants permission to delete a custom routing accelerator,Write,accelerator*,,
11,DeleteCustomRoutingEndpointGroup,Grants permission to delete an endpoint group from a listener for a custom routing accelerator,Write,endpointgroup*,,
12,DeleteCustomRoutingListener,Grants permission to delete a listener for a custom routing accelerator,Write,listener*,,
13,DeleteEndpointGroup,Grants permission to delete an endpoint group associated with a standard accelerator listener,Write,endpointgroup*,,
14,DeleteListener,Grants permission to delete a listener from a standard accelerator,Write,listener*,,
15,DenyCustomRoutingTraffic,Grants permission to disallows custom routing of user traffic to a private destination IP:PORT in a specific VPC subnet,Write,endpointgroup*,,
16,DeprovisionByoipCidr,Grants permission to releases the specified address range that you provisioned for use with your accelerator through bring your own IP addresses (BYOIP),Write,,,
17,DescribeAccelerator,Grants permissions to describe a standard accelerator,Read,accelerator*,,
18,DescribeAcceleratorAttributes,Grants permission to describe a standard accelerator attributes,Read,accelerator*,,
19,DescribeCustomRoutingAccelerator,Grants permission to describe a custom routing accelerator,Read,accelerator*,,
20,DescribeCustomRoutingAcceleratorAttributes,Grants permission to describe the attributes of a custom routing accelerator,Read,accelerator*,,
21,DescribeCustomRoutingEndpointGroup,Grants permission to describe an endpoint group for a custom routing accelerator,Read,endpointgroup*,,
22,DescribeCustomRoutingListener,Grants permission to describe a listener for a custom routing accelerator,Read,listener*,,
23,DescribeEndpointGroup,Grants permission to describe a standard accelerator endpoint group,Read,endpointgroup*,,
24,DescribeListener,Grants permission to describe a standard accelerator listener,Read,listener*,,
25,ListAccelerators,Grants permission to list all standard accelerators,List,,,
26,ListByoipCidrs,Grants permission to list the BYOIP cidrs,List,,,
27,ListCustomRoutingAccelerators,Grants permission to list the custom routing accelerators for an AWS account,List,,,
28,ListCustomRoutingEndpointGroups,Grants permission to list the endpoint groups that are associated with a listener for a custom routing accelerator,List,listener*,,
29,ListCustomRoutingListeners,Grants permission to list the listeners for a custom routing accelerator,List,accelerator*,,
30,ListCustomRoutingPortMappings,Grants permission to list the port mappings for a custom routing accelerator,List,accelerator*,,
31,ListCustomRoutingPortMappingsByDestination,Grants permission to list the port mappings for a specific endpoint IP address (a destination address) in a subnet,List,,,
32,ListEndpointGroups,Grants permission to list all endpoint groups associated with a standard accelerator listener,List,listener*,,
33,ListListeners,Grants permission to list all listeners associated with a standard accelerator,List,accelerator*,,
34,ListTagsForResource,Grants permission to list tags for a globalaccelerator resource,Read,accelerator,,
35,ProvisionByoipCidr,Grants permission to provisions an address range for use with your accelerator through bring your own IP addresses (BYOIP),Write,,,
36,RemoveCustomRoutingEndpoints,Grants permission to remove virtual private cloud (VPC) subnet endpoints from a custom routing accelerator endpoint group,Write,endpointgroup*,,
37,TagResource,Grants permission to add tags to a globalaccelerator resource,Tagging,accelerator,,
38,TagResource,Grants permission to add tags to a globalaccelerator resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
39,UntagResource,Grants permission to remove tags from a globalaccelerator resource,Tagging,accelerator,,
40,UntagResource,Grants permission to remove tags from a globalaccelerator resource,Tagging,,aws:TagKeys,
41,UpdateAccelerator,Grants permission to update a standard accelerator,Write,accelerator*,,
42,UpdateAcceleratorAttributes,Grants permission to update a standard accelerator attributes,Write,accelerator*,,
43,UpdateCustomRoutingAccelerator,Grants permission to update a custom routing accelerator,Write,accelerator*,,
44,UpdateCustomRoutingAcceleratorAttributes,Grants permission to update the attributes for a custom routing accelerator,Write,accelerator*,,
45,UpdateCustomRoutingListener,Grants permission to update a listener for a custom routing accelerator,Write,listener*,,
46,UpdateEndpointGroup,Grants permission to update an endpoint group on a standard accelerator listener,Write,endpointgroup*,,
47,UpdateListener,Grants permission to update a listener on a standard accelerator,Write,listener*,,
48,WithdrawByoipCidr,Grants permission to stops advertising a BYOIP IPv4 address,Write,,,
