,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchDeleteRecipeVersion,Grants permission to delete one or more recipe versions,Write,Recipe*,,
1,CreateDataset,Grants permission to create a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateProfileJob,Grants permission to create a profile job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateProject,Grants permission to create a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateRecipe,Grants permission to create a recipe,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateRecipeJob,Grants permission to create a recipe job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateRuleset,Grants permission to create a ruleset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateSchedule,Grants permission to create a schedule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,DeleteDataset,Grants permission to delete a dataset,Write,Dataset*,,
9,DeleteJob,Grants permission to delete a job,Write,Job*,,
10,DeleteProject,Grants permission to delete a project,Write,Project*,,
11,DeleteRecipeVersion,Grants permission to delete a recipe version,Write,Recipe*,,
12,DeleteRuleset,Grants permission to delete a ruleset,Write,Ruleset*,,
13,DeleteSchedule,Grants permission to delete a schedule,Write,Schedule*,,
14,DescribeDataset,Grants permission to view details about a dataset,Read,Dataset*,,
15,DescribeJob,Grants permission to view details about a job,Read,Job*,,
16,DescribeJobRun,Grants permission to view details about job run for a given job,Read,Job*,,
17,DescribeProject,Grants permission to view details about a project,Read,Project*,,
18,DescribeRecipe,Grants permission to view details about a recipe,Read,Recipe*,,
19,DescribeRuleset,Grants permission to view details about a ruleset,Read,Ruleset*,,
20,DescribeSchedule,Grants permission to view details about a schedule,Read,Schedule*,,
21,ListDatasets,Grants permission to list datasets in your account,Read,,,
22,ListJobRuns,Grants permission to list job runs for a given job,Read,Job*,,
23,ListJobs,Grants permission to list jobs in your account,Read,,,
24,ListProjects,Grants permission to list projects in your account,Read,,,
25,ListRecipeVersions,Grants permission to list versions in your recipe,Read,Recipe*,,
26,ListRecipes,Grants permission to list recipes in your account,Read,,,
27,ListRulesets,Grants permission to list rulesets in your account,Read,,,
28,ListSchedules,Grants permission to list schedules in your account,Read,,,
29,ListTagsForResource,Grants permission to retrieve tags associated with a resource,Read,Dataset,,
30,ListTagsForResource,Grants permission to retrieve tags associated with a resource,Read,Job,,
31,ListTagsForResource,Grants permission to retrieve tags associated with a resource,Read,Project,,
32,ListTagsForResource,Grants permission to retrieve tags associated with a resource,Read,Recipe,,
33,ListTagsForResource,Grants permission to retrieve tags associated with a resource,Read,Ruleset,,
34,ListTagsForResource,Grants permission to retrieve tags associated with a resource,Read,Schedule,,
35,PublishRecipe,Grants permission to publish a major verison of a recipe,Write,Recipe*,,
36,SendProjectSessionAction,Grants permission to submit an action to the interactive session for a project,Write,Project*,,
37,StartJobRun,Grants permission to start running a job,Write,Job*,,
38,StartProjectSession,Grants permission to start an interactive session for a project,Write,Project*,,
39,StopJobRun,Grants permission to stop a job run for a job,Write,Job*,,
40,TagResource,Grants permission to add tags to a resource,Tagging,Dataset,,
41,TagResource,Grants permission to add tags to a resource,Tagging,Job,,
42,TagResource,Grants permission to add tags to a resource,Tagging,Project,,
43,TagResource,Grants permission to add tags to a resource,Tagging,Recipe,,
44,TagResource,Grants permission to add tags to a resource,Tagging,Ruleset,,
45,TagResource,Grants permission to add tags to a resource,Tagging,Schedule,,
46,TagResource,Grants permission to add tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
47,UntagResource,Grants permission to remove tags associated with a resource,Tagging,Dataset,,
48,UntagResource,Grants permission to remove tags associated with a resource,Tagging,Job,,
49,UntagResource,Grants permission to remove tags associated with a resource,Tagging,Project,,
50,UntagResource,Grants permission to remove tags associated with a resource,Tagging,Recipe,,
51,UntagResource,Grants permission to remove tags associated with a resource,Tagging,Ruleset,,
52,UntagResource,Grants permission to remove tags associated with a resource,Tagging,Schedule,,
53,UntagResource,Grants permission to remove tags associated with a resource,Tagging,,aws:TagKeys,
54,UpdateDataset,Grants permission to modify a dataset,Write,Dataset*,,
55,UpdateProfileJob,Grants permission to modify a profile job,Write,Job*,,
56,UpdateProject,Grants permission to modify a project,Write,Project*,,
57,UpdateRecipe,Grants permission to modify a recipe,Write,Recipe*,,
58,UpdateRecipeJob,Grants permission to modify a recipe job,Write,Job*,,
59,UpdateRuleset,Grants permission to modify a ruleset,Write,Ruleset*,,
60,UpdateSchedule,Grants permission to modify a schedule,Write,Schedule*,,
