,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateGroup,Grants permission to create a group in the specified IdentityStore,Write,Identitystore*,,
1,CreateGroupMembership,Grants permission to create a member to a group in the specified IdentityStore,Write,Group*,,
2,CreateGroupMembership,Grants permission to create a member to a group in the specified IdentityStore,Write,Identitystore*,,
3,CreateGroupMembership,Grants permission to create a member to a group in the specified IdentityStore,Write,User*,,
4,CreateUser,Grants permission to create a user in the specified IdentityStore,Write,Identitystore*,,
5,DeleteGroup,Grants permission to delete a group in the specified IdentityStore,Write,Group*,,
6,DeleteGroup,Grants permission to delete a group in the specified IdentityStore,Write,Identitystore*,,
7,DeleteGroupMembership,Grants permission to remove a member that is part of a group in the specified IdentityStore,Write,Group*,,
8,DeleteGroupMembership,Grants permission to remove a member that is part of a group in the specified IdentityStore,Write,GroupMembership*,,
9,DeleteGroupMembership,Grants permission to remove a member that is part of a group in the specified IdentityStore,Write,Identitystore*,,
10,DeleteGroupMembership,Grants permission to remove a member that is part of a group in the specified IdentityStore,Write,User*,,
11,DeleteUser,Grants permission to delete a user in the specified IdentityStore,Write,Identitystore*,,
12,DeleteUser,Grants permission to delete a user in the specified IdentityStore,Write,User*,,
13,DescribeGroup,Grants permission to retrieve information about a group in the specified IdentityStore,Read,Group*,,
14,DescribeGroup,Grants permission to retrieve information about a group in the specified IdentityStore,Read,Identitystore*,,
15,DescribeGroupMembership,Grants permission to retrieve information about a member that is part of a group in the specified IdentityStore,Read,Group*,,
16,DescribeGroupMembership,Grants permission to retrieve information about a member that is part of a group in the specified IdentityStore,Read,GroupMembership*,,
17,DescribeGroupMembership,Grants permission to retrieve information about a member that is part of a group in the specified IdentityStore,Read,Identitystore*,,
18,DescribeGroupMembership,Grants permission to retrieve information about a member that is part of a group in the specified IdentityStore,Read,User*,,
19,DescribeUser,Grants permission to retrieve information about user in the specified IdentityStore,Read,Identitystore*,,
20,DescribeUser,Grants permission to retrieve information about user in the specified IdentityStore,Read,User*,,
21,GetGroupId,Grants permission to retrieve ID information about group in the specified IdentityStore,Read,Group*,,
22,GetGroupId,Grants permission to retrieve ID information about group in the specified IdentityStore,Read,Identitystore*,,
23,GetGroupMembershipId,Grants permission to retrieve ID information of a member which is part of a group in the specified IdentityStore,Read,Group*,,
24,GetGroupMembershipId,Grants permission to retrieve ID information of a member which is part of a group in the specified IdentityStore,Read,GroupMembership*,,
25,GetGroupMembershipId,Grants permission to retrieve ID information of a member which is part of a group in the specified IdentityStore,Read,Identitystore*,,
26,GetGroupMembershipId,Grants permission to retrieve ID information of a member which is part of a group in the specified IdentityStore,Read,User*,,
27,GetUserId,Grants permission to retrieves ID information about user in the specified IdentityStore,Read,Identitystore*,,
28,GetUserId,Grants permission to retrieves ID information about user in the specified IdentityStore,Read,User*,,
29,IsMemberInGroups,Grants permission to check if a member is a part of groups in the specified IdentityStore,Read,AllGroupMemberships*,,
30,IsMemberInGroups,Grants permission to check if a member is a part of groups in the specified IdentityStore,Read,Group*,,
31,IsMemberInGroups,Grants permission to check if a member is a part of groups in the specified IdentityStore,Read,Identitystore*,,
32,IsMemberInGroups,Grants permission to check if a member is a part of groups in the specified IdentityStore,Read,User*,,
33,ListGroupMemberships,Grants permission to retrieve all members that are part of a group in the specified IdentityStore,List,AllGroupMemberships*,,
34,ListGroupMemberships,Grants permission to retrieve all members that are part of a group in the specified IdentityStore,List,Group*,,
35,ListGroupMemberships,Grants permission to retrieve all members that are part of a group in the specified IdentityStore,List,Identitystore*,,
36,ListGroupMembershipsForMember,Grants permission to list groups of the target member in the specified IdentityStore,List,AllGroupMemberships*,,
37,ListGroupMembershipsForMember,Grants permission to list groups of the target member in the specified IdentityStore,List,Identitystore*,,
38,ListGroupMembershipsForMember,Grants permission to list groups of the target member in the specified IdentityStore,List,User*,,
39,ListGroups,Grants permission to search for groups within the specified IdentityStore,List,AllGroups*,,
40,ListGroups,Grants permission to search for groups within the specified IdentityStore,List,Identitystore*,,
41,ListUsers,Grants permission to search for users in the specified IdentityStore,List,AllUsers*,,
42,ListUsers,Grants permission to search for users in the specified IdentityStore,List,Identitystore*,,
43,UpdateGroup,Grants permission to update information about a group in the specified IdentityStore,Write,Group*,,
44,UpdateGroup,Grants permission to update information about a group in the specified IdentityStore,Write,Identitystore*,,
45,UpdateUser,Grants permission to update user information in the specified IdentityStore,Write,Identitystore*,,
46,UpdateUser,Grants permission to update user information in the specified IdentityStore,Write,User*,,
