,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateProfile,Grants permission to create a profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateTrustAnchor,Grants permission to create a trust anchor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteCrl,Grants permission to delete a certificate revocation list (crl),Write,,,
3,DeleteProfile,Grants permission to delete a profile,Write,,,
4,DeleteTrustAnchor,Grants permission to delete a trust anchor,Write,,,
5,DisableCrl,Grants permission to disable a certificate revocation list (crl),Write,,,
6,DisableProfile,Grants permission to disable a profile,Write,,,
7,DisableTrustAnchor,Grants permission to disable a trust anchor,Write,,,
8,EnableCrl,Grants permission to enable a certificate revocation list (crl),Write,,,
9,EnableProfile,Grants permission to enable a profile,Write,,,
10,EnableTrustAnchor,Grants permission to enable a trust anchor,Write,,,
11,GetCrl,Grants permission to get a certificate revocation list (crl),Read,,,
12,GetProfile,Grants permission to get a profile,Read,,,
13,GetSubject,Grants permission to get a subject,Read,,,
14,GetTrustAnchor,Grants permission to get a trust anchor,Read,,,
15,ImportCrl,Grants permission to import a certificate revocation list (crl),Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,ListCrls,Grants permission to list certificate revocation lists (crls),List,,,
17,ListProfiles,Grants permission to list profiles,List,,,
18,ListSubjects,Grants permission to list subjects,List,,,
19,ListTagsForResource,Grants permission to list tags for a resource,List,,,
20,ListTrustAnchors,Grants permission to list trust anchors,List,,,
21,TagResource,Grants permission to tag a resource,Tagging,crl,,
22,TagResource,Grants permission to tag a resource,Tagging,profile,,
23,TagResource,Grants permission to tag a resource,Tagging,subject,,
24,TagResource,Grants permission to tag a resource,Tagging,trust-anchor,,
25,TagResource,Grants permission to tag a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,UntagResource,Grants permission to untag a resource,Tagging,crl,,
27,UntagResource,Grants permission to untag a resource,Tagging,profile,,
28,UntagResource,Grants permission to untag a resource,Tagging,subject,,
29,UntagResource,Grants permission to untag a resource,Tagging,trust-anchor,,
30,UntagResource,Grants permission to untag a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,UpdateCrl,Grants permission to update a certificate revocation list (crl),Write,,,
32,UpdateProfile,Grants permission to update a profile,Write,,,
33,UpdateTrustAnchor,Grants permission to update a trust anchor,Write,,,
