,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateSuiteDefinition,Grants permission to create a suite definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,DeleteSuiteDefinition,Grants permission to delete a suite definition,Write,Suitedefinition*,,
2,GetEndpoint,Grants permission to get a Device Advisor endpoint,Read,,,
3,GetSuiteDefinition,Grants permission to get a suite definition,Read,Suitedefinition*,,
4,GetSuiteRun,Grants permission to get a suite run,Read,Suiterun*,,
5,GetSuiteRunReport,Grants permission to get the qualification report for a suite run,Read,Suiterun*,,
6,ListSuiteDefinitions,Grants permission to list suite definitions,List,,,
7,ListSuiteRuns,Grants permission to list suite runs,List,Suitedefinition*,,
8,ListTagsForResource,Grants permission to list the tags (metadata) assigned to a resource,Read,Suitedefinition,,
9,ListTagsForResource,Grants permission to list the tags (metadata) assigned to a resource,Read,Suiterun,,
10,StartSuiteRun,Grants permission to start a suite run,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,StopSuiteRun,Grants permission to stop a suite run,Write,Suiterun*,,
12,TagResource,Grants permission to add to or modify the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,Suitedefinition,,
13,TagResource,Grants permission to add to or modify the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,Suiterun,,
14,TagResource,Grants permission to add to or modify the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,UntagResource,Grants permission to remove the given tags (metadata) from a resource,Tagging,Suitedefinition,,
16,UntagResource,Grants permission to remove the given tags (metadata) from a resource,Tagging,Suiterun,,
17,UntagResource,Grants permission to remove the given tags (metadata) from a resource,Tagging,,aws:TagKeys,
18,UpdateSuiteDefinition,Grants permission to update a suite definition,Write,Suitedefinition*,,
