,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateVehicleFleet,Grants permission to associate the given vehicle to a fleet,Write,fleet*,,
1,AssociateVehicleFleet,Grants permission to associate the given vehicle to a fleet,Write,vehicle*,,
2,CreateCampaign,Grants permission to create a campaign,Write,fleet*,,
3,CreateCampaign,Grants permission to create a campaign,Write,signalcatalog*,,
4,CreateCampaign,Grants permission to create a campaign,Write,vehicle*,,
5,CreateCampaign,Grants permission to create a campaign,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateDecoderManifest,Grants permission to create a decoder manifest for an existing model,Write,modelmanifest*,,
7,CreateDecoderManifest,Grants permission to create a decoder manifest for an existing model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateFleet,Grants permission to create a fleet,Write,signalcatalog*,,
9,CreateFleet,Grants permission to create a fleet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateModelManifest,Grants permission to create a model manifest definition,Write,signalcatalog*,,
11,CreateModelManifest,Grants permission to create a model manifest definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateSignalCatalog,Grants permission to create a signal catalog,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateVehicle,Grants permission to create a vehicle,Write,decodermanifest*,,iot:CreateThing  iot:DescribeThing
14,CreateVehicle,Grants permission to create a vehicle,Write,modelmanifest*,,
15,CreateVehicle,Grants permission to create a vehicle,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,DeleteCampaign,Grants permission to delete a campaign,Write,campaign*,,
17,DeleteDecoderManifest,Grants permission to delete the given decoder manifest,Write,decodermanifest*,,
18,DeleteFleet,Grants permission to delete a fleet,Write,fleet*,,
19,DeleteModelManifest,Grants permission to delete the given model manifest,Write,modelmanifest*,,
20,DeleteSignalCatalog,Grants permission to delete a specific signal catalog,Write,signalcatalog*,,
21,DeleteVehicle,Grants permission to delete a vehicle,Write,vehicle*,,
22,DisassociateVehicleFleet,Grants permission to disassociate a vehicle from an existing fleet,Write,fleet*,,
23,DisassociateVehicleFleet,Grants permission to disassociate a vehicle from an existing fleet,Write,vehicle*,,
24,GetCampaign,Grants permission to get summary information for a given campaign,Read,campaign*,,
25,GetDecoderManifest,Grants permission to get summary information for a given decoder manifest definition,Read,decodermanifest*,,
26,GetFleet,Grants permission to get summary information for a fleet,Read,fleet*,,
27,GetLoggingOptions,Grants permission to get the logging options for the AWS account,Read,,,
28,GetModelManifest,Grants permission to get summary information for a given model manifest definition,Read,modelmanifest*,,
29,GetRegisterAccountStatus,Grants permission to get the account registration status with IoT FleetWise,Read,,,
30,GetSignalCatalog,Grants permission to get summary information for a specific signal catalog,Read,signalcatalog*,,
31,GetVehicle,Grants permission to get summary information for a vehicle,Read,vehicle*,,
32,GetVehicleStatus,Grants permission to get the status of the campaigns running on a specific vehicle,Read,vehicle*,,
33,ImportDecoderManifest,Grants permission to import an existing decoder manifest,Write,decodermanifest*,,
34,ImportSignalCatalog,Grants permission to create a signal catalog by importing existing definitions,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
35,ListCampaigns,Grants permission to list campaigns,Read,,,
36,ListDecoderManifestNetworkInterfaces,Grants permission to list network interfaces associated to the existing decoder manifest,List,decodermanifest*,,
37,ListDecoderManifestSignals,Grants permission to list decoder manifest signals,List,decodermanifest*,,
38,ListDecoderManifests,"Grants permission to list all decoder manifests, with an optional filter on model manifest",Read,,,
39,ListFleets,Grants permission to list all fleets,Read,,,
40,ListFleetsForVehicle,Grants permission to list all the fleets that the given vehicle is associated with,Read,vehicle*,,
41,ListModelManifestNodes,Grants permission to list all nodes for the given model manifest,List,modelmanifest*,,
42,ListModelManifests,"Grants permission to list all model manifests, with an optional filter on signal catalog",Read,,,
43,ListSignalCatalogNodes,Grants permission to list all nodes for a given signal catalog,Read,signalcatalog*,,
44,ListSignalCatalogs,Grants permission to list all signal catalogs,Read,,,
45,ListTagsForResource,Grants permission to list tags for a resource,Read,campaign,,
46,ListTagsForResource,Grants permission to list tags for a resource,Read,decodermanifest,,
47,ListTagsForResource,Grants permission to list tags for a resource,Read,fleet,,
48,ListTagsForResource,Grants permission to list tags for a resource,Read,modelmanifest,,
49,ListTagsForResource,Grants permission to list tags for a resource,Read,signalcatalog,,
50,ListTagsForResource,Grants permission to list tags for a resource,Read,vehicle,,
51,ListVehicles,"Grants permission to list all vehicles, with an optional filter on model manifest",Read,,,
52,ListVehiclesInFleet,Grants permission to list vehicles in the given fleet,Read,fleet*,,
53,PutLoggingOptions,Grants permission to put the logging options for the AWS account,Write,,,
54,RegisterAccount,Grants permission to register an AWS account to IoT FleetWise,Write,,,iam:PassRole
55,TagResource,Grants permission to add tags to a resource,Tagging,campaign,,
56,TagResource,Grants permission to add tags to a resource,Tagging,decodermanifest,,
57,TagResource,Grants permission to add tags to a resource,Tagging,fleet,,
58,TagResource,Grants permission to add tags to a resource,Tagging,modelmanifest,,
59,TagResource,Grants permission to add tags to a resource,Tagging,signalcatalog,,
60,TagResource,Grants permission to add tags to a resource,Tagging,vehicle,,
61,TagResource,Grants permission to add tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
62,UntagResource,Grants permission to remove tags from a resource,Tagging,campaign,,
63,UntagResource,Grants permission to remove tags from a resource,Tagging,decodermanifest,,
64,UntagResource,Grants permission to remove tags from a resource,Tagging,fleet,,
65,UntagResource,Grants permission to remove tags from a resource,Tagging,modelmanifest,,
66,UntagResource,Grants permission to remove tags from a resource,Tagging,signalcatalog,,
67,UntagResource,Grants permission to remove tags from a resource,Tagging,vehicle,,
68,UntagResource,Grants permission to remove tags from a resource,Tagging,,aws:TagKeys,
69,UpdateCampaign,Grants permission to update the given campaign,Write,campaign*,,
70,UpdateDecoderManifest,Grants permission to update a decoder manifest defnition,Write,decodermanifest*,,
71,UpdateFleet,Grants permission to update the fleet,Write,fleet*,,
72,UpdateModelManifest,Grants permission to update the given model manifest definition,Write,modelmanifest*,,
73,UpdateSignalCatalog,Grants permission to update a specific signal catalog definition,Write,signalcatalog*,,
74,UpdateVehicle,Grants permission to update the vehicle,Write,vehicle*,,
75,UpdateVehicle,Grants permission to update the vehicle,Write,decodermanifest,,
