,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateRoleToGroup,Grants permission to associate a role with a group. The role's permissions must allow Greengrass core Lambda functions and connectors to perform actions in other AWS services,Write,group*,,
1,AssociateServiceRoleToAccount,Grants permission to associate a role with your account. AWS IoT Greengrass uses this role to access your Lambda functions and AWS IoT resources,Permissions management,,,
2,CreateConnectorDefinition,Grants permission to create a connector definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateConnectorDefinitionVersion,Grants permission to create a version of an existing connector definition,Write,connectorDefinition*,,
4,CreateCoreDefinition,Grants permission to create a core definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateCoreDefinitionVersion,Grants permission to create a version of an existing core definition. Greengrass groups must each contain exactly one Greengrass core,Write,coreDefinition*,,
6,CreateDeployment,Grants permission to create a deployment,Write,group*,,
7,CreateDeviceDefinition,Grants permission to create a device definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateDeviceDefinitionVersion,Grants permission to create a version of an existing device definition,Write,deviceDefinition*,,
9,CreateFunctionDefinition,Grants permission to create a Lambda function definition to be used in a group that contains a list of Lambda functions and their configurations,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateFunctionDefinitionVersion,Grants permission to create a version of an existing Lambda function definition,Write,functionDefinition*,,
11,CreateGroup,Grants permission to create a group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateGroupCertificateAuthority,"Grants permission to create a CA for the group, or rotate the existing CA",Write,group*,,
13,CreateGroupVersion,Grants permission to create a version of a group that has already been defined,Write,group*,,
14,CreateLoggerDefinition,Grants permission to create a logger definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateLoggerDefinitionVersion,Grants permission to create a version of an existing logger definition,Write,loggerDefinition*,,
16,CreateResourceDefinition,Grants permission to create a resource definition that contains a list of resources to be used in a group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateResourceDefinitionVersion,Grants permission to create a version of an existing resource definition,Write,resourceDefinition*,,
18,CreateSoftwareUpdateJob,Grants permission to create an AWS IoT job that will trigger your Greengrass cores to update the software they are running,Write,,,
19,CreateSubscriptionDefinition,Grants permission to create a subscription definition,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
