,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAction,Grants permission to create an action,Write,,,
1,CreateActionTemplate,Grants permission to create an action template,Write,,,
2,CreateActionTemplateDependency,Grants permission to create an action template dependency,Write,,,
3,CreateActivity,Grants permission to create an activity,Write,,,
4,CreateActivityDependency,Grants permission to create an activity dependency,Write,,,
5,CreateDestination,Grants permission to create a destination,Write,SiteResource*,,
6,CreateDestinationRelationship,Grants permission to create a destination relationship,Write,,,
7,CreateSite,Grants permission to create a site,Write,,,
8,CreateTask,Grants permission to create a task,Write,,,
9,CreateTaskDependency,Grants permission to create a task dependency,Write,,,
10,CreateWorker,Grants permission to create a worker,Write,WorkerFleetResource*,,
11,CreateWorkerFleet,Grants permission to create a worker fleet,Write,SiteResource*,,
12,DeleteAction,Grants permission to delete an action,Write,ActionResource*,,
13,DeleteActionTemplate,Grants permission to delete an action template,Write,ActionTemplateResource*,,
14,DeleteActionTemplateDependency,Grants permission to delete an action template dependency,Write,,,
15,DeleteActivity,Grants permission to delete an activity,Write,ActivityResource*,,
16,DeleteActivityDependency,Grants permission to delete an activity dependency,Write,,,
17,DeleteDestination,Grants permission to delete a destination,Write,DestinationResource*,,
18,DeleteDestinationRelationship,Grants permission to delete a destination relationship,Write,DestinationRelationshipResource*,,
19,DeleteSite,Grants permission to delete a site,Write,SiteResource*,,
20,DeleteTask,Grants permission to delete a task,Write,TaskResource*,,
21,DeleteTaskDependency,Grants permission to delete a task dependency,Write,,,
22,DeleteWorker,Grants permission to delete a worker,Write,WorkerResource*,,
23,DeleteWorkerFleet,Grants permission to delete a worker fleet,Write,WorkerFleetResource*,,
24,GetAction,Grants permission to get an action,Read,ActionResource*,,
25,GetActionTemplate,Grants permission to get an action template,Read,ActionTemplateResource*,,
26,GetActivity,Grants permission to get an activity,Read,ActivityResource*,,
27,GetDestination,Grants permission to get a destination,Read,DestinationResource*,,
28,GetDestinationRelationship,Grants permission to get a destination relationship,Read,DestinationRelationshipResource*,,
29,GetSite,Grants permission to get a site,Read,SiteResource*,,
30,GetTask,Grants permission to get a task,Read,TaskResource*,,
31,GetWorker,Grants permission to get a worker,Read,WorkerResource*,,
32,GetWorkerFleet,Grants permission to get a worker fleet,Read,WorkerFleetResource*,,
33,ListActionTemplates,Grants permission to list action templates,Read,,,
34,ListActions,Grants permission to list actions,Read,,,
35,ListActivities,Grants permission to list activities,Read,,,
36,ListDestinationRelationships,Grants permission to list destination relationships,Read,,,
37,ListDestinations,Grants permission to list destinations,Read,,,
38,ListSites,Grants permission to list sites,Read,,,
39,ListTasks,Grants permission to list tasks,Read,,,
40,ListWorkerFleets,Grants permission to list worker fleets,Read,SiteResource*,,
41,ListWorkers,Grants permission to list workers,Read,SiteResource*,,
42,UpdateActionState,Grants permission to update an action's state,Write,ActionResource*,,
43,UpdateActivity,Grants permission to update an activity,Write,ActivityResource*,,
44,UpdateDestination,Grants permission to update a destination,Write,DestinationResource*,,
45,UpdateSite,Grants permission to update a site,Write,SiteResource*,,
46,UpdateTask,Grants permission to update a task,Write,TaskResource*,,
47,UpdateWorker,Grants permission to update a worker,Write,WorkerResource*,,
48,UpdateWorkerFleet,Grants permission to update a worker fleet,Write,WorkerFleetResource*,,
