,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateAssets,Grants permission to associate a child asset with a parent asset through a hierarchy,Write,asset*,,
1,AssociateTimeSeriesToAssetProperty,Grants permission to associate a time series with an asset property,Write,asset*,,
2,AssociateTimeSeriesToAssetProperty,Grants permission to associate a time series with an asset property,Write,time-series*,,
3,BatchAssociateProjectAssets,Grants permission to associate assets to a project,Write,project*,,
4,BatchDisassociateProjectAssets,Grants permission to disassociate assets from a project,Write,project*,,
5,BatchGetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for multiple asset properties,Read,asset,,
6,BatchGetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for multiple asset properties,Read,time-series,,
7,BatchGetAssetPropertyValue,Grants permission to retrieve the latest value for multiple asset properties,Read,asset,,
8,BatchGetAssetPropertyValue,Grants permission to retrieve the latest value for multiple asset properties,Read,time-series,,
9,BatchGetAssetPropertyValueHistory,Grants permission to retrieve the value history for multiple asset properties,Read,asset,,
10,BatchGetAssetPropertyValueHistory,Grants permission to retrieve the value history for multiple asset properties,Read,time-series,,
11,BatchPutAssetPropertyValue,Grants permission to put property values for asset properties,Write,asset,,
12,BatchPutAssetPropertyValue,Grants permission to put property values for asset properties,Write,time-series,,
13,CreateAccessPolicy,Grants permission to create an access policy for a portal or a project,Write,portal,,
14,CreateAccessPolicy,Grants permission to create an access policy for a portal or a project,Write,project,,
15,CreateAccessPolicy,Grants permission to create an access policy for a portal or a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateAsset,Grants permission to create an asset from an asset model,Write,asset-model*,,
17,CreateAsset,Grants permission to create an asset from an asset model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateAssetModel,Grants permission to create an asset model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateBulkImportJob,Grants permission to create bulk import job,Write,,,
20,CreateDashboard,Grants permission to create a dashboard in a project,Write,project*,,
21,CreateDashboard,Grants permission to create a dashboard in a project,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,CreateGateway,Grants permission to create a gateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreatePortal,Grants permission to create a portal,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,sso:CreateManagedApplicationInstance  sso:DescribeRegisteredRegions
24,CreateProject,Grants permission to create a project in a portal,Write,portal*,,
25,CreateProject,Grants permission to create a project in a portal,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,DeleteAccessPolicy,Grants permission to delete an access policy,Write,access-policy*,,
27,DeleteAsset,Grants permission to delete an asset,Write,asset*,,
28,DeleteAssetModel,Grants permission to delete an asset model,Write,asset-model*,,
29,DeleteDashboard,Grants permission to delete a dashboard,Write,dashboard*,,
30,DeleteGateway,Grants permission to delete a gateway,Write,gateway*,,
31,DeletePortal,Grants permission to delete a portal,Write,portal*,,sso:DeleteManagedApplicationInstance
32,DeleteProject,Grants permission to delete a project,Write,project*,,
33,DeleteTimeSeries,Grants permission to delete a time series,Write,asset,,
34,DeleteTimeSeries,Grants permission to delete a time series,Write,time-series,,
35,DescribeAccessPolicy,Grants permission to describe an access policy,Read,access-policy*,,
36,DescribeAsset,Grants permission to describe an asset,Read,asset*,,
37,DescribeAssetModel,Grants permission to describe an asset model,Read,asset-model*,,
38,DescribeAssetProperty,Grants permission to describe an asset property,Read,asset*,,
39,DescribeBulkImportJob,Grants permission to describe bulk import job,Read,,,
40,DescribeDashboard,Grants permission to describe a dashboard,Read,dashboard*,,
41,DescribeDefaultEncryptionConfiguration,Grants permission to describe the default encryption configuration for the AWS account,Read,,,
42,DescribeGateway,Grants permission to describe a gateway,Read,gateway*,,
43,DescribeGatewayCapabilityConfiguration,Grants permission to describe a capability configuration for a gateway,Read,gateway*,,
44,DescribeLoggingOptions,Grants permission to describe logging options for the AWS account,Read,,,
45,DescribePortal,Grants permission to describe a portal,Read,portal*,,
46,DescribeProject,Grants permission to describe a project,Read,project*,,
47,DescribeStorageConfiguration,Grants permission to describe the storage configuration for the AWS account,Read,,,
48,DescribeTimeSeries,Grants permission to describe a time series,Read,asset,,
49,DescribeTimeSeries,Grants permission to describe a time series,Read,time-series,,
50,DisassociateAssets,Grants permission to disassociate a child asset from a parent asset by a hierarchy,Write,asset*,,
51,DisassociateTimeSeriesFromAssetProperty,Grants permission to disassociate a time series from an asset property,Write,asset*,,
52,DisassociateTimeSeriesFromAssetProperty,Grants permission to disassociate a time series from an asset property,Write,time-series*,,
53,GetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for an asset property,Read,asset,,
54,GetAssetPropertyAggregates,Grants permission to retrieve computed aggregates for an asset property,Read,time-series,,
55,GetAssetPropertyValue,Grants permission to retrieve the latest value for an asset property,Read,asset,,
56,GetAssetPropertyValue,Grants permission to retrieve the latest value for an asset property,Read,time-series,,
57,GetAssetPropertyValueHistory,Grants permission to retrieve the value history for an asset property,Read,asset,,
58,GetAssetPropertyValueHistory,Grants permission to retrieve the value history for an asset property,Read,time-series,,
59,GetInterpolatedAssetPropertyValues,Grants permission to retrieve interpolated values for an asset property,Read,asset,,
60,GetInterpolatedAssetPropertyValues,Grants permission to retrieve interpolated values for an asset property,Read,time-series,,
61,ListAccessPolicies,Grants permission to list all access policies for an identity or a resource,List,portal,,
62,ListAccessPolicies,Grants permission to list all access policies for an identity or a resource,List,project,,
63,ListAssetModels,Grants permission to list all asset models,List,,,
64,ListAssetRelationships,Grants permission to list the asset relationship graph for an asset,List,asset*,,
65,ListAssets,Grants permission to list all assets,List,asset-model,,
66,ListAssociatedAssets,Grants permission to list all assets associated with an asset through a hierarchy,List,asset*,,
67,ListBulkImportJobs,Grants permission to list bulk import jobs,List,,,
68,ListDashboards,Grants permission to list all dashboards in a project,List,project*,,
69,ListGateways,Grants permission to list all gateways,List,,,
70,ListPortals,Grants permission to list all portals,List,,,
71,ListProjectAssets,Grants permission to list all assets associated with a project,List,project*,,
72,ListProjects,Grants permission to list all projects in a portal,List,portal*,,
73,ListTagsForResource,Grants permission to list all tags for a resource,Read,access-policy,,
74,ListTagsForResource,Grants permission to list all tags for a resource,Read,asset,,
75,ListTagsForResource,Grants permission to list all tags for a resource,Read,asset-model,,
