,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptCertificateTransfer,Grants permission to accept a pending certificate transfer,Write,cert*,,
1,AddThingToBillingGroup,Grants permission to add a thing to the specified billing group,Write,billinggroup*,,
2,AddThingToBillingGroup,Grants permission to add a thing to the specified billing group,Write,thing*,,
3,AddThingToThingGroup,Grants permission to add a thing to the specified thing group,Write,thing*,,
4,AddThingToThingGroup,Grants permission to add a thing to the specified thing group,Write,thinggroup*,,
5,AssociateTargetsWithJob,Grants permission to associate a group with a continuous job,Write,job*,,
6,AssociateTargetsWithJob,Grants permission to associate a group with a continuous job,Write,thing*,,
7,AssociateTargetsWithJob,Grants permission to associate a group with a continuous job,Write,thinggroup*,,
8,AttachPolicy,Grants permission to attach a policy to the specified target,Permissions management,cert,,
9,AttachPolicy,Grants permission to attach a policy to the specified target,Permissions management,thinggroup,,
10,AttachPrincipalPolicy,Grants permission to attach the specified policy to the specified principal (certificate or other credential),Permissions management,cert,,
11,AttachSecurityProfile,Grants permission to associate a Device Defender security profile with a thing group or with this account,Write,securityprofile*,,
12,AttachSecurityProfile,Grants permission to associate a Device Defender security profile with a thing group or with this account,Write,custommetric,,
13,AttachSecurityProfile,Grants permission to associate a Device Defender security profile with a thing group or with this account,Write,dimension,,
14,AttachSecurityProfile,Grants permission to associate a Device Defender security profile with a thing group or with this account,Write,thinggroup,,
15,AttachThingPrincipal,Grants permission to attach the specified principal to the specified thing,Write,,,
16,CancelAuditMitigationActionsTask,Grants permission to cancel a mitigation action task that is in progress,Write,,,
17,CancelAuditTask,Grants permission to cancel an audit that is in progress. The audit can be either scheduled or on-demand,Write,,,
18,CancelCertificateTransfer,Grants permission to cancel a pending transfer for the specified certificate,Write,cert*,,
19,CancelDetectMitigationActionsTask,Grants permission to cancel a Device Defender ML Detect mitigation action,Write,,,
20,CancelJob,Grants permission to cancel a job,Write,job*,,
21,CancelJobExecution,Grants permission to cancel a job execution on a particular device,Write,job*,,
22,CancelJobExecution,Grants permission to cancel a job execution on a particular device,Write,thing*,,
23,ClearDefaultAuthorizer,Grants permission to clear the default authorizer,Write,,,
24,CloseTunnel,Grants permission to close a tunnel,Write,tunnel*,,
25,CloseTunnel,Grants permission to close a tunnel,Write,,iot:Delete,
26,ConfirmTopicRuleDestination,Grants permission to confirm a http url TopicRuleDestinationDestination,Write,destination*,,
27,Connect,Grants permission to connect as the specified client,Write,client*,,
28,CreateAuditSuppression,Grants permission to create a Device Defender audit suppression,Write,,,
29,CreateAuthorizer,Grants permission to create an authorizer,Write,authorizer*,,
30,CreateAuthorizer,Grants permission to create an authorizer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,CreateBillingGroup,Grants permission to create a billing group,Write,billinggroup*,,
32,CreateBillingGroup,Grants permission to create a billing group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
33,CreateCertificateFromCsr,Grants permission to create an X.509 certificate using the specified certificate signing request,Write,,,
34,CreateCustomMetric,Grants permission to create a custom metric for device side metric reporting and monitoring,Write,custommetric*,,
35,CreateCustomMetric,Grants permission to create a custom metric for device side metric reporting and monitoring,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
36,CreateDimension,Grants permission to define a dimension that can be used to to limit the scope of a metric used in a security profile,Write,dimension*,,
37,CreateDimension,Grants permission to define a dimension that can be used to to limit the scope of a metric used in a security profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
38,CreateDomainConfiguration,Grants permission to create a domain configuration,Write,domainconfiguration*,,
39,CreateDomainConfiguration,Grants permission to create a domain configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  iot:DomainName,
40,CreateDynamicThingGroup,Grants permission to create a Dynamic Thing Group,Write,dynamicthinggroup*,,
41,CreateDynamicThingGroup,Grants permission to create a Dynamic Thing Group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
42,CreateFleetMetric,Grants permission to create a fleet metric,Write,fleetmetric*,,
43,CreateFleetMetric,Grants permission to create a fleet metric,Write,index*,,
44,CreateFleetMetric,Grants permission to create a fleet metric,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
45,CreateJob,Grants permission to create a job,Write,job*,,
46,CreateJob,Grants permission to create a job,Write,thing*,,
47,CreateJob,Grants permission to create a job,Write,thinggroup*,,
48,CreateJob,Grants permission to create a job,Write,jobtemplate,,
49,CreateJob,Grants permission to create a job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
50,CreateJobTemplate,Grants permission to create a job template,Write,jobtemplate*,,
51,CreateJobTemplate,Grants permission to create a job template,Write,job,,
52,CreateJobTemplate,Grants permission to create a job template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
53,CreateKeysAndCertificate,Grants permission to create a 2048 bit RSA key pair and issues an X.509 certificate using the issued public key,Write,,,
54,CreateMitigationAction,Grants permission to define an action that can be applied to audit findings by using StartAuditMitigationActionsTask,Write,mitigationaction*,,
55,CreateMitigationAction,Grants permission to define an action that can be applied to audit findings by using StartAuditMitigationActionsTask,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
56,CreateOTAUpdate,Grants permission to create an OTA update job,Write,otaupdate*,,
57,CreateOTAUpdate,Grants permission to create an OTA update job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
58,CreatePolicy,Grants permission to create an AWS IoT policy,Write,policy*,,
59,CreatePolicy,Grants permission to create an AWS IoT policy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
60,CreatePolicyVersion,Grants permission to create a new version of the specified AWS IoT policy,Write,policy*,,
61,CreateProvisioningClaim,Grants permission to create a provisioning claim,Write,provisioningtemplate*,,
62,CreateProvisioningTemplate,Grants permission to create a fleet provisioning template,Write,provisioningtemplate*,,iam:PassRole
63,CreateProvisioningTemplate,Grants permission to create a fleet provisioning template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
64,CreateProvisioningTemplateVersion,Grants permission to create a new version of a fleet provisioning template,Write,provisioningtemplate*,,
65,CreateRoleAlias,Grants permission to create a role alias,Write,rolealias*,,iam:PassRole
66,CreateRoleAlias,Grants permission to create a role alias,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
67,CreateScheduledAudit,Grants permission to create a scheduled audit that is run at a specified time interval,Write,scheduledaudit*,,
68,CreateScheduledAudit,Grants permission to create a scheduled audit that is run at a specified time interval,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
69,CreateSecurityProfile,Grants permission to create a Device Defender security profile,Write,securityprofile*,,
70,CreateSecurityProfile,Grants permission to create a Device Defender security profile,Write,custommetric,,
71,CreateSecurityProfile,Grants permission to create a Device Defender security profile,Write,dimension,,
