,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddLayerVersionPermission,Grants permission to add permissions to the resource-based policy of a version of an AWS Lambda layer,Permissions management,layerVersion*,,
1,AddPermission,Grants permission to give an AWS service or another account permission to use an AWS Lambda function,Permissions management,function*,,
2,AddPermission,Grants permission to give an AWS service or another account permission to use an AWS Lambda function,Permissions management,,lambda:Principal  lambda:FunctionUrlAuthType,
3,CreateAlias,Grants permission to create an alias for a Lambda function version,Write,function*,,
4,CreateCodeSigningConfig,Grants permission to create an AWS Lambda code signing config,Write,,,
5,CreateEventSourceMapping,Grants permission to create a mapping between an event source and an AWS Lambda function,Write,,lambda:FunctionArn,
6,CreateFunction,Grants permission to create an AWS Lambda function,Write,function*,,iam:PassRole
7,CreateFunction,Grants permission to create an AWS Lambda function,Write,,lambda:Layer  lambda:VpcIds  lambda:SubnetIds  lambda:SecurityGroupIds  lambda:CodeSigningConfigArn  aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateFunctionUrlConfig,Grants permission to create a function url configuration for a Lambda function,Write,function*,,
9,CreateFunctionUrlConfig,Grants permission to create a function url configuration for a Lambda function,Write,,lambda:FunctionUrlAuthType  lambda:FunctionArn,
10,DeleteAlias,Grants permission to delete an AWS Lambda function alias,Write,function*,,
11,DeleteCodeSigningConfig,Grants permission to delete an AWS Lambda code signing config,Write,code signing config*,,
12,DeleteEventSourceMapping,Grants permission to delete an AWS Lambda event source mapping,Write,eventSourceMapping*,,
13,DeleteEventSourceMapping,Grants permission to delete an AWS Lambda event source mapping,Write,,lambda:FunctionArn,
14,DeleteFunction,Grants permission to delete an AWS Lambda function,Write,function*,,
15,DeleteFunctionCodeSigningConfig,Grants permission to detach a code signing config from an AWS Lambda function,Write,function*,,
16,DeleteFunctionConcurrency,Grants permission to remove a concurrent execution limit from an AWS Lambda function,Write,function*,,
17,DeleteFunctionEventInvokeConfig,"Grants permission to delete the configuration for asynchronous invocation for an AWS Lambda function, version, or alias",Write,function*,,
18,DeleteFunctionUrlConfig,Grants permission to delete function url configuration for a Lambda function,Write,function*,,
19,DeleteFunctionUrlConfig,Grants permission to delete function url configuration for a Lambda function,Write,,lambda:FunctionUrlAuthType  lambda:FunctionArn,
20,DeleteLayerVersion,Grants permission to delete a version of an AWS Lambda layer,Write,layerVersion*,,
21,DeleteProvisionedConcurrencyConfig,Grants permission to delete the provisioned concurrency configuration for an AWS Lambda function,Write,function alias,,
