,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptGrant,Grants permission to accept a grant,Write,grant*,,
1,CheckInLicense,Grants permission to check in license entitlements back to pool,Write,,,
2,CheckoutBorrowLicense,Grants permission to check out license entitlements for borrow use case,Write,license*,,
3,CheckoutLicense,Grants permission to check out license entitlements,Write,,,
4,CreateGrant,Grants permission to create a new grant for license,Write,license*,,
5,CreateGrantVersion,Grants permission to create new version of grant,Write,grant*,,
6,CreateLicense,Grants permission to create a new license,Write,,,
7,CreateLicenseConfiguration,Grants permission to create a new license configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateLicenseConversionTaskForResource,Grants permission to create a license conversion task for a resource,Write,,,
9,CreateLicenseManagerReportGenerator,Grants permission to create a report generator for a license configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateLicenseVersion,Grants permission to create new version of license,Write,license*,,
11,CreateToken,Grants permission to create a new token for license,Write,license*,,
12,DeleteGrant,Grants permission to delete a grant,Write,grant*,,
13,DeleteLicense,Grants permission to delete a license,Write,license*,,
14,DeleteLicenseConfiguration,Grants permission to permanently delete a license configuration,Write,license-configuration*,,
15,DeleteLicenseManagerReportGenerator,Grants permission to delete a report generator,Write,report-generator*,,
16,DeleteToken,Grants permission to delete token,Write,,,
17,ExtendLicenseConsumption,Grants permission to extend consumption period of already checkout license entitlements,Write,,,
18,GetAccessToken,Grants permission to get access token,Read,,,
19,GetGrant,Grants permission to get a grant,Read,grant*,,
20,GetLicense,Grants permission to get a license,Read,license*,,
21,GetLicenseConfiguration,Grants permission to get a license configuration,Read,license-configuration*,,
22,GetLicenseConversionTask,Grants permission to retrieve a license conversion task,Read,,,
23,GetLicenseManagerReportGenerator,Grants permission to get a report generator,Read,report-generator*,,
24,GetLicenseUsage,Grants permission to get a license usage,Read,license*,,
25,GetServiceSettings,Grants permission to get service settings,List,,,
26,ListAssociationsForLicenseConfiguration,Grants permission to list associations for a selected license configuration,List,license-configuration*,,
27,ListDistributedGrants,Grants permission to list distributed grants,List,,,
28,ListFailuresForLicenseConfigurationOperations,Grants permission to list the license configuration operations that failed,List,license-configuration*,,
29,ListLicenseConfigurations,Grants permission to list license configurations,Read,,,
30,ListLicenseConversionTasks,Grants permission to list license conversion tasks,List,,,
31,ListLicenseManagerReportGenerators,Grants permission to list report generators,List,license-configuration,,
32,ListLicenseSpecificationsForResource,Grants permission to list license specifications associated with a selected resource,List,,,
33,ListLicenseVersions,Grants permission to list license versions,List,license*,,
34,ListLicenses,Grants permission to list licenses,Read,,,
35,ListReceivedGrants,Grants permission to list received grants,List,,,
36,ListReceivedGrantsForOrganization,Grants permission to list received grants for organization,List,,,
37,ListReceivedLicenses,Grants permission to list received licenses,List,,,
38,ListReceivedLicensesForOrganization,Grants permission to list received licenses for organization,List,,,
39,ListResourceInventory,Grants permission to list resource inventory,List,,,
40,ListTagsForResource,Grants permission to list tags for a selected resource,Read,license-configuration*,,
41,ListTokens,Grants permission to list tokens,List,,,
42,ListUsageForLicenseConfiguration,Grants permission to list usage records for selected license configuration,List,license-configuration*,,
43,RejectGrant,Grants permission to reject a grant,Write,grant*,,
44,TagResource,Grants permission to tag a selected resource,Tagging,license-configuration*,,
45,TagResource,Grants permission to tag a selected resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
46,UntagResource,Grants permission to untag a selected resource,Tagging,license-configuration*,,
47,UpdateLicenseConfiguration,Grants permission to update an existing license configuration,Write,license-configuration*,,
48,UpdateLicenseManagerReportGenerator,Grants permission to update a report generator for a license configuration,Write,report-generator*,,
49,UpdateLicenseSpecificationsForResource,Grants permission to updates license specifications for a selected resource,Write,license-configuration*,,
50,UpdateServiceSettings,Grants permission to updates service settings,Permissions management,,,
