,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,GetAntiPattern,Grants permission to get details of each anti pattern that collector should look at in a customer's environment,Read,,,
1,GetApplicationComponentDetails,Grants permission to get details of an application,Read,,,
2,GetApplicationComponentStrategies,Grants permission to get a list of all recommended strategies and tools for an application running in a server,Read,,,
3,GetAssessment,Grants permission to retrieve status of an on-going assessment,Read,,,
4,GetImportFileTask,Grants permission to get details of a specific import task,Read,,,
5,GetLatestAssessmentId,Grants permission to retrieve the latest assessment id,Read,,,
6,GetMessage,Grants permission to the collector to receive information from the service,Read,,,
7,GetPortfolioPreferences,Grants permission to retrieve customer migration/Modernization preferences,Read,,,
8,GetPortfolioSummary,Grants permission to retrieve overall summary (number-of servers to rehost etc as well as overall number of anti patterns),Read,,,
9,GetRecommendationReportDetails,Grants permission to retrieve detailed information about a recommendation report,Read,,,
10,GetServerDetails,Grants permission to get info about a specific server,Read,,,
11,GetServerStrategies,Grants permission to get recommended strategies and tools for a specific server,Read,,,
12,ListAntiPatterns,Grants permission to get a list of all anti patterns that collector should look for in a customer's environment,List,,,
13,ListApplicationComponents,Grants permission to get a list of all applications running on servers on customer's servers,List,,,
14,ListCollectors,Grants permission to get a list of all collectors installed by the customer,List,,,
15,ListImportFileTask,Grants permission to get list of all imports performed by the customer,List,,,
16,ListJarArtifacts,Grants permission to get a list of binaries that collector should assess,List,,,
17,ListServers,Grants permission to get a list of all servers in a customer's environment,List,,,
18,PutPortfolioPreferences,Grants permission to save customer's Migration/Modernization preferences,Write,,,
19,RegisterCollector,Grants permission to register the collector to receive an ID and to start receiving messages from the service,Write,,,
20,SendMessage,Grants permission to the collector to send information to the service,Write,,,
21,StartAssessment,Grants permission to start assessment in a customer's environment (collect data from all servers and provide recommendations),Write,,,
22,StartImportFileTask,Grants permission to start importing data from a file provided by customer,Write,,,
23,StartRecommendationReportGeneration,Grants permission to start generating a recommendation report,Write,,,
24,StopAssessment,Grants permission to stop an on-going assessment,Write,,,
25,UpdateApplicationComponentConfig,Grants permission to update details for an application,Write,,,
26,UpdateCollectorConfiguration,Grants permission to the collector to send configuration information to the service,Write,,,
27,UpdateServerConfig,Grants permission to update info on a server along with the recommended strategy,Write,,,
