,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptAttachment,Grants permission to accept creation of an attachment between a source and destination in a core network,Write,attachment*,,
1,AssociateConnectPeer,Grants permission to associate a Connect Peer,Write,device*,,
2,AssociateConnectPeer,Grants permission to associate a Connect Peer,Write,global-network*,,
3,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,device*,,
4,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,global-network*,,
5,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,link,,
6,AssociateCustomerGateway,Grants permission to associate a customer gateway to a device,Write,,networkmanager:cgwArn,
7,AssociateLink,Grants permission to associate a link to a device,Write,device*,,
8,AssociateLink,Grants permission to associate a link to a device,Write,global-network*,,
9,AssociateLink,Grants permission to associate a link to a device,Write,link*,,
10,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,device*,,
11,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,global-network*,,
12,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,link,,
13,AssociateTransitGatewayConnectPeer,Grants permission to associate a transit gateway connect peer to a device,Write,,networkmanager:tgwConnectPeerArn,
14,CreateConnectAttachment,Grants permission to create a Connect attachment,Write,attachment*,,
15,CreateConnectAttachment,Grants permission to create a Connect attachment,Write,core-network*,,
16,CreateConnectAttachment,Grants permission to create a Connect attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateConnectPeer,Grants permission to create a Connect Peer connection,Write,attachment*,,
18,CreateConnectPeer,Grants permission to create a Connect Peer connection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateConnection,Grants permission to create a new connection,Write,global-network*,,
20,CreateConnection,Grants permission to create a new connection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateCoreNetwork,Grants permission to create a new core network,Write,global-network*,,
22,CreateCoreNetwork,Grants permission to create a new core network,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateDevice,Grants permission to create a new device,Write,global-network*,,
24,CreateDevice,Grants permission to create a new device,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,CreateGlobalNetwork,Grants permission to create a new global network,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,iam:CreateServiceLinkedRole
26,CreateLink,Grants permission to create a new link,Write,global-network*,,
27,CreateLink,Grants permission to create a new link,Write,site,,
28,CreateLink,Grants permission to create a new link,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,CreateSite,Grants permission to create a new site,Write,global-network*,,
30,CreateSite,Grants permission to create a new site,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,CreateSiteToSiteVpnAttachment,Grants permission to create a site-to-site VPN attachment,Write,core-network*,,
32,CreateSiteToSiteVpnAttachment,Grants permission to create a site-to-site VPN attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  networkmanager:vpnConnectionArn,
33,CreateTransitGatewayPeering,Grants permission to create a Transit Gateway peering,Write,core-network*,,
34,CreateTransitGatewayPeering,Grants permission to create a Transit Gateway peering,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  networkmanager:tgwArn,
35,CreateTransitGatewayRouteTableAttachment,Grants permission to create a TGW RTB attachment,Write,peering*,,
36,CreateTransitGatewayRouteTableAttachment,Grants permission to create a TGW RTB attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  networkmanager:tgwRtbArn,
37,CreateVpcAttachment,Grants permission to create a VPC attachment,Write,core-network*,,
38,CreateVpcAttachment,Grants permission to create a VPC attachment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  networkmanager:vpcArn  networkmanager:subnetArns,
39,DeleteAttachment,Grants permission to delete an attachment,Write,attachment*,,
40,DeleteConnectPeer,Grants permission to delete a Connect Peer,Write,connect-peer*,,
41,DeleteConnection,Grants permission to delete a connection,Write,connection*,,
42,DeleteConnection,Grants permission to delete a connection,Write,global-network*,,
43,DeleteCoreNetwork,Grants permission to delete a core network,Write,core-network*,,
44,DeleteCoreNetworkPolicyVersion,Grants permission to delete the core network policy version,Write,core-network*,,
45,DeleteDevice,Grants permission to delete a device,Write,device*,,
46,DeleteDevice,Grants permission to delete a device,Write,global-network*,,
47,DeleteGlobalNetwork,Grants permission to delete a global network,Write,global-network*,,
48,DeleteLink,Grants permission to delete a link,Write,global-network*,,
49,DeleteLink,Grants permission to delete a link,Write,link*,,
50,DeletePeering,Grants permission to delete a peering,Write,peering*,,
51,DeleteResourcePolicy,Grants permission to delete a resource,Write,core-network*,,
52,DeleteSite,Grants permission to delete a site,Write,global-network*,,
53,DeleteSite,Grants permission to delete a site,Write,site*,,
54,DeregisterTransitGateway,Grants permission to deregister a transit gateway from a global network,Write,global-network*,,
55,DeregisterTransitGateway,Grants permission to deregister a transit gateway from a global network,Write,,networkmanager:tgwArn,
56,DescribeGlobalNetworks,Grants permission to describe global networks,List,global-network,,
57,DisassociateConnectPeer,Grants permission to disassociate a Connect Peer,Write,global-network*,,
58,DisassociateCustomerGateway,Grants permission to disassociate a customer gateway from a device,Write,global-network*,,
59,DisassociateCustomerGateway,Grants permission to disassociate a customer gateway from a device,Write,,networkmanager:cgwArn,
60,DisassociateLink,Grants permission to disassociate a link from a device,Write,device*,,
61,DisassociateLink,Grants permission to disassociate a link from a device,Write,global-network*,,
62,DisassociateLink,Grants permission to disassociate a link from a device,Write,link*,,
63,DisassociateTransitGatewayConnectPeer,Grants permission to disassociate a transit gateway connect peer from a device,Write,global-network*,,
64,DisassociateTransitGatewayConnectPeer,Grants permission to disassociate a transit gateway connect peer from a device,Write,,networkmanager:tgwConnectPeerArn,
65,ExecuteCoreNetworkChangeSet,Grants permission to apply changes to the core network,Write,core-network*,,
66,GetConnectAttachment,Grants permission to retrieve a Connect attachment,Read,attachment*,,
