,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssignInstance,Grants permission to assign a registered instance to a layer,Write,stack,,
1,AssignVolume,Grants permission to assign one of the stack's registered Amazon EBS volumes to a specified instance,Write,stack,,
2,AssociateElasticIp,Grants permission to associate one of the stack's registered Elastic IP addresses with a specified instance,Write,stack,,
3,AttachElasticLoadBalancer,Grants permission to attach an Elastic Load Balancing load balancer to a specified layer,Write,stack,,
4,CloneStack,Grants permission to create a clone of a specified stack,Write,stack,,
5,CreateApp,Grants permission to create an app for a specified stack,Write,stack,,
6,CreateDeployment,Grants permission to run deployment or stack commands,Write,stack,,
7,CreateInstance,Grants permission to create an instance in a specified stack,Write,stack,,
8,CreateLayer,Grants permission to create a layer,Write,stack,,
9,CreateStack,Grants permission to create a new stack,Write,,,
10,CreateUserProfile,Grants permission to create a new user profile,Write,,,
11,DeleteApp,Grants permission to delete a specified app,Write,stack,,
12,DeleteInstance,"Grants permission to delete a specified instance, which terminates the associated Amazon EC2 instance",Write,stack,,
13,DeleteLayer,Grants permission to delete a specified layer,Write,stack,,
14,DeleteStack,Grants permission to delete a specified stack,Write,stack,,
15,DeleteUserProfile,Grants permission to delete a user profile,Write,,,
16,DeregisterEcsCluster,Grants permission to delete a user profile,Write,stack,,
17,DeregisterElasticIp,Grants permission to deregister a specified Elastic IP address,Write,stack,,
18,DeregisterInstance,Grants permission to deregister a registered Amazon EC2 or on-premises instance,Write,stack,,
19,DeregisterRdsDbInstance,Grants permission to deregister an Amazon RDS instance,Write,stack,,
20,DeregisterVolume,Grants permission to deregister an Amazon EBS volume,Write,stack,,
21,DescribeAgentVersions,Grants permission to describe the available AWS OpsWorks agent versions,List,stack,,
22,DescribeApps,Grants permission to request a description of a specified set of apps,List,stack,,
23,DescribeCommands,Grants permission to describe the results of specified commands,List,stack,,
24,DescribeDeployments,Grants permission to request a description of a specified set of deployments,List,stack,,
25,DescribeEcsClusters,Grants permission to describe Amazon ECS clusters that are registered with a stack,List,stack,,
26,DescribeElasticIps,Grants permission to describe Elastic IP addresses,List,stack,,
27,DescribeElasticLoadBalancers,Grants permission to describe a stack's Elastic Load Balancing instances,List,stack,,
28,DescribeInstances,Grants permission to request a description of a set of instances,List,stack,,
29,DescribeLayers,Grants permission to request a description of one or more layers in a specified stack,List,stack,,
30,DescribeLoadBasedAutoScaling,Grants permission to describe load-based auto scaling configurations for specified layers,List,stack,,
31,DescribeMyUserProfile,Grants permission to describe a user's SSH information,List,,,
32,DescribeOperatingSystems,Grants permission to describe the operating systems that are supported by AWS OpsWorks Stacks,List,,,
33,DescribePermissions,Grants permission to describe the permissions for a specified stack,List,stack,,
34,DescribeRaidArrays,Grants permission to describe an instance's RAID arrays,List,stack,,
35,DescribeRdsDbInstances,Grants permission to describe Amazon RDS instances,List,stack,,
36,DescribeServiceErrors,Grants permission to describe AWS OpsWorks service errors,List,stack,,
37,DescribeStackProvisioningParameters,Grants permission to request a description of a stack's provisioning parameters,List,stack,,
38,DescribeStackSummary,"Grants permission to describe the number of layers and apps in a specified stack, and the number of instances in each state, such as running_setup or online",List,stack,,
39,DescribeStacks,Grants permission to request a description of one or more stacks,List,stack,,
40,DescribeTimeBasedAutoScaling,Grants permission to describe time-based auto scaling configurations for specified instances,List,stack,,
41,DescribeUserProfiles,Grants permission to describe specified users,List,,,
42,DescribeVolumes,Grants permission to describe an instance's Amazon EBS volumes,List,stack,,
43,DetachElasticLoadBalancer,Grants permission to detache a specified Elastic Load Balancing instance from its layer,Write,stack,,
44,DisassociateElasticIp,Grants permission to disassociate an Elastic IP address from its instance,Write,stack,,
45,GetHostnameSuggestion,"Grants permission to get a generated host name for the specified layer, based on the current host name theme",Read,stack,,
46,GrantAccess,Grants permission to grant RDP access to a Windows instance for a specified time period,Write,stack,,
47,ListTags,Grants permission to return a list of tags that are applied to the specified stack or layer,List,stack,,
48,RebootInstance,Grants permission to reboot a specified instance,Write,stack,,
49,RegisterEcsCluster,Grants permission to register a specified Amazon ECS cluster with a stack,Write,stack,,
50,RegisterElasticIp,Grants permission to register an Elastic IP address with a specified stack,Write,stack,,
51,RegisterInstance,Grants permission to register instances with a specified stack that were created outside of AWS OpsWorks,Write,stack,,
52,RegisterRdsDbInstance,Grants permission to register an Amazon RDS instance with a stack,Write,stack,,
53,RegisterVolume,Grants permission to register an Amazon EBS volume with a specified stack,Write,stack,,
54,SetLoadBasedAutoScaling,Grants permission to specify the load-based auto scaling configuration for a specified layer,Write,stack,,
55,SetPermission,Grants permission to specify a user's permissions,Permissions management,stack,,
56,SetTimeBasedAutoScaling,Grants permission to specify the time-based auto scaling configuration for a specified instance,Write,stack,,
57,StartInstance,Grants permission to start a specified instance,Write,stack,,
58,StartStack,Grants permission to start a stack's instances,Write,stack,,
59,StopInstance,Grants permission to stop a specified instance,Write,stack,,
60,StopStack,Grants permission to stop a specified stack,Write,stack,,
61,TagResource,Grants permission to apply tags to a specified stack or layer,Tagging,stack,,
62,UnassignInstance,Grants permission to unassign a registered instance from all of it's layers,Write,stack,,
63,UnassignVolume,Grants permission to unassign an assigned Amazon EBS volume,Write,stack,,
64,UntagResource,Grants permission to remove tags from a specified stack or layer,Tagging,stack,,
65,UpdateApp,Grants permission to update a specified app,Write,stack,,
66,UpdateElasticIp,Grants permission to update a registered Elastic IP address's name,Write,stack,,
