,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApp [permission only],Grants permission to create an AWS Panorama application,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
1,CreateAppDeployment [permission only],Grants permission to deploy an AWS Panorama application,Write,,,
2,CreateAppVersion [permission only],Grants permission to create a version of an AWS Panorama application,Write,appVersion*,,
3,CreateApplicationInstance,Grants permission to create an AWS Panorama Application Instance,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
4,CreateDataSource [permission only],Grants permission to create an AWS Panorama datasource,Write,device*,,
5,CreateDataSource [permission only],Grants permission to create an AWS Panorama datasource,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
6,CreateDeploymentConfiguration [permission only],Grants permission to configure a deployment for an AWS Panorama application,Write,,,
7,CreateInputs [permission only],Grants permission to generate a list of cameras on the same network as an AWS Panorama Appliance,Write,device*,,
8,CreateJobForDevices [permission only],Grants permission to create a job for an AWS Panorama Appliance,Write,,,
9,CreateModel [permission only],Grants permission to import a machine learning model into AWS Panorama,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
10,CreateNodeFromTemplateJob,Grants permission to create an AWS Panorama Node,Write,,,
11,CreatePackage,Grants permission to create an AWS Panorama Package,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
12,CreatePackageImportJob,Grants permission to create an AWS Panorama Package,Write,,,
13,CreateStreams [permission only],Grants permission to generate a list of streams available to an AWS Panorama Appliance,Write,device*,,
14,DeleteApp [permission only],Grants permission to delete an AWS Panorama application,Write,app*,,
15,DeleteAppVersion [permission only],Grants permission to delete a version of an AWS Panorama application,Write,app*,,
16,DeleteDataSource [permission only],Grants permission to delete an AWS Panorama datasource,Write,dataSource*,,
17,DeleteDevice [permission only],Grants permission to deregister an AWS Panorama Appliance,Write,device*,,
18,DeleteModel [permission only],Grants permission to delete a machine learning model from AWS Panorama,Write,model*,,
19,DeletePackage,Grants permission to delete an AWS Panorama Package,Write,package*,,
20,DeregisterPackageVersion,Grants permission to deregister an AWS Panorama Package Version,Write,,,
21,DescribeApp [permission only],Grants permission to view details about an AWS Panorama application,Read,app*,,
22,DescribeAppDeployment [permission only],Grants permission to view details about a deployment for an AWS Panorama application,Read,,,
23,DescribeAppVersion [permission only],Grants permission to view details about a version of an AWS Panorama application,Read,app*,,
24,DescribeApplicationInstance,Grants permission to view details about an AWS Panorama Application Instance,Read,applicationInstance*,,
25,DescribeApplicationInstanceDetails,Grants permission to view details about an AWS Panorama Application Instance,Read,applicationInstance*,,
26,DescribeDataSource [permission only],Grants permission to view details about a datasource in AWS Panorama,Read,dataSource*,,
27,DescribeDevice [permission only],Grants permission to view details about an AWS Panorama Appliance,Read,device*,,
28,DescribeDeviceJob [permission only],Grants permission to view job details for an AWS Panorama Appliance,Read,,,
29,DescribeModel [permission only],Grants permission to view details about a machine learning model in AWS Panorama,Read,model*,,
30,DescribeNode,Grants permission to view details about an AWS Panorama Node,Read,,,
31,DescribeNodeFromTemplateJob,Grants permission to view details about AWS Panorama Node,Read,,,
32,DescribePackage,Grants permission to view details about an AWS Panorama Package,Read,package*,,
33,DescribePackageImportJob,Grants permission to view details about an AWS Panorama Package,Read,,,
34,DescribePackageVersion,Grants permission to view details about an AWS Panorama Package Version,Read,,,
35,DescribeSoftware [permission only],Grants permission to view details about a software version for the AWS Panorama Appliance,Read,,,
36,GetDeploymentConfiguration [permission only],Grants permission to view details about a deployment configuration for an AWS Panorama application,Read,,,
37,GetInputs [permission only],Grants permission to retrieve a list of cameras generated with CreateInputs,Read,device*,,
38,GetStreams [permission only],Grants permission to retrieve a list of streams generated with CreateStreams,Read,device*,,
39,GetWebSocketURL [permission only],Grants permission to generate a WebSocket endpoint for communication with AWS Panorama,Read,,,
40,ListAppDeploymentOperations [permission only],Grants permission to retrieve a list of deployments for an AWS Panorama application,List,,,
41,ListAppVersions [permission only],Grants permission to retrieve a list of application versions in AWS Panorama,List,app*,,
42,ListApplicationInstanceDependencies,Grants permission to retrieve a list of application instance dependencies in AWS Panorama,List,,,
43,ListApplicationInstanceNodeInstances,Grants permission to retrieve a list of node instances of application instances in AWS Panorama,List,,,
44,ListApplicationInstances,Grants permission to retrieve a list of application instances in AWS Panorama,List,,,
45,ListApps [permission only],Grants permission to retrieve a list of applications in AWS Panorama,List,,,
46,ListDataSources [permission only],Grants permission to retrieve a list of datasources in AWS Panorama,List,device*,,
47,ListDeploymentConfigurations [permission only],Grants permission to retrieve a list of deployment configurations in AWS Panorama,List,,,
48,ListDevices [permission only],Grants permission to retrieve a list of appliances in AWS Panorama,List,,,
49,ListDevicesJobs [permission only],Grants permission to retrieve a list of jobs for an AWS Panorama Appliance,List,,,
50,ListModels [permission only],Grants permission to retrieve a list of models in AWS Panorama,List,,,
51,ListNodeFromTemplateJobs,Grants permission to retrieve a list of Nodes for an AWS Panorama Appliance,List,,,
52,ListNodes,Grants permission to retrieve a list of nodes in AWS Panorama,List,,,
53,ListPackageImportJobs,Grants permission to retrieve a list of packages in AWS Panorama,List,,,
54,ListPackages,Grants permission to retrieve a list of packages in AWS Panorama,List,,,
55,ListTagsForResource [permission only],Grants permission to retrieve a list of tags for a resource in AWS Panorama,Read,app,,
56,ListTagsForResource [permission only],Grants permission to retrieve a list of tags for a resource in AWS Panorama,Read,dataSource,,
57,ListTagsForResource [permission only],Grants permission to retrieve a list of tags for a resource in AWS Panorama,Read,device,,
58,ListTagsForResource [permission only],Grants permission to retrieve a list of tags for a resource in AWS Panorama,Read,model,,
59,ProvisionDevice [permission only],Grants permission to register an AWS Panorama Appliance,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
60,RegisterPackageVersion,Grants permission to register an AWS Panorama Package Version,Write,,,
61,RemoveApplicationInstance,Grants permission to remove an AWS Panorama Application Instance,Write,applicationInstance*,,
62,TagResource [permission only],Grants permission to add tags to a resource in AWS Panorama,Tagging,app,,
63,TagResource [permission only],Grants permission to add tags to a resource in AWS Panorama,Tagging,dataSource,,
64,TagResource [permission only],Grants permission to add tags to a resource in AWS Panorama,Tagging,device,,
65,TagResource [permission only],Grants permission to add tags to a resource in AWS Panorama,Tagging,model,,
66,TagResource [permission only],Grants permission to add tags to a resource in AWS Panorama,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
67,UntagResource [permission only],Grants permission to remove tags from a resource in AWS Panorama,Tagging,app,,
68,UntagResource [permission only],Grants permission to remove tags from a resource in AWS Panorama,Tagging,dataSource,,
69,UntagResource [permission only],Grants permission to remove tags from a resource in AWS Panorama,Tagging,device,,
70,UntagResource [permission only],Grants permission to remove tags from a resource in AWS Panorama,Tagging,model,,
71,UntagResource [permission only],Grants permission to remove tags from a resource in AWS Panorama,Tagging,,aws:TagKeys,
72,UpdateApp [permission only],Grants permission to modify an AWS Panorama application,Write,app*,,
73,UpdateAppConfiguration [permission only],Grants permission to modify the version-specific configuration of an AWS Panorama application,Write,app*,,
74,UpdateDataSource [permission only],Grants permission to modify an AWS Panorama datasource,Write,dataSource*,,
75,UpdateDeviceMetadata [permission only],Grants permission to modify basic settings for an AWS Panorama Appliance,Write,,,
