,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateRule,Grants permission to create a Recycle Bin retention rule,Write,rule*,,
1,CreateRule,Grants permission to create a Recycle Bin retention rule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys  rbin:Request/ResourceType,
2,DeleteRule,Grants permission to delete a Recycle Bin retention rule,Write,rule*,,
3,DeleteRule,Grants permission to delete a Recycle Bin retention rule,Write,,aws:ResourceTag/${TagKey}  rbin:Attribute/ResourceType,
4,GetRule,Grants permission to get detailed information about a Recycle Bin retention rule,Read,rule*,,
5,GetRule,Grants permission to get detailed information about a Recycle Bin retention rule,Read,,aws:ResourceTag/${TagKey}  rbin:Attribute/ResourceType,
6,ListRules,Grants permission to list the Recycle Bin retention rules in the Region,Read,,rbin:Request/ResourceType,
7,ListTagsForResource,Grants permission to list the tags associated with a resource,Read,rule*,,
8,ListTagsForResource,Grants permission to list the tags associated with a resource,Read,,aws:ResourceTag/${TagKey}  rbin:Attribute/ResourceType,
9,TagResource,Grants permission to add or update tags of a resource,Tagging,rule*,,
10,TagResource,Grants permission to add or update tags of a resource,Tagging,,aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys  rbin:Attribute/ResourceType,
11,UntagResource,Grants permission to remove tags associated with a resource,Tagging,rule*,,
12,UntagResource,Grants permission to remove tags associated with a resource,Tagging,,aws:ResourceTag/${TagKey}  aws:TagKeys  rbin:Attribute/ResourceType,
13,UpdateRule,Grants permission to update an existing Recycle Bin retention rule,Write,rule*,,
14,UpdateRule,Grants permission to update an existing Recycle Bin retention rule,Write,,aws:ResourceTag/${TagKey}  rbin:Attribute/ResourceType,
