,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddDraftAppVersionResourceMappings,Grants permission to add draft application version resource mappings,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources
1,CreateApp,Grants permission to create application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateRecommendationTemplate,Grants permission to create recommendation template,Write,application*,,s3:CreateBucket  s3:ListBucket  s3:PutObject
3,CreateRecommendationTemplate,Grants permission to create recommendation template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateResiliencyPolicy,Grants permission to create resiliency policy,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,DeleteApp,Grants permission to batch delete application,Write,application*,,
6,DeleteAppAssessment,Grants permission to batch delete application assessment,Write,application*,,
7,DeleteRecommendationTemplate,Grants permission to batch delete recommendation template,Write,application*,,
8,DeleteResiliencyPolicy,Grants permission to batch delete resiliency policy,Write,resiliency-policy*,,
9,DescribeApp,Grants permission to describe application,Read,application*,,
10,DescribeAppAssessment,Grants permission to describe application assessment,Read,application*,,
11,DescribeAppVersionResourcesResolutionStatus,Grants permission to describe application resolution,Read,application*,,
12,DescribeAppVersionTemplate,Grants permission to describe application version template,Read,application*,,
13,DescribeDraftAppVersionResourcesImportStatus,Grants permission to describe draft application version resources import status,Read,application*,,
14,DescribeResiliencyPolicy,Grants permission to describe resiliency policy,Read,resiliency-policy*,,
15,ImportResourcesToDraftAppVersion,Grants permission to import resources to draft application version,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources
16,ListAlarmRecommendations,Grants permission to list alarm recommendation,List,application*,,
17,ListAppAssessments,Grants permission to list application assessment,List,,,
18,ListAppComponentCompliances,Grants permission to list app component compliances,List,application*,,
19,ListAppComponentRecommendations,Grants permission to list app component recommendations,List,application*,,
20,ListAppVersionResourceMappings,Grants permission to application version resource mappings,List,application*,,
21,ListAppVersionResources,Grants permission to list application resources,List,application*,,
22,ListAppVersions,Grants permission to list application version,List,application*,,
23,ListApps,Grants permission to list applications,List,,,
24,ListRecommendationTemplates,Grants permission to list recommendation templates,List,application*,,
25,ListResiliencyPolicies,Grants permission to list resiliency policies,List,,,
26,ListSopRecommendations,Grants permission to list SOP recommendations,List,application*,,
27,ListSuggestedResiliencyPolicies,Grants permission to list suggested resiliency policies,List,,,
28,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
29,ListTestRecommendations,Grants permission to list test recommendations,List,application*,,
30,ListUnsupportedAppVersionResources,Grants permission to list unsupported application version resources,List,application*,,
31,PublishAppVersion,Grants permission to publish application version,Write,application*,,
32,PutDraftAppVersionTemplate,Grants permission to put draft application version template,Write,application*,,
33,RemoveDraftAppVersionResourceMappings,Grants permission to remove draft application version mappings,Write,application*,,
34,ResolveAppVersionResources,Grants permission to resolve application version resources,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources
35,StartAppAssessment,Grants permission to create application assessment,Write,application*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  cloudwatch:DescribeAlarms  cloudwatch:GetMetricData  cloudwatch:GetMetricStatistics  cloudwatch:PutMetricData  ec2:DescribeRegions  fis:GetExperimentTemplate  fis:ListExperimentTemplates  fis:ListExperiments  resource-groups:GetGroup  resource-groups:ListGroupResources  servicecatalog:GetApplication  servicecatalog:ListAssociatedResources  ssm:GetParametersByPath
36,StartAppAssessment,Grants permission to create application assessment,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
37,TagResource,Grants permission to assign a resource tag,Tagging,app-assessment,,
38,TagResource,Grants permission to assign a resource tag,Tagging,application,,
39,TagResource,Grants permission to assign a resource tag,Tagging,recommendation-template,,
40,TagResource,Grants permission to assign a resource tag,Tagging,resiliency-policy,,
41,TagResource,Grants permission to assign a resource tag,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
42,UntagResource,Grants permission to untag a resource,Tagging,app-assessment,,
43,UntagResource,Grants permission to untag a resource,Tagging,application,,
44,UntagResource,Grants permission to untag a resource,Tagging,recommendation-template,,
45,UntagResource,Grants permission to untag a resource,Tagging,resiliency-policy,,
46,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys,
47,UpdateApp,Grants permission to update application,Write,application*,,
48,UpdateResiliencyPolicy,Grants permission to update resiliency policy,Write,resiliency-policy*,,
