,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptResourceShareInvitation,Grants permission to accept the specified resource share invitation,Write,resource-share-invitation*,,
1,AcceptResourceShareInvitation,Grants permission to accept the specified resource share invitation,Write,,ram:ShareOwnerAccountId,
2,AssociateResourceShare,Grants permission to associate resource(s) and/or principal(s) to a resource share,Write,resource-share*,,
3,AssociateResourceShare,Grants permission to associate resource(s) and/or principal(s) to a resource share,Write,,aws:ResourceTag/${TagKey}  ram:ResourceShareName  ram:AllowsExternalPrincipals  ram:Principal  ram:RequestedResourceType  ram:ResourceArn,
4,AssociateResourceSharePermission,Grants permission to associate a Permission with a Resource Share,Write,permission*,,
5,AssociateResourceSharePermission,Grants permission to associate a Permission with a Resource Share,Write,resource-share*,,
6,CreateResourceShare,Grants permission to create a resource share with provided resource(s) and/or principal(s),Write,,aws:RequestTag/${TagKey}  aws:TagKeys  ram:RequestedResourceType  ram:ResourceArn  ram:RequestedAllowsExternalPrincipals  ram:Principal,ec2:CreateTags
7,DeleteResourceShare,Grants permission to delete resource share,Write,resource-share*,,
8,DeleteResourceShare,Grants permission to delete resource share,Write,,aws:ResourceTag/${TagKey}  ram:ResourceShareName  ram:AllowsExternalPrincipals,
9,DisassociateResourceShare,Grants permission to disassociate resource(s) and/or principal(s) from a resource share,Write,resource-share*,,
10,DisassociateResourceShare,Grants permission to disassociate resource(s) and/or principal(s) from a resource share,Write,,aws:ResourceTag/${TagKey}  ram:ResourceShareName  ram:AllowsExternalPrincipals  ram:Principal  ram:RequestedResourceType  ram:ResourceArn,
11,DisassociateResourceSharePermission,Grants permission to disassociate a Permission from a Resource Share,Write,permission*,,
12,DisassociateResourceSharePermission,Grants permission to disassociate a Permission from a Resource Share,Write,resource-share*,,
13,EnableSharingWithAwsOrganization,Grants permission to access customer's organization and create a SLR in the customer's account,Permissions management,,,iam:CreateServiceLinkedRole  organizations:DescribeOrganization  organizations:EnableAWSServiceAccess
14,GetPermission,Grants permission to get the contents of an AWS RAM permission,Read,permission*,,
15,GetPermission,Grants permission to get the contents of an AWS RAM permission,Read,,ram:PermissionArn,
16,GetResourcePolicies,Grants permission to get the policies for the specified resources that you own and have shared,Read,,,
17,GetResourceShareAssociations,Grants permission to get a set of resource share associations from a provided list or with a specified status of the specified type,Read,,,
18,GetResourceShareInvitations,Grants permission to get resource share invitations by the specified invitation arn or those for the resource share,Read,,,
19,GetResourceShares,Grants permission to get a set of resource shares from a provided list or with a specified status,Read,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,ListPendingInvitationResources,Grants permission to list the resources in a resource share that is shared with you but that the invitation is still pending for,Read,resource-share-invitation*,,
21,ListPermissionVersions,Grants permission to list the versions of an AWS RAM permission,List,,,
22,ListPermissions,Grants permission to list the AWS RAM permissions,List,,,
23,ListPrincipals,Grants permission to list the principals that you have shared resources with or that have shared resources with you,List,,,
24,ListResourceSharePermissions,Grants permission to list the Permissions associated with a Resource Share,List,resource-share*,,
25,ListResourceSharePermissions,Grants permission to list the Permissions associated with a Resource Share,List,,aws:ResourceTag/${TagKey}  ram:ResourceShareName  ram:AllowsExternalPrincipals,
26,ListResourceTypes,Grants permission to list the shareable resource types supported by AWS RAM,List,,,
27,ListResources,Grants permission to list the resources that you added to resource shares or the resources that are shared with you,List,,,
28,PromoteResourceShareCreatedFromPolicy,Grants permission to promote the specified resource share,Write,resource-share*,,
29,RejectResourceShareInvitation,Grants permission to reject the specified resource share invitation,Write,resource-share-invitation*,,
30,RejectResourceShareInvitation,Grants permission to reject the specified resource share invitation,Write,,ram:ShareOwnerAccountId,
31,TagResource,Grants permission to tag the specified resource share,Tagging,resource-share*,,
32,TagResource,Grants permission to tag the specified resource share,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
33,UntagResource,Grants permission to untag the specified resource share,Tagging,resource-share*,,
34,UntagResource,Grants permission to untag the specified resource share,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
35,UpdateResourceShare,Grants permission to update attributes of the resource share,Write,resource-share*,,
36,UpdateResourceShare,Grants permission to update attributes of the resource share,Write,,aws:ResourceTag/${TagKey}  ram:ResourceShareName  ram:AllowsExternalPrincipals  ram:RequestedAllowsExternalPrincipals,
