,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateGroup,"Grants permission to create a resource group with a specified name, description, and resource query",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,DeleteGroup,Grants permission to delete a specified resource group,Write,group*,,
2,GetGroup,Grants permission to get information of a specified resource group,Read,group*,,
3,GetGroupConfiguration,Grants permission to get the service configuration associated with the specified resource group,Read,group*,,
4,GetGroupQuery,Grants permission to get the query associated with a specified resource group,Read,group*,,
5,GetTags,Grants permission to get the tags associated with a specified resource group,Read,group*,,
6,GroupResources,Grants permission to add the specified resources to the specified group,Write,group*,,
7,ListGroupResources,Grants permission to list the resources that are members of a specified resource group,List,group*,,cloudformation:DescribeStacks  cloudformation:ListStackResources  tag:GetResources
8,ListGroups,Grants permission to list all resource groups in your account,List,,,
9,PutGroupConfiguration,Grants permission to put the service configuration associated with the specified resource group,Write,group*,,
10,PutGroupPolicy [permission only],Grants permission to add a resource-based policy for the specified group,Write,group*,,
11,SearchResources,Grants permission to search for AWS resources matching the given query,List,,,cloudformation:DescribeStacks  cloudformation:ListStackResources  tag:GetResources
12,Tag,Grants permission to tag a specified resource group,Tagging,group*,,
13,Tag,Grants permission to tag a specified resource group,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,UngroupResources,Grants permission to remove the specified resources from the specified group,Write,group*,,
15,Untag,Grants permission to remove tags associated with a specified resource group,Tagging,group*,,
16,Untag,Grants permission to remove tags associated with a specified resource group,Tagging,,aws:TagKeys,
17,UpdateGroup,Grants permission to update a specified resource group,Write,group*,,
18,UpdateGroupQuery,Grants permission to update the query associated with a specified resource group,Write,group*,,
