,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchDeleteWorlds,Delete one or more worlds in a batch operation,Write,,,
1,BatchDescribeSimulationJob,Describe multiple simulation jobs,Read,,,
2,CancelDeploymentJob,Cancel a deployment job,Write,deploymentJob*,,
3,CancelSimulationJob,Cancel a simulation job,Write,simulationJob*,,
4,CancelSimulationJobBatch,Cancel a simulation job batch,Write,simulationJobBatch*,,
5,CancelWorldExportJob,Cancel a world export job,Write,worldExportJob*,,
6,CancelWorldGenerationJob,Cancel a world generation job,Write,worldGenerationJob*,,
7,CreateDeploymentJob,Create a deployment job,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:CreateServiceLinkedRole
8,CreateFleet,Create a deployment fleet that represents a logical group of robots running the same robot application,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
9,CreateRobot,Create a robot that can be registered to a fleet,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:CreateServiceLinkedRole
10,CreateRobotApplication,Create a robot application,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
11,CreateRobotApplicationVersion,Create a snapshot of a robot application,Write,robotApplication*,,s3:GetObject
12,CreateSimulationApplication,Create a simulation application,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
13,CreateSimulationApplicationVersion,Create a snapshot of a simulation application,Write,simulationApplication*,,s3:GetObject
14,CreateSimulationJob,Create a simulation job,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:CreateServiceLinkedRole
15,CreateWorldExportJob,Create a world export job,Write,world*,,
16,CreateWorldExportJob,Create a world export job,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
17,CreateWorldGenerationJob,Create a world generation job,Write,worldTemplate*,,
18,CreateWorldGenerationJob,Create a world generation job,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
19,CreateWorldTemplate,Create a world template,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
20,DeleteFleet,Delete a deployment fleet,Write,deploymentFleet*,,
21,DeleteRobot,Delete a robot,Write,robot*,,
22,DeleteRobotApplication,Delete a robot application,Write,robotApplication*,,
23,DeleteSimulationApplication,Delete a simulation application,Write,simulationApplication*,,
24,DeleteWorldTemplate,Delete a world template,Write,worldTemplate*,,
25,DeregisterRobot,Deregister a robot from a fleet,Write,deploymentFleet*,,
26,DeregisterRobot,Deregister a robot from a fleet,Write,robot*,,
27,DescribeDeploymentJob,Describe a deployment job,Read,deploymentJob*,,
28,DescribeFleet,Describe a deployment fleet,Read,deploymentFleet*,,
29,DescribeRobot,Describe a robot,Read,robot*,,
30,DescribeRobotApplication,Describe a robot application,Read,robotApplication*,,
31,DescribeSimulationApplication,Describe a simulation application,Read,simulationApplication*,,
32,DescribeSimulationJob,Describe a simulation job,Read,simulationJob*,,
33,DescribeSimulationJobBatch,Describe a simulation job batch,Read,simulationJobBatch*,,
34,DescribeWorld,Describe a world,Read,world*,,
35,DescribeWorldExportJob,Describe a world export job,Read,worldExportJob*,,
