,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateConnectionWithChart [permission only],Grants permission to associate connection to a chart,Write,chart*,,
1,AssociateConnectionWithChart [permission only],Grants permission to associate connection to a chart,Write,connection*,,
2,AssociateConnectionWithTab [permission only],Grants permission to associate connection to a tab,Write,connection*,,
3,AssociateQueryWithTab [permission only],Grants permission to associate query to a tab,Write,query*,,
4,BatchDeleteFolder [permission only],Grants permission to delete folders on your account,Write,,,
5,BatchGetNotebookCell [permission only],Grants permission to get notebook cells content on your account,Read,notebook*,,
6,CreateAccount [permission only],Grants permission to create SQLWorkbench account,Write,,,
7,CreateChart [permission only],Grants permission to create new saved chart on your account,Write,chart*,,
8,CreateChart [permission only],Grants permission to create new saved chart on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
9,CreateConnection [permission only],Grants permission to create a new connection on your account,Write,connection*,,
10,CreateConnection [permission only],Grants permission to create a new connection on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
11,CreateFolder [permission only],Grants permission to create folder on your account,Write,,,
12,CreateNotebook [permission only],Grants permission to create a new notebook on your account,Write,notebook*,,
13,CreateNotebook [permission only],Grants permission to create a new notebook on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
14,CreateNotebookCell [permission only],Grants permission to create a notebook cell on your account,Write,notebook*,,
15,CreateNotebookCell [permission only],Grants permission to create a notebook cell on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
16,CreateNotebookFromVersion [permission only],Grants permission to create a new notebook from a notebook version on your account,Write,notebook*,,
17,CreateNotebookFromVersion [permission only],Grants permission to create a new notebook from a notebook version on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
18,CreateNotebookVersion [permission only],Grants permission to create a notebook version on your account,Write,notebook*,,
19,CreateNotebookVersion [permission only],Grants permission to create a notebook version on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
20,CreateSavedQuery [permission only],Grants permission to create a new saved query on your account,Write,query*,,
21,CreateSavedQuery [permission only],Grants permission to create a new saved query on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
22,DeleteChart [permission only],Grants permission to remove charts on your account,Write,chart*,,
23,DeleteConnection [permission only],Grants permission to remove connections on your account,Write,connection*,,
24,DeleteNotebook [permission only],Grants permission to remove notebooks on your account,Write,notebook*,,
25,DeleteNotebookCell [permission only],Grants permission to remove notebooks cells on your account,Write,notebook*,,
26,DeleteNotebookVersion [permission only],Grants permission to remove notebooks cells on your account,Write,notebook*,,
27,DeleteSavedQuery [permission only],Grants permission to remove saved queries on your account,Write,query*,,
28,DeleteTab [permission only],Grants permission to remove a tab on your account,Write,,,
29,DriverExecute [permission only],Grants permission to execute a query in your redshift cluster,Write,connection*,,
30,DuplicateNotebook [permission only],Grants permission to create a new notebook by duplicating an existing one on your account,Write,notebook*,,
31,DuplicateNotebook [permission only],Grants permission to create a new notebook by duplicating an existing one on your account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
32,ExportNotebook [permission only],Grants permission to export a notebook on your account,Read,notebook*,,
33,GenerateSession [permission only],Grants permission to generate a new session on your account,Write,,,
34,GetAccountInfo [permission only],Grants permission to get account info,Read,,,
35,GetAccountSettings [permission only],Grants permission to get account settings,Read,,,
36,GetChart [permission only],Grants permission to get charts on your account,Read,chart*,,
37,GetConnection [permission only],Grants permission to get connections on your account,Read,connection*,,
38,GetNotebook [permission only],Grants permission to get notebook metadata on your account,Read,notebook*,,
39,GetNotebookVersion [permission only],Grants permission to get the content of a notebook version on your account,Read,notebook*,,
40,GetQueryExecutionHistory [permission only],Grants permission to get the query execution history on your account,Read,,,
41,GetSavedQuery [permission only],Grants permission to get saved query on your account,Read,query*,,
42,GetUserInfo [permission only],Grants permission to get user info,Read,,,
43,GetUserWorkspaceSettings [permission only],Grants permission to get workspace settings on your account,Read,,,
44,ImportNotebook [permission only],Grants permission to import a notebook on your account,Write,notebook*,,
