,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssumeRole,Grants permission to obtain a set of temporary security credentials that you can use to access AWS resources that you might not normally have access to,Write,role*,,
1,AssumeRole,Grants permission to obtain a set of temporary security credentials that you can use to access AWS resources that you might not normally have access to,Write,,aws:TagKeys  aws:PrincipalTag/${TagKey}  aws:RequestTag/${TagKey}  sts:TransitiveTagKeys  sts:ExternalId  sts:RoleSessionName  iam:ResourceTag/${TagKey}  sts:SourceIdentity  aws:SourceIdentity,
2,AssumeRoleWithSAML,Grants permission to obtain a set of temporary security credentials for users who have been authenticated via a SAML authentication response,Write,role*,,
3,AssumeRoleWithSAML,Grants permission to obtain a set of temporary security credentials for users who have been authenticated via a SAML authentication response,Write,,saml:namequalifier  saml:sub  saml:sub_type  saml:aud  saml:iss  saml:doc  saml:cn  saml:commonName  saml:eduorghomepageuri  saml:eduorgidentityauthnpolicyuri  saml:eduorglegalname  saml:eduorgsuperioruri  saml:eduorgwhitepagesuri  saml:edupersonaffiliation  saml:edupersonassurance  saml:edupersonentitlement  saml:edupersonnickname  saml:edupersonorgdn  saml:edupersonorgunitdn  saml:edupersonprimaryaffiliation  saml:edupersonprimaryorgunitdn  saml:edupersonprincipalname  saml:edupersonscopedaffiliation  saml:edupersontargetedid  saml:givenName  saml:mail  saml:name  saml:organizationStatus  saml:primaryGroupSID  saml:surname  saml:uid  saml:x500UniqueIdentifier  aws:TagKeys  aws:PrincipalTag/${TagKey}  aws:RequestTag/${TagKey}  sts:TransitiveTagKeys  sts:SourceIdentity  sts:RoleSessionName,
4,AssumeRoleWithWebIdentity,Grants permission to obtain a set of temporary security credentials for users who have been authenticated in a mobile or web application with a web identity provider,Write,role*,,
5,AssumeRoleWithWebIdentity,Grants permission to obtain a set of temporary security credentials for users who have been authenticated in a mobile or web application with a web identity provider,Write,,cognito-identity.amazonaws.com:amr  cognito-identity.amazonaws.com:aud  cognito-identity.amazonaws.com:sub  www.amazon.com:app_id  www.amazon.com:user_id  graph.facebook.com:app_id  graph.facebook.com:id  accounts.google.com:aud  accounts.google.com:oaud  accounts.google.com:sub  aws:TagKeys  aws:PrincipalTag/${TagKey}  aws:RequestTag/${TagKey}  sts:TransitiveTagKeys  sts:SourceIdentity  sts:RoleSessionName,
6,DecodeAuthorizationMessage,Grants permission to decode additional information about the authorization status of a request from an encoded message returned in response to an AWS request,Write,,,
7,GetAccessKeyInfo,Grants permission to obtain details about the access key id passed as a parameter to the request,Read,,,
8,GetCallerIdentity,Grants permission to obtain details about the IAM identity whose credentials are used to call the API,Read,,,
9,GetFederationToken,"Grants permission to obtain a set of temporary security credentials (consisting of an access key ID, a secret access key, and a security token) for a federated user",Read,user,,
10,GetFederationToken,"Grants permission to obtain a set of temporary security credentials (consisting of an access key ID, a secret access key, and a security token) for a federated user",Read,,aws:TagKeys  aws:PrincipalTag/${TagKey}  aws:RequestTag/${TagKey},
11,GetServiceBearerToken [permission only],"Grants permission to obtain a STS bearer token for an AWS root user, IAM role, or an IAM user",Read,,sts:AWSServiceName,
12,GetSessionToken,"Grants permission to obtain a set of temporary security credentials (consisting of an access key ID, a secret access key, and a security token) for an AWS account or IAM user",Read,,,
13,SetSourceIdentity [permission only],Grants permission to set a source identity on a STS session,Write,role,,
14,SetSourceIdentity [permission only],Grants permission to set a source identity on a STS session,Write,user,,
15,SetSourceIdentity [permission only],Grants permission to set a source identity on a STS session,Write,,sts:SourceIdentity  aws:SourceIdentity,
16,TagSession [permission only],Grants permission to add tags to a STS session,Tagging,role,,
17,TagSession [permission only],Grants permission to add tags to a STS session,Tagging,user,,
18,TagSession [permission only],Grants permission to add tags to a STS session,Tagging,,aws:TagKeys  aws:PrincipalTag/${TagKey}  aws:RequestTag/${TagKey}  sts:TransitiveTagKeys,
