,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApplication,"Grants permission to create an application, optionally including an AWS SAM file to create the first application version in the same call",Write,,,
1,CreateApplicationVersion,Grants permission to create an application version,Write,applications*,,
2,CreateCloudFormationChangeSet,Grants permission to create an AWS CloudFormation ChangeSet for the given application,Write,applications*,,
3,CreateCloudFormationChangeSet,Grants permission to create an AWS CloudFormation ChangeSet for the given application,Write,,serverlessrepo:applicationType,
4,CreateCloudFormationTemplate,Grants permission to create an AWS CloudFormation template,Write,applications*,,
5,CreateCloudFormationTemplate,Grants permission to create an AWS CloudFormation template,Write,,serverlessrepo:applicationType,
6,DeleteApplication,Grants permission to delete the specified application,Write,applications*,,
7,GetApplication,Grants permission to get the specified application,Read,applications*,,
8,GetApplication,Grants permission to get the specified application,Read,,serverlessrepo:applicationType,
9,GetApplicationPolicy,Grants permission to get the policy for the specified application,Read,applications*,,
10,GetCloudFormationTemplate,Grants permission to get the specified AWS CloudFormation template,Read,applications*,,
11,ListApplicationDependencies,Grants permission to retrieve the list of applications nested in the containing application,List,applications*,,
12,ListApplicationDependencies,Grants permission to retrieve the list of applications nested in the containing application,List,,serverlessrepo:applicationType,
13,ListApplicationVersions,Grants permission to list versions for the specified application owned by the requester,List,applications*,,
14,ListApplicationVersions,Grants permission to list versions for the specified application owned by the requester,List,,serverlessrepo:applicationType,
15,ListApplications,Grants permission to list applications owned by the requester,List,,,
16,PutApplicationPolicy,Grants permission to put the policy for the specified application,Write,applications*,,
17,SearchApplications,Grants permission to get all applications authorized for this user,Read,,serverlessrepo:applicationType,
18,UnshareApplication,Grants permission to unshare the specified application,Write,applications*,,
19,UpdateApplication,Grants permission to update meta-data of the application,Write,applications*,,
