,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptPortfolioShare,Grants permission to accept a portfolio that has been shared with you,Write,Portfolio*,,
1,AssociateAttributeGroup,Grants permission to associate an attribute group with an application,Write,Application*,,
2,AssociateAttributeGroup,Grants permission to associate an attribute group with an application,Write,AttributeGroup*,,
3,AssociateBudgetWithResource,Grants permission to associate a budget with a resource,Write,,,
4,AssociatePrincipalWithPortfolio,"Grants permission to associate an IAM principal with a portfolio, giving the specified principal access to any products associated with the specified portfolio",Write,Portfolio*,,
5,AssociateProductWithPortfolio,Grants permission to associate a product with a portfolio,Write,,,
6,AssociateResource,Grants permission to associate a resource with an application,Write,Application*,,cloudformation:DescribeStacks
7,AssociateResource,Grants permission to associate a resource with an application,Write,,servicecatalog:ResourceType  servicecatalog:Resource,
8,AssociateServiceActionWithProvisioningArtifact,Grants permission to associate an action with a provisioning artifact,Write,Product*,,
9,AssociateTagOptionWithResource,Grants permission to associate the specified TagOption with the specified portfolio or product,Write,Portfolio,,
10,AssociateTagOptionWithResource,Grants permission to associate the specified TagOption with the specified portfolio or product,Write,Product,,
11,BatchAssociateServiceActionWithProvisioningArtifact,Grants permission to associate multiple self-service actions with provisioning artifacts,Write,,,
12,BatchDisassociateServiceActionFromProvisioningArtifact,Grants permission to disassociate a batch of self-service actions from the specified provisioning artifact,Write,,,
13,CopyProduct,Grants permission to copy the specified source product to the specified target product or a new product,Write,,,
14,CreateApplication,Grants permission to create an application,Write,Application*,,iam:CreateServiceLinkedRole
15,CreateApplication,Grants permission to create an application,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateAttributeGroup,Grants permission to create an attribute group,Write,AttributeGroup*,,
17,CreateAttributeGroup,Grants permission to create an attribute group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateConstraint,Grants permission to create a constraint on an associated product and portfolio,Write,Product*,,
19,CreatePortfolio,Grants permission to create a portfolio,Write,Portfolio*,,
20,CreatePortfolio,Grants permission to create a portfolio,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreatePortfolioShare,Grants permission to share a portfolio you own with another AWS account,Permissions management,Portfolio*,,
22,CreateProduct,Grants permission to create a product and that product's first provisioning artifact,Write,Product*,,
23,CreateProduct,Grants permission to create a product and that product's first provisioning artifact,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateProvisionedProductPlan,Grants permission to add a new provisioned product plan,Write,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
25,CreateProvisioningArtifact,Grants permission to add a new provisioning artifact to an existing product,Write,Product*,,
26,CreateServiceAction,Grants permission to create a self-service action,Write,,,
27,CreateTagOption,Grants permission to create a TagOption,Write,,,
28,DeleteApplication,Grants permission to delete an application if all associations have been removed from the application,Write,Application*,,
29,DeleteAttributeGroup,Grants permission to delete an attribute group if all associations have been removed from the attribute group,Write,AttributeGroup*,,
30,DeleteConstraint,Grants permission to remove and delete an existing constraint from an associated product and portfolio,Write,,,
31,DeletePortfolio,Grants permission to delete a portfolio if all associations and shares have been removed from the portfolio,Write,Portfolio*,,
32,DeletePortfolioShare,Grants permission to unshare a portfolio you own from an AWS account you previously shared the portfolio with,Permissions management,Portfolio*,,
33,DeleteProduct,Grants permission to delete a product if all associations have been removed from the product,Write,Product*,,
34,DeleteProvisionedProductPlan,Grants permission to delete a provisioned product plan,Write,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
35,DeleteProvisioningArtifact,Grants permission to delete a provisioning artifact from a product,Write,Product*,,
36,DeleteServiceAction,Grants permission to delete a self-service action,Write,,,
37,DeleteTagOption,Grants permission to delete the specified TagOption,Write,,,
38,DescribeConstraint,Grants permission to describe a constraint,Read,,,
39,DescribeCopyProductStatus,Grants permission to get the status of the specified copy product operation,Read,,,
40,DescribePortfolio,Grants permission to describe a portfolio,Read,Portfolio*,,
41,DescribePortfolioShareStatus,Grants permission to get the status of the specified portfolio share operation,Read,,,
42,DescribePortfolioShares,Grants permission to view a summary of each of the portfolio shares that were created for the specified portfolio,List,Portfolio*,,
43,DescribeProduct,Grants permission to describe a product as an end-user,Read,Product*,,
44,DescribeProductAsAdmin,Grants permission to describe a product as an admin,Read,Product*,,
45,DescribeProductView,Grants permission to describe a product as an end-user,Read,,,
46,DescribeProvisionedProduct,Grants permission to describe a provisioned product,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
47,DescribeProvisionedProductPlan,Grants permission to describe a provisioned product plan,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
48,DescribeProvisioningArtifact,Grants permission to describe a provisioning artifact,Read,Product*,,
49,DescribeProvisioningParameters,Grants permission to describe the parameters that you need to specify to successfully provision a specified provisioning artifact,Read,Product*,,
50,DescribeRecord,Grants permission to describe a record and lists any outputs,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
51,DescribeServiceAction,Grants permission to describe a self-service action,Read,,,
52,DescribeServiceActionExecutionParameters,Grants permission to get the default parameters if you executed the specified Service Action on the specified Provisioned Product,Read,,servicecatalog:accountLevel  servicecatalog:roleLevel  servicecatalog:userLevel,
53,DescribeTagOption,Grants permission to get information about the specified TagOption,Read,,,
54,DisableAWSOrganizationsAccess,Grants permission to disable portfolio sharing through AWS Organizations feature,Write,,,
55,DisassociateAttributeGroup,Grants permission to disassociate an attribute group from an application,Write,Application*,,
56,DisassociateAttributeGroup,Grants permission to disassociate an attribute group from an application,Write,AttributeGroup*,,
57,DisassociateBudgetFromResource,Grants permission to disassociate a budget from a resource,Write,,,
58,DisassociatePrincipalFromPortfolio,Grants permission to disassociate an IAM principal from a portfolio,Write,Portfolio*,,
59,DisassociateProductFromPortfolio,Grants permission to disassociate a product from a portfolio,Write,,,
60,DisassociateResource,Grants permission to disassociate a resource from an application,Write,Application*,,
