,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ActivateGateway,Grants permission to activate the gateway you previously deployed on your host,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,AddCache,Grants permission to configure one or more gateway local disks as cache for a cached-volume gateway,Write,gateway*,,
2,AddTagsToResource,Grants permission to add one or more tags to the specified resource,Tagging,gateway,,
3,AddTagsToResource,Grants permission to add one or more tags to the specified resource,Tagging,share,,
4,AddTagsToResource,Grants permission to add one or more tags to the specified resource,Tagging,tape,,
5,AddTagsToResource,Grants permission to add one or more tags to the specified resource,Tagging,volume,,
6,AddTagsToResource,Grants permission to add one or more tags to the specified resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,AddUploadBuffer,Grants permission to configure one or more gateway local disks as upload buffer for a specified gateway,Write,gateway*,,
8,AddWorkingStorage,Grants permission to configure one or more gateway local disks as working storage for a gateway,Write,gateway*,,
9,AssignTapePool,Grants permission to move a tape to the target pool specified,Write,tape*,,
10,AssignTapePool,Grants permission to move a tape to the target pool specified,Write,tapepool*,,
11,AssociateFileSystem,Grants permission to associate an Amazon FSx file system with the Amazon FSx file gateway,Write,gateway*,,ds:DescribeDirectories  ec2:DescribeNetworkInterfaces  fsx:DescribeFileSystems  iam:CreateServiceLinkedRole  logs:CreateLogDelivery  logs:GetLogDelivery  logs:ListLogDeliveries  logs:UpdateLogDelivery
12,AssociateFileSystem,Grants permission to associate an Amazon FSx file system with the Amazon FSx file gateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,AttachVolume,Grants permission to connect a volume to an iSCSI connection and then attaches the volume to the specified gateway,Write,gateway*,,
14,AttachVolume,Grants permission to connect a volume to an iSCSI connection and then attaches the volume to the specified gateway,Write,volume*,,
15,BypassGovernanceRetention,Grants permission to allow the governance retention lock on a pool to be bypassed,Write,tapepool*,,
16,CancelArchival,Grants permission to cancel archiving of a virtual tape to the virtual tape shelf (VTS) after the archiving process is initiated,Write,gateway*,,
17,CancelArchival,Grants permission to cancel archiving of a virtual tape to the virtual tape shelf (VTS) after the archiving process is initiated,Write,tape*,,
18,CancelRetrieval,Grants permission to cancel retrieval of a virtual tape from the virtual tape shelf (VTS) to a gateway after the retrieval process is initiated,Write,gateway*,,
19,CancelRetrieval,Grants permission to cancel retrieval of a virtual tape from the virtual tape shelf (VTS) to a gateway after the retrieval process is initiated,Write,tape*,,
20,CreateCachediSCSIVolume,Grants permission to create a cached volume on a specified cached gateway. This operation is supported only for the gateway-cached volume architecture,Write,gateway*,,
21,CreateCachediSCSIVolume,Grants permission to create a cached volume on a specified cached gateway. This operation is supported only for the gateway-cached volume architecture,Write,volume*,,
22,CreateCachediSCSIVolume,Grants permission to create a cached volume on a specified cached gateway. This operation is supported only for the gateway-cached volume architecture,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateNFSFileShare,Grants permission to create a NFS file share on an existing file gateway,Write,gateway*,,
24,CreateNFSFileShare,Grants permission to create a NFS file share on an existing file gateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,CreateSMBFileShare,Grants permission to create a SMB file share on an existing file gateway,Write,gateway*,,
26,CreateSMBFileShare,Grants permission to create a SMB file share on an existing file gateway,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,CreateSnapshot,Grants permission to initiate a snapshot of a volume,Write,volume*,,
28,CreateSnapshot,Grants permission to initiate a snapshot of a volume,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,CreateSnapshotFromVolumeRecoveryPoint,Grants permission to initiate a snapshot of a gateway from a volume recovery point,Write,volume*,,
30,CreateSnapshotFromVolumeRecoveryPoint,Grants permission to initiate a snapshot of a gateway from a volume recovery point,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,CreateStorediSCSIVolume,Grants permission to create a volume on a specified gateway,Write,gateway*,,
