,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BackupDatabase,Grants permission to perform backup operation on a specified database,Write,,,
1,DeleteResourcePermission,Grants permission to delete the SSM for SAP level resource permissions associated with a SSM for SAP database resource,Write,,,
2,DeregisterApplication,Grants permission to deregister an SAP application with SSM for SAP,Write,,,
3,GetApplication,Grants permission to access information about an application registered with SSM for SAP by providing the application ID or application ARN,Read,,,
4,GetComponent,Grants permission to access information about a component registered with SSM for SAP by providing the application ID and component ID,Read,,,
5,GetDatabase,"Grants permission to access information about a database registered with SSM for SAP by providing the application ID, component ID, and database ID",Read,,,
6,GetOperation,Grants permission to access information about an operation by providing its operation ID,Read,,,
7,GetResourcePermission,Grants permission to get the SSM for SAP level resource permissions associated with a SSM for SAP database resource,Read,,,
8,ListApplications,Grants permission to retrieve a list of all applications registered with SSM for SAP under the customer AWS account,List,,,
9,ListComponents,"Grants permission to retrieve a list of all components in the account of customer, or a specific application",List,,,
10,ListDatabases,"Grants permission to retrieve a list of all databases in the account of customer, or a specific application",List,,,
11,ListOperations,"Grants permission to retrieve a list of all operations in the account of customer, additional filters can be applied",List,,,
12,ListTagsForResource,Grants permission to list the tags on a specified resource ARN,Read,,,
13,PutResourcePermission,Grants permission to add the SSM for SAP level resource permissions associated with a SSM for SAP database resource,Write,,,
14,RegisterApplication,Grants permission to registers an SAP application with SSM for SAP,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,RestoreDatabase,Grants permission to restore a database from another database,Write,,,
16,TagResource,Grants permission to tag a specified resource ARN,Tagging,application,,
17,TagResource,Grants permission to tag a specified resource ARN,Tagging,database,,
18,TagResource,Grants permission to tag a specified resource ARN,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
19,UntagResource,Grants permission to remove tags from a specified resource ARN,Tagging,application,,
20,UntagResource,Grants permission to remove tags from a specified resource ARN,Tagging,database,,
21,UntagResource,Grants permission to remove tags from a specified resource ARN,Tagging,,aws:TagKeys,
22,UpdateApplicationSettings,Grants permission to update settings of a registered SSM for SAP application,Write,,,
23,UpdateHANABackupSettings,Grants permission to update the HANA backup settings of a specified database,Write,,,
