,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,automation-execution,,
1,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,document,,
2,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,instance,,
3,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,maintenancewindow,,
4,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,managed-instance,,
5,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,opsitem,,
6,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,opsmetadata,,
7,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,parameter,,
8,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,patchbaseline,,
9,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,task,,
10,AddTagsToResource,Grants permission to add or overwrite one or more tags for a specified AWS resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,AssociateOpsItemRelatedItem,Grants permission to associate RelatedItem to an OpsItem,Write,opsitem*,,
12,CancelCommand,Grants permission to cancel a specified Run Command command,Write,,,
13,CancelMaintenanceWindowExecution,Grants permission to cancel an in-progress maintenance window execution,Write,maintenancewindow*,,
14,CreateActivation,Grants permission to create an activation that is used to register on-premises servers and virtual machines (VMs) with Systems Manager,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateAssociation,Grants permission to associate a specified Systems Manager document with specified instances or other targets,Write,document*,,
16,CreateAssociation,Grants permission to associate a specified Systems Manager document with specified instances or other targets,Write,instance,,
17,CreateAssociation,Grants permission to associate a specified Systems Manager document with specified instances or other targets,Write,managed-instance,,
18,CreateAssociationBatch,Grants permission to combine entries for multiple CreateAssociation operations in a single command,Write,document*,,
19,CreateAssociationBatch,Grants permission to combine entries for multiple CreateAssociation operations in a single command,Write,instance,,
20,CreateAssociationBatch,Grants permission to combine entries for multiple CreateAssociation operations in a single command,Write,managed-instance,,
21,CreateDocument,Grants permission to create a Systems Manager SSM document,Write,document*,,iam:PassRole
22,CreateDocument,Grants permission to create a Systems Manager SSM document,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
23,CreateMaintenanceWindow,Grants permission to create a maintenance window,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateOpsItem,Grants permission to create an OpsItem in OpsCenter,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
25,CreateOpsMetadata,Grants permission to create an OpsMetadata object for an AWS resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,CreatePatchBaseline,Grants permission to create a patch baseline,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
27,CreateResourceDataSync,"Grants permission to create a resource data sync configuration, which regularly collects inventory data from managed instances and updates the data in an Amazon S3 bucket",Write,resourcedatasync*,,
28,CreateResourceDataSync,"Grants permission to create a resource data sync configuration, which regularly collects inventory data from managed instances and updates the data in an Amazon S3 bucket",Write,,ssm:SyncType,
29,DeleteActivation,Grants permission to delete a specified activation for managed instances,Write,,,
30,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,association,,
31,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,document,,
32,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,instance,,
33,DeleteAssociation,Grants permission to disassociate a specified SSM document from a specified instance,Write,managed-instance,,
34,DeleteDocument,Grants permission to delete a specified SSM document and its instance associations,Write,document*,,
35,DeleteInventory,"Grants permission to delete a specified custom inventory type, or the data associated with a custom inventory type",Write,,,
36,DeleteMaintenanceWindow,Grants permission to delete a specified maintenance window,Write,maintenancewindow*,,
37,DeleteOpsMetadata,Grants permission to delete an OpsMetadata object,Write,opsmetadata*,,
38,DeleteParameter,Grants permission to delete a specified SSM parameter,Write,parameter*,,
39,DeleteParameters,Grants permission to delete multiple specified SSM parameters,Write,parameter*,,
40,DeletePatchBaseline,Grants permission to delete a specified patch baseline,Write,patchbaseline*,,
41,DeleteResourceDataSync,Grants permission to delete a specified resource data sync,Write,resourcedatasync*,,
42,DeleteResourceDataSync,Grants permission to delete a specified resource data sync,Write,,ssm:SyncType,
43,DeregisterManagedInstance,Grants permission to deregister a specified on-premises server or virtual machine (VM) from Systems Manager,Write,managed-instance*,,
44,DeregisterManagedInstance,Grants permission to deregister a specified on-premises server or virtual machine (VM) from Systems Manager,Write,,ssm:resourceTag/tag-key,
45,DeregisterPatchBaselineForPatchGroup,Grants permission to deregister a specified patch baseline from being the default patch baseline for a specified patch group,Write,patchbaseline*,,
46,DeregisterTargetFromMaintenanceWindow,Grants permission to deregister a specified target from a maintenance window,Write,maintenancewindow*,,
47,DeregisterTaskFromMaintenanceWindow,Grants permission to deregister a specified task from a maintenance window,Write,maintenancewindow*,,
48,DescribeActivations,"Grants permission to view details about a specified managed instance activation, such as when it was created and the number of instances registered using the activation",Read,,,
49,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,association,,
50,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,document,,
51,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,instance,,
52,DescribeAssociation,Grants permission to view details about the specified association for a specified instance or target,Read,managed-instance,,
53,DescribeAssociationExecutionTargets,Grants permission to view information about a specified association execution,Read,association*,,
54,DescribeAssociationExecutions,Grants permission to view all executions for a specified association,Read,association*,,
55,DescribeAutomationExecutions,Grants permission to view details about all active and terminated Automation executions,Read,,,
56,DescribeAutomationStepExecutions,Grants permission to view information about all active and terminated step executions in an Automation workflow,Read,automation-execution*,,
57,DescribeAvailablePatches,Grants permission to view all patches eligible to include in a patch baseline,Read,,,
58,DescribeDocument,Grants permission to view details about a specified SSM document,Read,document*,,
59,DescribeDocumentParameters,Grants permission to display information about SSM document parameters in the Systems Manager console (internal Systems Manager action),Read,document*,,
60,DescribeDocumentPermission,Grants permission to view the permissions for a specified SSM document,Read,document*,,
61,DescribeEffectiveInstanceAssociations,Grants permission to view all current associations for a specified instance,Read,instance*,,
62,DescribeEffectiveInstanceAssociations,Grants permission to view all current associations for a specified instance,Read,managed-instance*,,
63,DescribeEffectivePatchesForPatchBaseline,Grants permission to view details about the patches currently associated with the specified patch baseline (Windows only),Read,patchbaseline*,,
64,DescribeInstanceAssociationsStatus,Grants permission to view the status of the associations for a specified instance,Read,instance*,,
65,DescribeInstanceAssociationsStatus,Grants permission to view the status of the associations for a specified instance,Read,managed-instance*,,
66,DescribeInstanceInformation,Grants permission to view details about a specified instance,Read,,,
67,DescribeInstancePatchStates,Grants permission to view status details about patches on a specified instance,Read,,,
68,DescribeInstancePatchStatesForPatchGroup,Grants permission to describe the high-level patch state for the instances in the specified patch group,Read,,,
69,DescribeInstancePatches,Grants permission to view general details about the patches on a specified instance,Read,,,
70,DescribeInstanceProperties,Grants permission to user's Amazon EC2 console to render managed instances' nodes,Read,,,
71,DescribeInventoryDeletions,Grants permission to view details about a specified inventory deletion,Read,,,
72,DescribeMaintenanceWindowExecutionTaskInvocations,Grants permission to view details of a specified task execution for a maintenance window,List,,,
73,DescribeMaintenanceWindowExecutionTasks,Grants permission to view details about the tasks that ran during a specified maintenance window execution,List,maintenancewindow*,,
74,DescribeMaintenanceWindowExecutions,Grants permission to view the executions of a specified maintenance window,List,maintenancewindow*,,
