,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAccess,Grants permission to add an access associated with a server,Write,server*,,iam:PassRole
1,CreateAgreement,Grants permission to add an agreement associated with a server,Write,server*,,iam:PassRole
2,CreateAgreement,Grants permission to add an agreement associated with a server,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
3,CreateConnector,Grants permission to create a connector,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:PassRole
4,CreateProfile,Grants permission to create a profile,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
5,CreateServer,Grants permission to create a server,Write,,aws:TagKeys  aws:RequestTag/${TagKey},iam:PassRole
6,CreateUser,Grants permission to add a user associated with a server,Write,server*,,iam:PassRole
7,CreateUser,Grants permission to add a user associated with a server,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
8,CreateWorkflow,Grants permission to create a workflow,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
9,DeleteAccess,Grants permission to delete access,Write,server*,,
10,DeleteAgreement,Grants permission to delete agreement,Write,agreement*,,
11,DeleteCertificate,Grants permission to delete certificate,Write,certificate*,,
12,DeleteConnector,Grants permission to delete connector,Write,connector*,,
13,DeleteProfile,Grants permission to delete profile,Write,profile*,,
14,DeleteServer,Grants permission to delete a server,Write,server*,,
15,DeleteSshPublicKey,Grants permission to delete an SSH public key from a user,Write,user*,,
16,DeleteUser,Grants permission to delete a user associated with a server,Write,user*,,
17,DeleteWorkflow,Grants permission to delete a workflow,Write,workflow*,,
18,DescribeAccess,Grants permission to describe an access assigned to a server,Read,server*,,
19,DescribeAgreement,Grants permission to describe an agreement assigned to a server,Read,agreement*,,
20,DescribeCertificate,Grants permission to describe a certificate,Read,certificate*,,
21,DescribeConnector,Grants permission to describe a connector,Read,connector*,,
22,DescribeExecution,Grants permission to describe an execution associated with a workflow,Read,workflow*,,
23,DescribeProfile,Grants permission to describe a profile,Read,profile*,,
24,DescribeSecurityPolicy,Grants permission to describe a security policy,Read,,,
25,DescribeServer,Grants permission to describe a server,Read,server*,,
26,DescribeUser,Grants permission to describe a user associated with a server,Read,user*,,
27,DescribeWorkflow,Grants permission to describe a workflow,Read,workflow*,,
28,ImportCertificate,Grants permission to add a certificate,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
29,ImportSshPublicKey,Grants permission to add an SSH public key to a user,Write,user*,,
30,ListAccesses,Grants permission to list accesses,Read,server*,,
31,ListAgreements,Grants permission to list agreements,Read,server*,,
32,ListCertificates,Grants permission to list certificates,Read,,,
33,ListConnectors,Grants permission to list connectors,Read,,,
34,ListExecutions,Grants permission to list executions associated with a workflow,Read,workflow*,,
35,ListProfiles,Grants permission to list profiles,Read,,,
36,ListSecurityPolicies,Grants permission to list security policies,List,,,
37,ListServers,Grants permission to list servers,List,,,
38,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,agreement,,
39,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,certificate,,
40,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,connector,,
41,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,profile,,
42,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,server,,
43,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,user,,
44,ListTagsForResource,Grants permission to list tags for an AWS Transfer Family resource,Read,workflow,,
45,ListUsers,Grants permission to list users associated with a server,List,server*,,
46,ListWorkflows,Grants permission to list workflows,List,,,
47,SendWorkflowStepState,Grants permission to send a callback for asynchronous custom steps,Write,workflow*,,
48,StartServer,Grants permission to start a server,Write,server*,,
49,StopServer,Grants permission to stop a server,Write,server*,,
50,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,agreement,,
51,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,certificate,,
52,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,connector,,
53,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,profile,,
54,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,server,,
55,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,user,,
56,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,workflow,,
57,TagResource,Grants permission to tag an AWS Transfer Family resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
58,TestIdentityProvider,Grants permission to test a server's custom identity provider,Read,user*,,
59,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,agreement,,
60,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,certificate,,
61,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,connector,,
62,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,profile,,
63,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,server,,
64,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,user,,
65,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,workflow,,
66,UntagResource,Grants permission to untag an AWS Transfer Family resource,Tagging,,aws:TagKeys,
67,UpdateAccess,Grants permission to update access,Write,,,iam:PassRole
68,UpdateAgreement,Grants permission to update an agreement,Write,agreement*,,iam:PassRole
69,UpdateCertificate,Grants permission to update a certificate,Write,certificate*,,
70,UpdateConnector,Grants permission to update a connector,Write,connector*,,iam:PassRole
71,UpdateProfile,Grants permission to update a profile,Write,profile*,,
72,UpdateServer,Grants permission to update the configuration of a server,Write,server*,,iam:PassRole
73,UpdateUser,Grants permission to update the configuration of a user,Write,user*,,iam:PassRole
