,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,DeleteNotificationConfigurationForDelegatedAdmin,Grants permission to the organization management account to delete email notification preferences from a delegated administrator account for Trusted Advisor Priority,Write,,,
1,DescribeAccount [permission only],Grants permission to view the AWS Support plan and various AWS Trusted Advisor preferences,Read,,,
2,DescribeAccountAccess [permission only],Grants permission to view if the AWS account has enabled or disabled AWS Trusted Advisor,Read,,,
3,DescribeCheckItems,Grants permission to view details for the check items,Read,checks*,,
4,DescribeCheckRefreshStatuses,Grants permission to view the refresh statuses for AWS Trusted Advisor checks,Read,checks*,,
5,DescribeCheckSummaries,Grants permission to view AWS Trusted Advisor check summaries,Read,checks*,,
6,DescribeChecks,Grants permission to view details for AWS Trusted Advisor checks,Read,,,
7,DescribeNotificationConfigurations,Grants permission to get your email notification preferences for Trusted Advisor Priority,Read,,,
8,DescribeNotificationPreferences [permission only],Grants permission to view the notification preferences for the AWS account,Read,,,
9,DescribeOrganization [permission only],Grants permission to view if the AWS account meets the requirements to enable the organizational view feature,Read,,,
10,DescribeOrganizationAccounts [permission only],Grants permission to view the linked AWS accounts that are in the organization,Read,,,
11,DescribeReports [permission only],"Grants permission to view details for organizational view reports, such as the report name, runtime, date created, status, and format",Read,,,
12,DescribeRisk,Grants permission to view risk details in AWS Trusted Advisor Priority,Read,,,
13,DescribeRiskResources,Grants permission to view affected resources for a risk in AWS Trusted Advisor Priority,Read,,,
14,DescribeRisks,Grants permission to view risks in AWS Trusted Advisor Priority,Read,,,
15,DescribeServiceMetadata [permission only],"Grants permission to view information about organizational view reports, such as the AWS Regions, check categories, check names, and resource statuses",Read,,,
16,DownloadRisk,Grants permission to download a file that contains details about the risk in AWS Trusted Advisor Priority,Read,,,
17,ExcludeCheckItems [permission only],Grants permission to exclude recommendations for AWS Trusted Advisor checks,Write,checks*,,
18,GenerateReport [permission only],Grants permission to create a report for AWS Trusted Advisor checks in your organization,Write,,,
19,IncludeCheckItems [permission only],Grants permission to include recommendations for AWS Trusted Advisor checks,Write,checks*,,
20,ListAccountsForParent [permission only],"Grants permission to view, in the Trusted Advisor console, all of the accounts in an AWS organization that are contained by a root or organizational unit (OU)",Read,,,
21,ListOrganizationalUnitsForParent [permission only],"Grants permission to view, in the Trusted Advisor console, all of the organizational units (OUs) in a parent organizational unit or root",Read,,,
22,ListRoots [permission only],"Grants permission to view, in the Trusted Advisor console, all of the roots that are defined in an AWS organization",Read,,,
23,RefreshCheck,Grants permission to refresh an AWS Trusted Advisor check,Write,checks*,,
24,SetAccountAccess [permission only],Grants permission to enable or disable AWS Trusted Advisor for the account,Write,,,
25,SetOrganizationAccess [permission only],Grants permission to enable the organizational view feature for AWS Trusted Advisor,Write,,,
26,UpdateNotificationConfigurations,Grants permission to create or update your email notification preferences for Trusted Advisor Priority,Write,,,
27,UpdateNotificationPreferences [permission only],Grants permission to update notification preferences for AWS Trusted Advisor,Write,,,
28,UpdateRiskStatus,Grants permission to update the risk status in AWS Trusted Advisor Priority,Write,,,
