,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,webacl*,,
1,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,apigateway,,
2,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,appsync,,
3,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,loadbalancer/app/,,
4,AssociateWebACL,Grants permission to associate a WebACL with a resource,Write,userpool,,
5,CheckCapacity,Grants permission to calculate web ACL capacity unit (WCU) requirements for a specified scope and set of rules,Read,,,
6,CreateIPSet,Grants permission to create an IPSet,Write,ipset*,,
7,CreateIPSet,Grants permission to create an IPSet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateRegexPatternSet,Grants permission to create a RegexPatternSet,Write,regexpatternset*,,
9,CreateRegexPatternSet,Grants permission to create a RegexPatternSet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateRuleGroup,Grants permission to create a RuleGroup,Write,rulegroup*,,
11,CreateRuleGroup,Grants permission to create a RuleGroup,Write,ipset,,
12,CreateRuleGroup,Grants permission to create a RuleGroup,Write,regexpatternset,,
13,CreateRuleGroup,Grants permission to create a RuleGroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateWebACL,Grants permission to create a WebACL,Write,webacl*,,
15,CreateWebACL,Grants permission to create a WebACL,Write,ipset,,
16,CreateWebACL,Grants permission to create a WebACL,Write,managedruleset,,
17,CreateWebACL,Grants permission to create a WebACL,Write,regexpatternset,,
18,CreateWebACL,Grants permission to create a WebACL,Write,rulegroup,,
19,CreateWebACL,Grants permission to create a WebACL,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
20,DeleteFirewallManagerRuleGroups,Grants permission to delete FirewallManagedRulesGroups from a WebACL if not managed by Firewall Manager anymore,Write,webacl*,,
21,DeleteIPSet,Grants permission to delete an IPSet,Write,ipset*,,
22,DeleteLoggingConfiguration,Grants permission to delete the LoggingConfiguration from a WebACL,Write,webacl*,,
23,DeletePermissionPolicy,Grants permission to delete the PermissionPolicy on a RuleGroup,Permissions management,rulegroup*,,
24,DeleteRegexPatternSet,Grants permission to delete a RegexPatternSet,Write,regexpatternset*,,
25,DeleteRuleGroup,Grants permission to delete a RuleGroup,Write,rulegroup*,,
26,DeleteWebACL,Grants permission to delete a WebACL,Write,webacl*,,
27,DescribeManagedRuleGroup,Grants permission to retrieve high-level information for a managed rule group,Read,,,
28,DisassociateFirewallManager [permission only],Grants permission to disassociate Firewall Manager from a WebACL,Write,webacl*,,
29,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,apigateway,,
30,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,appsync,,
31,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,loadbalancer/app/,,
32,DisassociateWebACL,Grants permission to disassociate a WebACL from an application resource,Write,userpool,,
33,GenerateMobileSdkReleaseUrl,Grants permission to generate a presigned download URL for the specified release of the mobile SDK,Read,,,
34,GetIPSet,Grants permission to retrieve details about an IPSet,Read,ipset*,,
35,GetIPSet,Grants permission to retrieve details about an IPSet,Read,,aws:ResourceTag/${TagKey},
36,GetLoggingConfiguration,Grants permission to retrieve LoggingConfiguration for a WebACL,Read,webacl*,,
37,GetLoggingConfiguration,Grants permission to retrieve LoggingConfiguration for a WebACL,Read,,aws:ResourceTag/${TagKey},
38,GetManagedRuleSet,Grants permission to retrieve details about a ManagedRuleSet,Read,managedruleset*,,
39,GetMobileSdkRelease,"Grants permission to retrieve information for the specified mobile SDK release, including release notes and tags",Read,,,
40,GetPermissionPolicy,Grants permission to retrieve a PermissionPolicy for a RuleGroup,Read,rulegroup*,,
41,GetRateBasedStatementManagedKeys,Grants permission to retrieve the keys that are currently blocked by a rate-based rule,Read,webacl*,,
42,GetRateBasedStatementManagedKeys,Grants permission to retrieve the keys that are currently blocked by a rate-based rule,Read,,aws:ResourceTag/${TagKey},
43,GetRegexPatternSet,Grants permission to retrieve details about a RegexPatternSet,Read,regexpatternset*,,
44,GetRegexPatternSet,Grants permission to retrieve details about a RegexPatternSet,Read,,aws:ResourceTag/${TagKey},
45,GetRuleGroup,Grants permission to retrieve details about a RuleGroup,Read,rulegroup*,,
46,GetRuleGroup,Grants permission to retrieve details about a RuleGroup,Read,,aws:ResourceTag/${TagKey},
47,GetSampledRequests,Grants permission to retrieve detailed information about a sampling of web requests,Read,webacl*,,
48,GetWebACL,Grants permission to retrieve details about a WebACL,Read,webacl*,,
49,GetWebACL,Grants permission to retrieve details about a WebACL,Read,,aws:ResourceTag/${TagKey},
50,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,apigateway,,
51,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,appsync,,
52,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,loadbalancer/app/,,
53,GetWebACLForResource,Grants permission to retrieve the WebACL that's associated with a resource,Read,userpool,,
54,ListAvailableManagedRuleGroupVersions,Grants permission to retrieve an array of managed rule group versions that are available for you to use,List,,,
55,ListAvailableManagedRuleGroups,Grants permission to retrieve an array of managed rule groups that are available for you to use,List,,,
56,ListIPSets,Grants permission to retrieve an array of IPSetSummary objects for the IP sets that you manage,List,,,
57,ListLoggingConfigurations,Grants permission to retrieve an array of your LoggingConfiguration objects,List,,,
58,ListManagedRuleSets,Grants permission to retrieve an array of your ManagedRuleSet objects,List,,,
59,ListMobileSdkReleases,Grants permission to retrieve a list of the available releases for the mobile SDK and the specified device platform,List,,,
60,ListRegexPatternSets,Grants permission to retrieve an array of RegexPatternSetSummary objects for the regex pattern sets that you manage,List,,,
61,ListResourcesForWebACL,Grants permission to retrieve an array of the Amazon Resource Names (ARNs) for the resources that are associated with a web ACL,List,webacl*,,
62,ListRuleGroups,Grants permission to retrieve an array of RuleGroupSummary objects for the rule groups that you manage,List,,,
63,ListTagsForResource,Grants permission to list tags for a resource,Read,ipset,,
64,ListTagsForResource,Grants permission to list tags for a resource,Read,regexpatternset,,
65,ListTagsForResource,Grants permission to list tags for a resource,Read,rulegroup,,
66,ListTagsForResource,Grants permission to list tags for a resource,Read,webacl,,
67,ListTagsForResource,Grants permission to list tags for a resource,Read,,aws:ResourceTag/${TagKey},
68,ListWebACLs,Grants permission to retrieve an array of WebACLSummary objects for the web ACLs that you manage,List,,,
69,PutFirewallManagerRuleGroups [permission only],Grants permission to create FirewallManagedRulesGroups in a WebACL,Write,webacl*,,
70,PutLoggingConfiguration,"Grants permission to enable a LoggingConfiguration, to start logging for a web ACL",Write,webacl*,,iam:CreateServiceLinkedRole
71,PutManagedRuleSetVersions,Grants permission to enable create a new or update an existing version of a ManagedRuleSet,Write,managedruleset*,,
72,PutManagedRuleSetVersions,Grants permission to enable create a new or update an existing version of a ManagedRuleSet,Write,rulegroup*,,
73,PutPermissionPolicy,"Grants permission to attach an IAM policy to a resource, used to share rule groups between accounts",Permissions management,rulegroup*,,
74,TagResource,Grants permission to associate tags with a AWS resource,Tagging,ipset,,
75,TagResource,Grants permission to associate tags with a AWS resource,Tagging,regexpatternset,,
