,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateByteMatchSet,Grants permission to create a ByteMatchSet,Write,bytematchset*,,
1,CreateGeoMatchSet,Grants permission to create a GeoMatchSet,Write,geomatchset*,,
2,CreateIPSet,Grants permission to create an IPSet,Write,ipset*,,
3,CreateRateBasedRule,Grants permission to create a RateBasedRule for limiting the volume of requests from a single IP address,Write,ratebasedrule*,,
4,CreateRateBasedRule,Grants permission to create a RateBasedRule for limiting the volume of requests from a single IP address,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateRegexMatchSet,Grants permission to create a RegexMatchSet,Write,regexmatchset*,,
6,CreateRegexPatternSet,Grants permission to create a RegexPatternSet,Write,regexpatternset*,,
7,CreateRule,Grants permission to create a Rule for filtering web requests,Write,rule*,,
8,CreateRule,Grants permission to create a Rule for filtering web requests,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateRuleGroup,"Grants permission to create a RuleGroup, which is a collection of predefined rules that you can use in a WebACL",Write,rulegroup*,,
10,CreateRuleGroup,"Grants permission to create a RuleGroup, which is a collection of predefined rules that you can use in a WebACL",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateSizeConstraintSet,Grants permission to create a SizeConstraintSet,Write,sizeconstraintset*,,
12,CreateSqlInjectionMatchSet,Grants permission to create an SqlInjectionMatchSet,Write,sqlinjectionmatchset*,,
13,CreateWebACL,"Grants permission to create a WebACL, which contains rules for filtering web requests",Permissions management,webacl*,,
14,CreateWebACL,"Grants permission to create a WebACL, which contains rules for filtering web requests",Permissions management,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateWebACLMigrationStack,Grants permission to create a CloudFormation web ACL template in an S3 bucket for the purposes of migrating the web ACL from AWS WAF Classic to AWS WAF v2,Write,webacl*,,s3:PutObject
16,CreateXssMatchSet,"Grants permission to create an XssMatchSet, which you use to detect requests that contain cross-site scripting attacks",Write,xssmatchset*,,
17,DeleteByteMatchSet,Grants permission to delete a ByteMatchSet,Write,bytematchset*,,
18,DeleteGeoMatchSet,Grants permission to delete a GeoMatchSet,Write,geomatchset*,,
19,DeleteIPSet,Grants permission to delete an IPSet,Write,ipset*,,
20,DeleteLoggingConfiguration,Grants permission to delete the LoggingConfiguration from a web ACL,Write,webacl*,,
21,DeletePermissionPolicy,Grants permission to delete an IAM policy from a rule group,Permissions management,rulegroup*,,
22,DeleteRateBasedRule,Grants permission to delete a RateBasedRule,Write,ratebasedrule*,,
23,DeleteRegexMatchSet,Grants permission to delete a RegexMatchSet,Write,regexmatchset*,,
24,DeleteRegexPatternSet,Grants permission to delete a RegexPatternSet,Write,regexpatternset*,,
25,DeleteRule,Grants permission to delete a Rule,Write,rule*,,
26,DeleteRuleGroup,Grants permission to delete a RuleGroup,Write,rulegroup*,,
27,DeleteSizeConstraintSet,Grants permission to delete a SizeConstraintSet,Write,sizeconstraintset*,,
28,DeleteSqlInjectionMatchSet,Grants permission to delete an SqlInjectionMatchSet,Write,sqlinjectionmatchset*,,
29,DeleteWebACL,Grants permission to delete a WebACL,Permissions management,webacl*,,
30,DeleteXssMatchSet,Grants permission to delete an XssMatchSet,Write,xssmatchset*,,
31,GetByteMatchSet,Grants permission to retrieve a ByteMatchSet,Read,bytematchset*,,
32,GetChangeToken,"Grants permission to retrieve a change token to use in create, update, and delete requests",Read,,,
33,GetChangeTokenStatus,Grants permission to retrieve the status of a change token,Read,,,
34,GetGeoMatchSet,Grants permission to retrieve a GeoMatchSet,Read,geomatchset*,,
35,GetIPSet,Grants permission to retrieve an IPSet,Read,ipset*,,
36,GetLoggingConfiguration,Grants permission to retrieve a LoggingConfiguration for a web ACL,Read,webacl*,,
37,GetPermissionPolicy,Grants permission to retrieve an IAM policy for a rule group,Read,rulegroup*,,
38,GetRateBasedRule,Grants permission to retrieve a RateBasedRule,Read,ratebasedrule*,,
39,GetRateBasedRuleManagedKeys,Grants permission to retrieve the array of IP addresses that are currently being blocked by a RateBasedRule,Read,ratebasedrule*,,
40,GetRegexMatchSet,Grants permission to retrieve a RegexMatchSet,Read,regexmatchset*,,
41,GetRegexPatternSet,Grants permission to retrieve a RegexPatternSet,Read,regexpatternset*,,
42,GetRule,Grants permission to retrieve a Rule,Read,rule*,,
43,GetRuleGroup,Grants permission to retrieve a RuleGroup,Read,rulegroup*,,
44,GetSampledRequests,Grants permission to retrieve detailed information about a sample set of web requests,Read,rule,,
45,GetSampledRequests,Grants permission to retrieve detailed information about a sample set of web requests,Read,webacl,,
46,GetSizeConstraintSet,Grants permission to retrieve a SizeConstraintSet,Read,sizeconstraintset*,,
47,GetSqlInjectionMatchSet,Grants permission to retrieve an SqlInjectionMatchSet,Read,sqlinjectionmatchset*,,
48,GetWebACL,Grants permission to retrieve a WebACL,Read,webacl*,,
49,GetXssMatchSet,Grants permission to retrieve an XssMatchSet,Read,xssmatchset*,,
50,ListActivatedRulesInRuleGroup,Grants permission to retrieve an array of ActivatedRule objects,List,,,
51,ListByteMatchSets,Grants permission to retrieve an array of ByteMatchSetSummary objects,List,,,
52,ListGeoMatchSets,Grants permission to retrieve an array of GeoMatchSetSummary objects,List,,,
53,ListIPSets,Grants permission to retrieve an array of IPSetSummary objects,List,,,
54,ListLoggingConfigurations,Grants permission to retrieve an array of LoggingConfiguration objects,List,,,
55,ListRateBasedRules,Grants permission to retrieve an array of RuleSummary objects,List,,,
56,ListRegexMatchSets,Grants permission to retrieve an array of RegexMatchSetSummary objects,List,,,
57,ListRegexPatternSets,Grants permission to retrieve an array of RegexPatternSetSummary objects,List,,,
58,ListRuleGroups,Grants permission to retrieve an array of RuleGroup objects,List,,,
59,ListRules,Grants permission to retrieve an array of RuleSummary objects,List,,,
60,ListSizeConstraintSets,Grants permission to retrieve an array of SizeConstraintSetSummary objects,List,,,
61,ListSqlInjectionMatchSets,Grants permission to retrieve an array of SqlInjectionMatchSet objects,List,,,
62,ListSubscribedRuleGroups,Grants permission to retrieve an array of RuleGroup objects that you are subscribed to,List,,,
63,ListTagsForResource,Grants permission to retrieve the tags for a resource,Read,ratebasedrule,,
64,ListTagsForResource,Grants permission to retrieve the tags for a resource,Read,rule,,
65,ListTagsForResource,Grants permission to retrieve the tags for a resource,Read,rulegroup,,
66,ListTagsForResource,Grants permission to retrieve the tags for a resource,Read,webacl,,
67,ListWebACLs,Grants permission to retrieve an array of WebACLSummary objects,List,,,
68,ListXssMatchSets,Grants permission to retrieve an array of XssMatchSet objects,List,,,
69,PutLoggingConfiguration,Grants permission to associate a LoggingConfiguration with a specified web ACL,Write,webacl*,,iam:CreateServiceLinkedRole
70,PutPermissionPolicy,"Grants permission to attach an IAM policy to a rule group, to share the rule group between accounts",Permissions management,rulegroup*,,
71,TagResource,Grants permission to add a Tag to a resource,Tagging,ratebasedrule,,
72,TagResource,Grants permission to add a Tag to a resource,Tagging,rule,,
73,TagResource,Grants permission to add a Tag to a resource,Tagging,rulegroup,,
74,TagResource,Grants permission to add a Tag to a resource,Tagging,webacl,,
75,TagResource,Grants permission to add a Tag to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
76,UntagResource,Grants permission to remove a Tag from a resource,Tagging,ratebasedrule,,
77,UntagResource,Grants permission to remove a Tag from a resource,Tagging,rule,,
