,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetTraceSummaryById [permission only],Grants permission to retrieve metadata for a list of traces specified by ID,Read,,,
1,BatchGetTraces,Grants permission to retrieve a list of traces specified by ID. Each trace is a collection of segment documents that originates from a single request. Use GetTraceSummaries to get a list of trace IDs,List,,,
2,CreateGroup,Grants permission to create a group resource with a name and a filter expression,Write,group*,,
3,CreateGroup,Grants permission to create a group resource with a name and a filter expression,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateSamplingRule,Grants permission to create a rule to control sampling behavior for instrumented applications,Write,sampling-rule*,,
5,CreateSamplingRule,Grants permission to create a rule to control sampling behavior for instrumented applications,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteGroup,Grants permission to delete a group resource,Write,group*,,
7,DeleteGroup,Grants permission to delete a group resource,Write,,aws:ResourceTag/${TagKey},
8,DeleteResourcePolicy,Grants permission to delete resource policies,Write,,,
9,DeleteSamplingRule,Grants permission to delete a sampling rule,Write,sampling-rule*,,
10,DeleteSamplingRule,Grants permission to delete a sampling rule,Write,,aws:ResourceTag/${TagKey},
11,GetDistinctTraceGraphs [permission only],Grants permission to retrieve distinct service graphs for one or more specific trace IDs,Read,,,
12,GetEncryptionConfig,Grants permission to retrieve the current encryption configuration for X-Ray data,Read,,,
13,GetGroup,Grants permission to retrieve group resource details,Read,group*,,
14,GetGroup,Grants permission to retrieve group resource details,Read,,aws:ResourceTag/${TagKey},
15,GetGroups,Grants permission to retrieve all active group details,Read,,,
16,GetInsight,Grants permission to retrieve the details of a specific insight,Read,,,
17,GetInsightEvents,Grants permission to retrieve the events of a specific insight,Read,,,
18,GetInsightImpactGraph,Grants permission to retrieve the part of the service graph which is impacted for a specific insight,Read,,,
19,GetInsightSummaries,Grants permission to retrieve the summary of all insights for a group and time range with optional filters,Read,,,
20,GetSamplingRules,Grants permission to retrieve all sampling rules,Read,,,
21,GetSamplingStatisticSummaries,Grants permission to retrieve information about recent sampling results for all sampling rules,Read,,,
22,GetSamplingTargets,Grants permission to request a sampling quota for rules that the service is using to sample requests,Read,,,
23,GetServiceGraph,"Grants permission to retrieve a document that describes services that process incoming requests, and downstream services that they call as a result",Read,,,
24,GetTimeSeriesServiceStatistics,Grants permission to retrieve an aggregation of service statistics defined by a specific time range bucketed into time intervals,Read,,,
25,GetTraceGraph,Grants permission to retrieve a service graph for one or more specific trace IDs,Read,,,
26,GetTraceSummaries,"Grants permission to retrieve IDs and metadata for traces available for a specified time frame using an optional filter. To get the full traces, pass the trace IDs to BatchGetTraces",Read,,,
27,ListResourcePolicies,Grants permission to list resource policies,List,,,
28,ListTagsForResource,Grants permission to list tags for an X-Ray resource,List,group,,
29,ListTagsForResource,Grants permission to list tags for an X-Ray resource,List,sampling-rule,,
30,PutEncryptionConfig,Grants permission to update the encryption configuration for X-Ray data,Permissions management,,,
31,PutResourcePolicy,Grants permission to create or update resource policies,Write,,,
32,PutTelemetryRecords,Grants permission to send AWS X-Ray daemon telemetry to the service,Write,,,
33,PutTraceSegments,"Grants permission to upload segment documents to AWS X-Ray. The X-Ray SDK generates segment documents and sends them to the X-Ray daemon, which uploads them in batches",Write,,,
34,TagResource,Grants permission to add tags to an X-Ray resource,Tagging,group,,
35,TagResource,Grants permission to add tags to an X-Ray resource,Tagging,sampling-rule,,
36,TagResource,Grants permission to add tags to an X-Ray resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
37,UntagResource,Grants permission to remove tags from an X-Ray resource,Tagging,group,,
38,UntagResource,Grants permission to remove tags from an X-Ray resource,Tagging,sampling-rule,,
39,UntagResource,Grants permission to remove tags from an X-Ray resource,Tagging,,aws:TagKeys,
40,UpdateGroup,Grants permission to update a group resource,Write,group*,,
41,UpdateGroup,Grants permission to update a group resource,Write,,aws:ResourceTag/${TagKey},
42,UpdateSamplingRule,Grants permission to modify a sampling rule's configuration,Write,sampling-rule*,,
43,UpdateSamplingRule,Grants permission to modify a sampling rule's configuration,Write,,aws:ResourceTag/${TagKey},
