,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcknowledgeOrderReceipt,Grants permission to acknowledge that an order has been received,Write,order*,,
1,ActivateDeviceIdentifier,Grants permission to activate a device identifier,Write,device-identifier*,,
2,ActivateNetworkSite,Grants permission to activate a network site,Write,network-site*,,
3,ActivateNetworkSite,Grants permission to activate a network site,Write,order*,,
4,ConfigureAccessPoint,Grants permission to configure an access point,Write,network-resource*,,
5,CreateNetwork,Grants permission to create a network,Write,network*,,
6,CreateNetworkSite,Grants permission to create a network site,Write,network*,,
7,DeactivateDeviceIdentifier,Grants permission to deactivate a device identifier,Write,device-identifier*,,
8,DeleteNetwork,Grants permission to delete a network,Write,network*,,
9,DeleteNetworkSite,Grants permission to delete a network site,Write,network-site*,,
10,GetDeviceIdentifier,Grants permission to get a device identifier,Read,device-identifier*,,
11,GetNetwork,Grants permission to get a network,Read,network*,,
12,GetNetworkResource,Grants permission to get a network resource,Read,network-resource*,,
13,GetNetworkSite,Grants permission to get a network site,Read,network-site*,,
14,GetOrder,Grants permission to get a network order,Read,order*,,
15,ListDeviceIdentifiers,Grants permission to list device identifiers,List,network*,,
16,ListNetworkResources,Grants permission to list network resources,List,network*,,
17,ListNetworkSites,Grants permission to list network sites,List,network*,,
18,ListNetworks,Grants permission to list networks,List,,,
19,ListOrders,Grants permission to list network orders,List,network*,,
20,UpdateNetworkSite,Grants permission to update a network site,Write,network-site*,,
21,UpdateNetworkSitePlan,Grants permission to update a plan at a network site,Write,network-site*,,
