,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ApproveSkill,Grants permission to associate a skill with the organization under the customer's AWS account,Write,,,
1,AssociateContactWithAddressBook,Grants permission to associate a contact with a given address book,Write,addressbook*,,
2,AssociateContactWithAddressBook,Grants permission to associate a contact with a given address book,Write,contact*,,
3,AssociateDeviceWithNetworkProfile,Grants permission to associate a device with the specified network profile,Write,device*,,
4,AssociateDeviceWithNetworkProfile,Grants permission to associate a device with the specified network profile,Write,networkprofile*,,
5,AssociateDeviceWithRoom,Grants permission to associate device with given room,Write,device*,,
6,AssociateDeviceWithRoom,Grants permission to associate device with given room,Write,room*,,
7,AssociateSkillGroupWithRoom,Grants permission to associate the skill group with given room,Write,room*,,
8,AssociateSkillGroupWithRoom,Grants permission to associate the skill group with given room,Write,skillgroup*,,
9,AssociateSkillWithSkillGroup,Grants permission to associate a skill with a skill group,Write,skillgroup*,,
10,AssociateSkillWithUsers,Grants permission to make a private skill available for enrolled users to enable on their devices,Write,,,
11,CompleteRegistration [permission only],Grants permission to complete the operation of registering an Alexa device,Write,,,
12,CreateAddressBook,Grants permission to create an address book with the specified details,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateBusinessReportSchedule,Grants permission to create a recurring schedule for usage reports to deliver to the specified S3 location with a specified daily or weekly interval,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateConferenceProvider,Grants permission to add a new conference provider under the user's AWS account,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateContact,Grants permission to create a contact with the specified details,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateGatewayGroup,Grants permission to create a gateway group with the specified details,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateNetworkProfile,Grants permission to create a network profile with the specified details,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,CreateProfile,Grants permission to create a new profile,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateRoom,Grants permission to create room with the specified details,Write,profile*,,
20,CreateRoom,Grants permission to create room with the specified details,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateSkillGroup,Grants permission to create a skill group with given name and description,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
22,CreateUser,Grants permission to create a user,Write,user*,,
23,CreateUser,Grants permission to create a user,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,DeleteAddressBook,Grants permission to delete an address book by the address book ARN,Write,addressbook*,,
