,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateApplicationFleet,Grants permission to associate the specified application with the fleet,Write,application*,,
1,AssociateApplicationFleet,Grants permission to associate the specified application with the fleet,Write,fleet*,,
2,AssociateApplicationFleet,Grants permission to associate the specified application with the fleet,Write,,aws:ResourceTag/${TagKey},
3,AssociateApplicationToEntitlement,Grants permission to associate the specified application to the specified entitlement,Write,stack*,,
4,AssociateFleet,Grants permission to associate the specified fleet with the specified stack,Write,fleet*,,
5,AssociateFleet,Grants permission to associate the specified fleet with the specified stack,Write,stack*,,
6,AssociateFleet,Grants permission to associate the specified fleet with the specified stack,Write,,aws:ResourceTag/${TagKey},
7,BatchAssociateUserStack,Grants permission to associate the specified users with the specified stacks. Users in a user pool cannot be assigned to stacks with fleets that are joined to an Active Directory domain,Write,stack*,,
8,BatchAssociateUserStack,Grants permission to associate the specified users with the specified stacks. Users in a user pool cannot be assigned to stacks with fleets that are joined to an Active Directory domain,Write,,aws:ResourceTag/${TagKey},
9,BatchDisassociateUserStack,Grants permission to disassociate the specified users from the specified stacks,Write,stack*,,
10,BatchDisassociateUserStack,Grants permission to disassociate the specified users from the specified stacks,Write,,aws:ResourceTag/${TagKey},
11,CopyImage,Grants permission to copy the specified image within the same Region or to a new Region within the same AWS account,Write,image*,,
12,CopyImage,Grants permission to copy the specified image within the same Region or to a new Region within the same AWS account,Write,,aws:ResourceTag/${TagKey},
13,CreateAppBlock,Grants permission to create an app block. App blocks store details about the virtual hard disk that contains the files for the application in an S3 bucket. It also stores the setup script with details about how to mount the virtual hard disk. App blocks are only supported for Elastic fleets,Write,,aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys,
14,CreateApplication,Grants permission to create an application within customer account. Applications store the details about how to launch applications on streaming instances. This is only supported for Elastic fleets,Write,app-block*,,
15,CreateApplication,Grants permission to create an application within customer account. Applications store the details about how to launch applications on streaming instances. This is only supported for Elastic fleets,Write,,aws:RequestTag/${TagKey}  aws:ResourceTag/${TagKey}  aws:TagKeys,
16,CreateDirectoryConfig,Grants permission to create a Directory Config object in AppStream 2.0. This object includes the configuration information required to join fleets and image builders to Microsoft Active Directory domains,Write,,,
17,CreateEntitlement,Grants permission to create an entitlement to control access to applications based on user attributes,Write,stack*,,
18,CreateFleet,Grants permission to create a fleet. A fleet is a group of streaming instances from which applications are launched and streamed to users,Write,fleet*,,
19,CreateFleet,Grants permission to create a fleet. A fleet is a group of streaming instances from which applications are launched and streamed to users,Write,image,,
20,CreateFleet,Grants permission to create a fleet. A fleet is a group of streaming instances from which applications are launched and streamed to users,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,CreateImageBuilder,Grants permission to create an image builder. An image builder is a virtual machine that is used to create an image,Write,image*,,
22,CreateImageBuilder,Grants permission to create an image builder. An image builder is a virtual machine that is used to create an image,Write,image-builder*,,
23,CreateImageBuilder,Grants permission to create an image builder. An image builder is a virtual machine that is used to create an image,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateImageBuilderStreamingURL,Grants permission to create a URL to start an image builder streaming session,Write,image-builder*,,
25,CreateImageBuilderStreamingURL,Grants permission to create a URL to start an image builder streaming session,Write,,aws:ResourceTag/${TagKey},
26,CreateStack,"Grants permission to create a stack to start streaming applications to users. A stack consists of an associated fleet, user access policies, and storage configurations",Write,stack*,,
27,CreateStack,"Grants permission to create a stack to start streaming applications to users. A stack consists of an associated fleet, user access policies, and storage configurations",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
