,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchGetNamedQuery,Grants permission to get information about one or more named queries,Read,workgroup*,,
1,BatchGetPreparedStatement,Grants permission to get information about one or more prepared statements,Read,workgroup*,,
2,BatchGetQueryExecution,Grants permission to get information about one or more query executions,Read,workgroup*,,
3,CreateDataCatalog,Grants permission to create a datacatalog,Write,datacatalog*,,
4,CreateDataCatalog,Grants permission to create a datacatalog,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateNamedQuery,Grants permission to create a named query,Write,workgroup*,,
6,CreatePreparedStatement,Grants permission to create a prepared statement,Write,workgroup*,,
7,CreateWorkGroup,Grants permission to create a workgroup,Write,workgroup*,,
8,CreateWorkGroup,Grants permission to create a workgroup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteDataCatalog,Grants permission to delete a datacatalog,Write,datacatalog*,,
10,DeleteNamedQuery,Grants permission to delete a named query specified,Write,workgroup*,,
11,DeletePreparedStatement,Grants permission to delete a prepared statement specified,Write,workgroup*,,
12,DeleteWorkGroup,Grants permission to delete a workgroup,Write,workgroup*,,
13,GetDataCatalog,Grants permission to get a datacatalog,Read,datacatalog*,,
14,GetDatabase,Grants permission to get a database for a given datacatalog,Read,datacatalog*,,
15,GetNamedQuery,Grants permission to get information about the specified named query,Read,workgroup*,,
16,GetPreparedStatement,Grants permission to get information about the specified prepared statement,Read,workgroup*,,
17,GetQueryExecution,Grants permission to get information about the specified query execution,Read,workgroup*,,
18,GetQueryResults,Grants permission to get the query results,Read,workgroup*,,
19,GetQueryResultsStream,Grants permission to get the query results stream,Read,workgroup*,,
20,GetQueryRuntimeStatistics,Grants permission to get runtime statistics for the specified query execution,Read,workgroup*,,
21,GetTableMetadata,Grants permission to get a metadata about a table for a given datacatalog,Read,datacatalog*,,
22,GetWorkGroup,Grants permission to get a workgroup,Read,workgroup*,,
23,ListDataCatalogs,Grants permission to return a list of datacatalogs for the specified AWS account,List,,,
24,ListDatabases,Grants permission to return a list of databases for a given datacatalog,List,datacatalog*,,
25,ListEngineVersions,Grants permission to return a list of athena engine versions for the specified AWS account,Read,,,
26,ListNamedQueries,Grants permission to return a list of named queries in Amazon Athena for the specified AWS account,List,workgroup*,,
27,ListPreparedStatements,Grants permission to return a list of prepared statements for the specified workgroup,List,workgroup*,,
28,ListQueryExecutions,Grants permission to return a list of query executions for the specified AWS account,Read,workgroup*,,
29,ListTableMetadata,Grants permission to return a list of table metadata in a database for a given datacatalog,Read,datacatalog*,,
30,ListTagsForResource,Grants permission to return a list of tags for a resource,Read,datacatalog*,,
31,ListTagsForResource,Grants permission to return a list of tags for a resource,Read,workgroup*,,
32,ListWorkGroups,Grants permission to return a list of workgroups for the specified AWS account,List,,,
33,StartQueryExecution,Grants permission to start a query execution using an SQL query provided as a string,Write,workgroup*,,
34,StopQueryExecution,Grants permission to stop the specified query execution,Write,workgroup*,,
35,TagResource,Grants permission to add a tag to a resource,Tagging,datacatalog*,,
36,TagResource,Grants permission to add a tag to a resource,Tagging,workgroup*,,
37,TagResource,Grants permission to add a tag to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
38,UntagResource,Grants permission to remove a tag from a resource,Tagging,datacatalog*,,
39,UntagResource,Grants permission to remove a tag from a resource,Tagging,workgroup*,,
40,UntagResource,Grants permission to remove a tag from a resource,Tagging,,aws:TagKeys,
41,UpdateDataCatalog,Grants permission to update a datacatalog,Write,datacatalog*,,
42,UpdateNamedQuery,Grants permission to update a named query specified,Write,workgroup*,,
43,UpdatePreparedStatement,Grants permission to update a prepared statement,Write,workgroup*,,
44,UpdateWorkGroup,Grants permission to update a workgroup,Write,workgroup*,,
