,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CancelJob,Grants permission to cancel a job,Write,job*,,
1,CancelQuantumTask,Grants permission to cancel a quantum task,Write,quantum-task*,,
2,CreateJob,Grants permission to create a job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateQuantumTask,Grants permission to create a quantum task,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,GetDevice,Grants permission to retrieve information about the devices available in Amazon Braket,Read,,,
5,GetJob,Grants permission to retrieve jobs,Read,job*,,
6,GetQuantumTask,Grants permission to retrieve quantum tasks,Read,quantum-task*,,
7,ListTagsForResource,Grants permission to listing the tags that have been applied to the quantum task resource or the job,Read,job,,
8,ListTagsForResource,Grants permission to listing the tags that have been applied to the quantum task resource or the job,Read,quantum-task,,
9,SearchDevices,Grants permission to search for devices available in Amazon Braket,Read,,,
10,SearchJobs,Grants permission to search for jobs,Read,,,
11,SearchQuantumTasks,Grants permission to search for quantum tasks,Read,,,
12,TagResource,Grants permission to add one or more tags to a quantum task,Tagging,quantum-task,,
13,TagResource,Grants permission to add one or more tags to a quantum task,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,UntagResource,Grants permission to remove one or more tags from a quantum task resource or a job. A tag consists of a key-value pair,Tagging,job,,
15,UntagResource,Grants permission to remove one or more tags from a quantum task resource or a job. A tag consists of a key-value pair,Tagging,quantum-task,,
16,UntagResource,Grants permission to remove one or more tags from a quantum task resource or a job. A tag consists of a key-value pair,Tagging,,aws:TagKeys,
