,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptDelegate,Grants permission to accept the delegate invitation to share management of an Amazon Chime account with another AWS Account,Write,,,
1,ActivateUsers,Grants permission to activate users in an Amazon Chime Enterprise account,Write,,,
2,AddDomain,Grants permission to add a domain to your Amazon Chime account,Write,,,
3,AddOrUpdateGroups,Grants permission to add new or update existing Active Directory or Okta user groups associated with your Amazon Chime Enterprise account,Write,,,
4,AssociateChannelFlow,Grants permission to associate a flow with a channel,Write,app-instance-user*,,
5,AssociateChannelFlow,Grants permission to associate a flow with a channel,Write,channel*,,
6,AssociateChannelFlow,Grants permission to associate a flow with a channel,Write,channel-flow*,,
7,AssociatePhoneNumberWithUser,Grants permission to associate a phone number with an Amazon Chime user,Write,,,
8,AssociatePhoneNumbersWithVoiceConnector,Grants permission to associate multiple phone numbers with an Amazon Chime Voice Connector,Write,,,
9,AssociatePhoneNumbersWithVoiceConnectorGroup,Grants permission to associate multiple phone numbers with an Amazon Chime Voice Connector Group,Write,,,
10,AssociateSigninDelegateGroupsWithAccount,Grants permission to associate the specified sign-in delegate groups with the specified Amazon Chime account,Write,,,
11,AuthorizeDirectory,Grants permission to authorize an Active Directory for your Amazon Chime Enterprise account,Write,,,
12,BatchCreateAttendee,Grants permission to create new attendees for an active Amazon Chime SDK meeting,Write,meeting*,,
13,BatchCreateChannelMembership,Grants permission to add multiple users to a channel,Write,app-instance-user*,,
14,BatchCreateChannelMembership,Grants permission to add multiple users to a channel,Write,channel*,,
15,BatchCreateRoomMembership,Grants permission to batch add room members,Write,,,
16,BatchDeletePhoneNumber,Grants permission to move up to 50 phone numbers to the deletion queue,Write,,,
17,BatchSuspendUser,Grants permission to suspend up to 50 users from a Team or EnterpriseLWA Amazon Chime account,Write,,,
18,BatchUnsuspendUser,Grants permission to remove the suspension from up to 50 previously suspended users for the specified Amazon Chime EnterpriseLWA account,Write,,,
19,BatchUpdateAttendeeCapabilitiesExcept,Grants permission to update AttendeeCapabilities except the capabilities listed in an ExcludedAttendeeIds table,Write,meeting*,,
20,BatchUpdatePhoneNumber,Grants permission to update phone number details within the UpdatePhoneNumberRequestItem object for up to 50 phone numbers,Write,,,
21,BatchUpdateUser,Grants permission to update user details within the UpdateUserRequestItem object for up to 20 users for the specified Amazon Chime account,Write,,,
22,ChannelFlowCallback,Grants permission to callback for a message on a channel,Write,channel*,,
23,Connect,Grants permission to establish a web socket connection for app instance user to the messaging session endpoint,Write,app-instance-user*,,
24,ConnectDirectory,Grants permission to connect an Active Directory to your Amazon Chime Enterprise account,Write,,,ds:ConnectDirectory
25,CreateAccount,Grants permission to create an Amazon Chime account under the administrator's AWS account,Write,,,
26,CreateApiKey,Grants permission to create a new SCIM access key for your Amazon Chime account and Okta configuration,Write,,,
27,CreateAppInstance,Grants permission to create an app instance under the AWS account,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
