,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddFacetToObject,Grants permission to add a new Facet to an object,Write,directory*,,
1,ApplySchema,Grants permission to copy input published schema into Directory with same name and version as that of published schema,Write,directory*,,
2,ApplySchema,Grants permission to copy input published schema into Directory with same name and version as that of published schema,Write,publishedSchema*,,
3,AttachObject,Grants permission to attach an existing object to another existing object,Write,directory*,,
4,AttachPolicy,Grants permission to attach a policy object to any other object,Write,directory*,,
5,AttachToIndex,Grants permission to attach the specified object to the specified index,Write,directory*,,
6,AttachTypedLink,Grants permission to attach a typed link b/w a source & target object reference,Write,directory*,,
7,BatchRead,Grants permission to perform all the read operations in a batch. Each individual operation inside BatchRead needs to be granted permissions explicitly,Read,directory*,,
8,BatchWrite,Grants permission to perform all the write operations in a batch. Each individual operation inside BatchWrite needs to be granted permissions explicitly,Write,directory*,,
9,CreateDirectory,Grants permission to create a Directory by copying the published schema into the directory,Write,publishedSchema*,,
10,CreateFacet,Grants permission to create a new Facet in a schema,Write,appliedSchema*,,
11,CreateFacet,Grants permission to create a new Facet in a schema,Write,developmentSchema*,,
12,CreateIndex,Grants permission to create an index object,Write,directory*,,
13,CreateObject,Grants permission to create an object in a Directory,Write,directory*,,
14,CreateSchema,Grants permission to create a new schema in a development state,Write,,,
15,CreateTypedLinkFacet,Grants permission to create a new Typed Link facet in a schema,Write,appliedSchema*,,
16,CreateTypedLinkFacet,Grants permission to create a new Typed Link facet in a schema,Write,developmentSchema*,,
17,DeleteDirectory,Grants permission to delete a directory. Only disabled directories can be deleted,Write,directory*,,
18,DeleteFacet,Grants permission to delete a given Facet. All attributes and Rules associated with the facet will be deleted,Write,developmentSchema*,,
19,DeleteObject,Grants permission to delete an object and its associated attributes,Write,directory*,,
20,DeleteSchema,Grants permission to delete a given schema,Write,developmentSchema*,,
21,DeleteSchema,Grants permission to delete a given schema,Write,publishedSchema*,,
22,DeleteTypedLinkFacet,Grants permission to delete a given TypedLink Facet. All attributes and Rules associated with the facet will be deleted,Write,developmentSchema*,,
23,DetachFromIndex,Grants permission to detach the specified object from the specified index,Write,directory*,,
24,DetachObject,Grants permission to detach a given object from the parent object,Write,directory*,,
25,DetachPolicy,Grants permission to detach a policy from an object,Write,directory*,,
26,DetachTypedLink,Grants permission to detach a given typed link b/w given source and target object reference,Write,directory*,,
27,DisableDirectory,Grants permission to disable the specified directory,Write,directory*,,
28,EnableDirectory,Grants permission to enable the specified directory,Write,directory*,,
29,GetAppliedSchemaVersion,"Grants permission to return current applied schema version ARN, including the minor version in use",Read,appliedSchema*,,
30,GetDirectory,Grants permission to retrieve metadata about a directory,Read,directory*,,
31,GetFacet,"Grants permission to get details of the Facet, such as Facet Name, Attributes, Rules, or ObjectType",Read,appliedSchema*,,
32,GetFacet,"Grants permission to get details of the Facet, such as Facet Name, Attributes, Rules, or ObjectType",Read,developmentSchema*,,
33,GetFacet,"Grants permission to get details of the Facet, such as Facet Name, Attributes, Rules, or ObjectType",Read,publishedSchema*,,
34,GetLinkAttributes,Grants permission to retrieve attributes that are associated with a typed link,Read,directory*,,
35,GetObjectAttributes,Grants permission to retrieve attributes within a facet that are associated with an object,Read,directory*,,
36,GetObjectInformation,Grants permission to retrieve metadata about an object,Read,directory*,,
37,GetSchemaAsJson,Grants permission to retrieve a JSON representation of the schema,Read,appliedSchema*,,
38,GetSchemaAsJson,Grants permission to retrieve a JSON representation of the schema,Read,developmentSchema*,,
39,GetSchemaAsJson,Grants permission to retrieve a JSON representation of the schema,Read,publishedSchema*,,
40,GetTypedLinkFacetInformation,Grants permission to return identity attributes order information associated with a given typed link facet,Read,appliedSchema*,,
41,GetTypedLinkFacetInformation,Grants permission to return identity attributes order information associated with a given typed link facet,Read,developmentSchema*,,
42,GetTypedLinkFacetInformation,Grants permission to return identity attributes order information associated with a given typed link facet,Read,publishedSchema*,,
43,ListAppliedSchemaArns,Grants permission to list schemas applied to a directory,List,directory*,,
44,ListAttachedIndices,Grants permission to list indices attached to an object,Read,directory*,,
45,ListDevelopmentSchemaArns,Grants permission to retrieve the ARNs of schemas in the development state,List,,,
46,ListDirectories,Grants permission to list directories created within an account,List,,,
47,ListFacetAttributes,Grants permission to retrieve attributes attached to the facet,Read,appliedSchema*,,
48,ListFacetAttributes,Grants permission to retrieve attributes attached to the facet,Read,developmentSchema*,,
49,ListFacetAttributes,Grants permission to retrieve attributes attached to the facet,Read,publishedSchema*,,
50,ListFacetNames,Grants permission to retrieve the names of facets that exist in a schema,Read,appliedSchema*,,
51,ListFacetNames,Grants permission to retrieve the names of facets that exist in a schema,Read,developmentSchema*,,
52,ListFacetNames,Grants permission to retrieve the names of facets that exist in a schema,Read,publishedSchema*,,
53,ListIncomingTypedLinks,Grants permission to return a paginated list of all incoming TypedLinks for a given object,Read,directory*,,
54,ListIndex,Grants permission to list objects attached to the specified index,Read,directory*,,
55,ListManagedSchemaArns,"Grants permission to list the major version families of each managed schema. If a major version ARN is provided as SchemaArn, the minor version revisions in that family are listed instead",List,,,
56,ListObjectAttributes,Grants permission to list all attributes associated with an object,Read,directory*,,
57,ListObjectChildren,Grants permission to return a paginated list of child objects associated with a given object,Read,directory*,,
58,ListObjectParentPaths,"Grants permission to retrieve all available parent paths for any object type such as node, leaf node, policy node, and index node objects",Read,directory*,,
59,ListObjectParents,Grants permission to list parent objects associated with a given object in pagination fashion,Read,directory*,,
60,ListObjectPolicies,Grants permission to return policies attached to an object in pagination fashion,Read,directory*,,
61,ListOutgoingTypedLinks,Grants permission to return a paginated list of all outgoing TypedLinks for a given object,Read,directory*,,
62,ListPolicyAttachments,Grants permission to return all of the ObjectIdentifiers to which a given policy is attached,Read,directory*,,
63,ListPublishedSchemaArns,Grants permission to retrieve published schema ARNs,List,,,
64,ListTagsForResource,Grants permission to return tags for a resource,Read,directory*,,
65,ListTypedLinkFacetAttributes,Grants permission to return a paginated list of attributes associated with typed link facet,Read,appliedSchema*,,
66,ListTypedLinkFacetAttributes,Grants permission to return a paginated list of attributes associated with typed link facet,Read,developmentSchema*,,
67,ListTypedLinkFacetAttributes,Grants permission to return a paginated list of attributes associated with typed link facet,Read,publishedSchema*,,
68,ListTypedLinkFacetNames,Grants permission to return a paginated list of typed link facet names that exist in a schema,Read,appliedSchema*,,
69,ListTypedLinkFacetNames,Grants permission to return a paginated list of typed link facet names that exist in a schema,Read,developmentSchema*,,
70,ListTypedLinkFacetNames,Grants permission to return a paginated list of typed link facet names that exist in a schema,Read,publishedSchema*,,
71,LookupPolicy,Grants permission to list all policies from the root of the Directory to the object specified,Read,directory*,,
72,PublishSchema,Grants permission to publish a development schema with a version,Write,developmentSchema*,,
73,PutSchemaFromJson,Grants permission to update a schema using JSON upload. Only available for development schemas,Write,,,
74,RemoveFacetFromObject,Grants permission to remove the specified facet from the specified object,Write,directory*,,
75,TagResource,Grants permission to add tags to a resource,Tagging,directory*,,
76,UntagResource,Grants permission to remove tags from a resource,Tagging,directory*,,
77,UpdateFacet,"Grants permission to add/update/delete existing Attributes, Rules, or ObjectType of a Facet",Write,appliedSchema*,,
78,UpdateFacet,"Grants permission to add/update/delete existing Attributes, Rules, or ObjectType of a Facet",Write,developmentSchema*,,
79,UpdateLinkAttributes,"Grants permission to update a given typed link’s attributes. Attributes to be updated must not contribute to the typed link’s identity, as defined by its IdentityAttributeOrder",Write,directory*,,
80,UpdateObjectAttributes,Grants permission to update a given object's attributes,Write,directory*,,
81,UpdateSchema,Grants permission to update the schema name with a new name,Write,developmentSchema*,,
82,UpdateTypedLinkFacet,"Grants permission to add/update/delete existing Attributes, Rules, identity attribute order of a TypedLink Facet",Write,developmentSchema*,,
83,UpgradeAppliedSchema,Grants permission to upgrade a single directory in-place using the PublishedSchemaArn with schema updates found in MinorVersion. Backwards-compatible minor version upgrades are instantaneously available for readers on all objects in the directory,Write,directory*,,
84,UpgradeAppliedSchema,Grants permission to upgrade a single directory in-place using the PublishedSchemaArn with schema updates found in MinorVersion. Backwards-compatible minor version upgrades are instantaneously available for readers on all objects in the directory,Write,publishedSchema*,,
85,UpgradePublishedSchema,Grants permission to upgrade a published schema under a new minor version revision using the current contents of DevelopmentSchemaArn,Write,developmentSchema*,,
86,UpgradePublishedSchema,Grants permission to upgrade a published schema under a new minor version revision using the current contents of DevelopmentSchemaArn,Write,publishedSchema*,,
