,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateAlias,Grants permission to associate an alias to a CloudFront distribution,Write,distribution*,,
1,CreateCachePolicy,Grants permission to add a new cache policy to CloudFront,Write,cache-policy*,,
2,CreateCloudFrontOriginAccessIdentity,Grants permission to create a new CloudFront origin access identity,Write,origin-access-identity*,,
3,CreateDistribution,Grants permission to create a new web distribution,Write,distribution*,,
4,CreateFieldLevelEncryptionConfig,Grants permission to create a new field-level encryption configuration,Write,,,
5,CreateFieldLevelEncryptionProfile,Grants permission to create a field-level encryption profile,Write,,,
6,CreateFunction,Grants permission to create a CloudFront function,Write,function*,,
7,CreateInvalidation,Grants permission to create a new invalidation batch request,Write,distribution*,,
8,CreateKeyGroup,Grants permission to add a new key group to CloudFront,Write,,,
9,CreateMonitoringSubscription,Grants permission to enable additional CloudWatch metrics for the specified CloudFront distribution. The additional metrics incur an additional cost,Write,,,
10,CreateOriginAccessControl,Grants permission to create a new origin access control,Write,,,
11,CreateOriginRequestPolicy,Grants permission to add a new origin request policy to CloudFront,Write,origin-request-policy*,,
12,CreatePublicKey,Grants permission to add a new public key to CloudFront,Write,,,
13,CreateRealtimeLogConfig,Grants permission to create a real-time log configuration,Write,realtime-log-config*,,
14,CreateResponseHeadersPolicy,Grants permission to add a new response headers policy to CloudFront,Write,response-headers-policy*,,
15,CreateSavingsPlan [permission only],Grants permission to create a new savings plan,Write,,,
16,CreateStreamingDistribution,Grants permission to create a new RTMP distribution,Write,streaming-distribution*,,
17,CreateStreamingDistributionWithTags,Grants permission to create a new RTMP distribution with tags,Write,streaming-distribution*,,
18,CreateStreamingDistributionWithTags,Grants permission to create a new RTMP distribution with tags,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,DeleteCachePolicy,Grants permission to delete a cache policy,Write,cache-policy*,,
20,DeleteCloudFrontOriginAccessIdentity,Grants permission to delete a CloudFront origin access identity,Write,origin-access-identity*,,
21,DeleteDistribution,Grants permission to delete a web distribution,Write,distribution*,,
22,DeleteFieldLevelEncryptionConfig,Grants permission to delete a field-level encryption configuration,Write,field-level-encryption-config*,,
23,DeleteFieldLevelEncryptionProfile,Grants permission to delete a field-level encryption profile,Write,field-level-encryption-profile*,,
24,DeleteFunction,Grants permission to delete a CloudFront function,Write,function*,,
25,DeleteKeyGroup,Grants permission to delete a key group,Write,,,
26,DeleteMonitoringSubscription,Grants permission to disable additional CloudWatch metrics for the specified CloudFront distribution,Write,,,
27,DeleteOriginAccessControl,Grants permission to delete an origin access control,Write,origin-access-control*,,
28,DeleteOriginRequestPolicy,Grants permission to delete an origin request policy,Write,origin-request-policy*,,
29,DeletePublicKey,Grants permission to delete a public key from CloudFront,Write,,,
30,DeleteRealtimeLogConfig,Grants permission to delete a real-time log configuration,Write,realtime-log-config*,,
31,DeleteResponseHeadersPolicy,Grants permission to delete a response headers policy,Write,response-headers-policy*,,
32,DeleteStreamingDistribution,Grants permission to delete an RTMP distribution,Write,streaming-distribution*,,
33,DescribeFunction,Grants permission to get a CloudFront function summary,Read,function*,,
34,GetCachePolicy,Grants permission to get the cache policy,Read,cache-policy*,,
35,GetCachePolicyConfig,Grants permission to get the cache policy configuration,Read,cache-policy*,,
36,GetCloudFrontOriginAccessIdentity,Grants permission to get the information about a CloudFront origin access identity,Read,origin-access-identity*,,
37,GetCloudFrontOriginAccessIdentityConfig,Grants permission to get the configuration information about a Cloudfront origin access identity,Read,origin-access-identity*,,
38,GetDistribution,Grants permission to get the information about a web distribution,Read,distribution*,,
39,GetDistributionConfig,Grants permission to get the configuration information about a distribution,Read,distribution*,,
40,GetFieldLevelEncryption,Grants permission to get the field-level encryption configuration information,Read,field-level-encryption-config*,,
41,GetFieldLevelEncryptionConfig,Grants permission to get the field-level encryption configuration information,Read,field-level-encryption-config*,,
42,GetFieldLevelEncryptionProfile,Grants permission to get the field-level encryption configuration information,Read,field-level-encryption-profile*,,
43,GetFieldLevelEncryptionProfileConfig,Grants permission to get the field-level encryption profile configuration information,Read,field-level-encryption-profile*,,
