,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddTags,Attaches resource tags to an Amazon CloudSearch domain,Tagging,domain*,,
1,BuildSuggesters,Indexes the search suggestions,Write,domain*,,
2,CreateDomain,Creates a new search domain,Write,domain*,,
3,DefineAnalysisScheme,Configures an analysis scheme that can be applied to a text or text-array field to define language-specific text processing options,Write,domain*,,
4,DefineExpression,Configures an Expression for the search domain,Write,domain*,,
5,DefineIndexField,Configures an IndexField for the search domain,Write,domain*,,
6,DefineSuggester,Configures a suggester for a domain,Write,domain*,,
7,DeleteAnalysisScheme,Deletes an analysis scheme,Write,domain*,,
8,DeleteDomain,Permanently deletes a search domain and all of its data,Write,domain*,,
9,DeleteExpression,Removes an Expression from the search domain,Write,domain*,,
10,DeleteIndexField,Removes an IndexField from the search domain,Write,domain*,,
11,DeleteSuggester,Deletes a suggester,Write,domain*,,
12,DescribeAnalysisSchemes,Gets the analysis schemes configured for a domain,Read,domain*,,
13,DescribeAvailabilityOptions,Gets the availability options configured for a domain,Read,domain*,,
14,DescribeDomainEndpointOptions,Gets the domain endpoint options configured for a domain,Read,domain*,,
15,DescribeDomains,Gets information about the search domains owned by this account,List,domain*,,
16,DescribeExpressions,Gets the expressions configured for the search domain,Read,domain*,,
17,DescribeIndexFields,Gets information about the index fields configured for the search domain,Read,domain*,,
18,DescribeScalingParameters,Gets the scaling parameters configured for a domain,Read,domain*,,
19,DescribeServiceAccessPolicies,Gets information about the access policies that control access to the domain's document and search endpoints,Read,domain*,,
20,DescribeSuggesters,Gets the suggesters configured for a domain,Read,domain*,,
21,IndexDocuments,Tells the search domain to start indexing its documents using the latest indexing options,Write,domain*,,
22,ListDomainNames,Lists all search domains owned by an account,List,domain*,,
23,ListTags,Displays all of the resource tags for an Amazon CloudSearch domain,Read,domain*,,
24,RemoveTags,Removes the specified resource tags from an Amazon ES domain,Tagging,domain*,,
25,UpdateAvailabilityOptions,Configures the availability options for a domain,Write,domain*,,
26,UpdateDomainEndpointOptions,Configures the domain endpoint options for a domain,Write,domain*,,
27,UpdateScalingParameters,Configures scaling parameters for a domain,Write,domain*,,
28,UpdateServiceAccessPolicies,Configures the access rules that control access to the domain's document and search endpoints,Permissions management,domain*,,
29,document [permission only],Allows access to the document service operations,Write,domain,,
30,search [permission only],Allows access to the search operations,Read,domain,,
31,suggest [permission only],Allows access to the suggest operations,Read,domain,,
